timestamp,values
1766144762412377190,"[283.095703125, 286.435546875]"
1766144762713058545,"[283.095703125, 286.435546875]"
1766144763011978177,"[283.095703125, 286.435546875]"
1766144763310455005,"[283.095703125, 286.435546875]"
1766144763612339725,"[283.095703125, 286.435546875]"
1766144763913678235,"[283.095703125, 286.435546875]"
1766144764214102177,"[283.095703125, 286.435546875]"
1766144764510573437,"[283.095703125, 286.435546875]"
1766144764812973247,"[283.095703125, 286.435546875]"
1766144765116270444,"[281.07421875, 286.34765625]"
1766144765412983650,"[289.16015625, 286.083984375]"
1766144765712023569,"[296.982421875, 285.99609375]"
1766144766013409960,"[285.1171875, 292.8515625]"
1766144766312984139,"[285.1171875, 306.73828125]"
1766144766611861133,"[300.76171875, 293.73046875]"
1766144766915915066,"[300.05859375, 288.45703125]"
1766144767211955752,"[298.916015625, 289.6875]"
1766144767513565715,"[289.423828125, 304.013671875]"
1766144767815245967,"[287.578125, 306.474609375]"
1766144768111701975,"[304.541015625, 294.609375]"
1766144768418122844,"[304.013671875, 285.46875]"
1766144768712605947,"[294.873046875, 302.6953125]"
1766144769013844430,"[289.072265625, 304.892578125]"
1766144769312294755,"[292.763671875, 294.169921875]"
1766144769611182091,"[298.037109375, 288.6328125]"
1766144769914115349,"[295.751953125, 287.490234375]"
1766144770211623418,"[294.609375, 287.40234375]"
1766144770511211544,"[291.796875, 287.40234375]"
1766144770815221803,"[303.662109375, 287.2265625]"
1766144771111568392,"[306.650390625, 287.2265625]"
1766144771415590878,"[278.173828125, 297.94921875]"
1766144771712060362,"[278.96484375, 302.87109375]"
1766144772015859186,"[306.03515625, 291.4453125]"
1766144772312387095,"[297.861328125, 295.576171875]"
1766144772612020973,"[290.56640625, 305.068359375]"
1766144772914707303,"[300.146484375, 299.00390625]"
1766144773215776224,"[301.728515625, 286.611328125]"
1766144773514162348,"[293.291015625, 311.396484375]"
1766144773811922216,"[290.126953125, 304.27734375]"
1766144774117297108,"[314.6484375, 296.19140625]"
1766144774412882446,"[309.814453125, 278.173828125]"
1766144774712497709,"[289.16015625, 309.55078125]"
1766144775017734885,"[279.84375, 302.431640625]"
1766144775313383932,"[312.1875, 297.333984375]"
1766144775612886088,"[305.244140625, 299.1796875]"
1766144775913035196,"[289.51171875, 302.783203125]"
1766144776211854992,"[309.7265625, 301.025390625]"
1766144776511243728,"[307.08984375, 289.423828125]"
1766144776809677682,"[299.091796875, 315.0]"
1766144777113343115,"[288.10546875, 303.662109375]"
1766144777415685115,"[310.4296875, 298.388671875]"
1766144777713570599,"[308.3203125, 281.77734375]"
1766144778011925438,"[292.67578125, 311.748046875]"
1766144778312764194,"[283.18359375, 306.123046875]"
1766144778615458990,"[302.34375, 296.279296875]"
1766144778915049734,"[290.21484375, 290.478515625]"
1766144779215547451,"[279.84375, 288.6328125]"
1766144779512822647,"[281.513671875, 288.6328125]"
1766144779813032969,"[282.744140625, 288.6328125]"
1766144780115574276,"[282.83203125, 288.6328125]"
1766144780410759212,"[282.83203125, 288.6328125]"
1766144780711604258,"[282.83203125, 288.6328125]"
1766144781013040666,"[282.83203125, 288.6328125]"
1766144781319540649,"[282.392578125, 288.6328125]"
1766144781614760751,"[277.646484375, 286.611328125]"
1766144781911483574,"[283.0078125, 287.9296875]"
1766144782211032170,"[288.10546875, 287.314453125]"
1766144782515072711,"[291.708984375, 283.88671875]"
1766144782815888394,"[281.162109375, 281.77734375]"
1766144783117156392,"[279.228515625, 294.9609375]"
1766144783415909309,"[276.240234375, 295.048828125]"
1766144783716778636,"[295.751953125, 290.478515625]"
1766144784011428272,"[296.806640625, 286.083984375]"
1766144784313996546,"[288.193359375, 307.08984375]"
1766144784617380805,"[286.69921875, 304.8046875]"
1766144784915315514,"[307.880859375, 293.02734375]"
1766144785213062741,"[308.232421875, 287.2265625]"
1766144785511829775,"[285.8203125, 306.38671875]"
1766144785812952843,"[285.556640625, 302.080078125]"
1766144786114701340,"[302.958984375, 292.67578125]"
1766144786412066143,"[301.376953125, 281.689453125]"
1766144786709892388,"[287.841796875, 306.73828125]"
1766144787012198138,"[279.4921875, 303.22265625]"
1766144787311981253,"[303.92578125, 290.302734375]"
1766144787615895070,"[301.904296875, 286.171875]"
1766144787917020362,"[291.533203125, 302.958984375]"
1766144788212701238,"[290.21484375, 292.939453125]"
1766144788514846752,"[290.21484375, 281.337890625]"
1766144788812195440,"[287.666015625, 280.72265625]"
1766144789115033039,"[289.248046875, 282.041015625]"
1766144789412032909,"[286.34765625, 293.291015625]"
1766144789711178379,"[279.755859375, 294.78515625]"
1766144790010771136,"[280.8984375, 294.78515625]"
1766144790311910198,"[280.37109375, 297.861328125]"
1766144790613971056,"[282.216796875, 298.4765625]"
1766144790911696626,"[282.744140625, 301.025390625]"
1766144791216440490,"[280.37109375, 302.6953125]"
1766144791516060421,"[280.01953125, 286.611328125]"
1766144791811128889,"[293.115234375, 283.88671875]"
1766144792115028982,"[296.54296875, 283.88671875]"
