timestamp,x,y,theta
1766144762104501763,1.218,6.297,1.413717
1766144762398873808,1.218,6.348,1.415898
1766144762702474507,1.216,6.385,1.376628
1766144763001983796,1.219,6.423,1.341722
1766144763301100210,1.221,6.451,1.323178
1766144763597598311,1.226,6.487,1.306815
1766144763901554161,1.235,6.528,1.299179
1766144764201468239,1.25,6.549,1.299179
1766144764497858903,1.266,6.582,1.281726
1766144764800383349,1.279,6.597,1.266455
1766144765101335438,1.211,6.654,1.244638
1766144765400722331,1.177,6.592,1.238093
1766144765688516647,1.167,6.533,1.230457
1766144766001894060,1.174,6.575,1.279545
1766144766316915752,1.186,6.401,1.305724
1766144766599277059,1.213,6.232,1.282817
1766144766895041947,1.209,5.952,1.240275
1766144767195978807,1.207,5.702,1.203186
1766144767498805422,1.221,5.44,1.290453
1766144767799327000,1.213,5.21,1.238093
1766144768087379162,1.174,5.036,1.225003
1766144768399139062,1.178,4.822,1.223912
1766144768698462703,1.19,4.614,1.249001
1766144768998550337,1.179,4.483,1.24682
1766144769297902114,1.15,4.284,1.206459
1766144769599359878,1.128,4.094,1.228275
1766144769898115932,1.146,4.041,1.231548
1766144770198555870,1.157,4.01,1.249001
1766144770501304934,1.15,3.989,1.255546
1766144770797519030,1.154,3.949,1.23373
1766144771094210588,1.191,3.864,1.22173
1766144771399562856,1.201,3.756,1.30027
1766144771699447348,1.192,3.607,1.290453
1766144771998065642,1.172,3.429,1.192278
1766144772298512679,1.148,3.221,1.225003
1766144772598843087,1.177,2.921,1.343904
1766144772894174835,1.146,2.67,1.271909
1766144773198093723,1.143,2.393,1.16828
1766144773499337037,1.138,2.123,1.23482
1766144773794826548,1.126,1.843,1.32645
1766144774099223555,1.114,1.549,1.227185
1766144774397565275,1.102,1.267,1.191187
1766144774699093771,1.096,0.91,1.270818
1766144774999731050,1.055,0.641,1.198823
1766144775299078404,1.031,0.262,1.119192
1766144775599002244,0.906,-0.022,1.182461
1766144775895549424,0.794,-0.306,1.399536
1766144776198177325,0.657,-0.586,1.377719
1766144776495996288,0.532,-0.893,1.320996
1766144776788747027,0.376,-1.215,1.472622
1766144777096631264,0.29,-1.376,1.594795
1766144777399215001,0.131,-1.616,1.5228
1766144777696451650,0.049,-1.757,1.529345
1766144777990789655,-0.206,-1.954,1.907863
1766144778297746159,-0.313,-2.123,2.056216
1766144778598047281,-0.408,-2.276,1.998402
1766144778895973161,-0.58,-2.392,2.274382
1766144779199098684,-0.716,-2.387,2.631084
1766144779498094906,-0.844,-2.324,2.734713
1766144779798774651,-0.895,-2.236,2.777255
1766144780098067396,-0.986,-2.177,2.746712
1766144780394922814,-1.164,-2.296,2.739076
1766144780697146167,-1.186,-2.234,2.734713
1766144780998774839,-1.319,-2.33,2.734713
1766144781301150641,-1.164,-2.221,2.800163
1766144781598813470,-1.038,-2.078,2.896156
1766144781898162923,-1.068,-1.918,2.874339
1766144782194561838,-0.953,-1.738,3.208133
1766144782489959815,-0.798,-1.594,4.01753
1766144782799108610,-0.675,-1.48,5.059273
1766144783100421918,-0.545,-1.393,5.519604
1766144783399345049,-0.353,-1.325,5.731225
1766144783698663378,-0.161,-1.273,5.814128
1766144783996365190,0.029,-1.212,5.843581
1766144784298226813,0.216,-1.139,5.945028
1766144784598864546,0.423,-1.054,5.85667
1766144784895224316,0.639,-0.992,5.6985
1766144785195185086,0.868,-0.948,5.63305
1766144785498567996,1.083,-0.864,5.741042
1766144785798238824,1.321,-0.827,5.691955
1766144786099046257,1.527,-0.778,5.50215
1766144786392312885,1.713,-0.726,5.479243
1766144786694222112,2.141,-0.5,5.649413
1766144786998521803,2.36,-0.418,5.618869
1766144787302096320,2.63,-0.304,5.607961
1766144787601229956,2.821,-0.222,5.600325
1766144787896073008,3.019,-0.129,5.550147
1766144788199326336,3.18,-0.054,5.327618
1766144788489958304,3.342,0.007,5.180355
1766144788799690032,3.424,0.077,4.784384
1766144789098091651,3.475,0.131,4.516039
1766144789398087151,3.457,0.19,4.304418
1766144789691265662,3.399,0.234,4.236787
1766144789997095868,3.331,0.29,4.224788
1766144790297797104,3.212,0.307,4.192063
1766144790598434400,3.146,0.323,4.141884
1766144790899853594,3.072,0.32,3.986987
1766144791196527497,2.999,0.336,3.679372
1766144791500873746,2.92,0.385,3.297581
1766144791795498303,2.828,0.405,3.163409
1766144792095549549,2.721,0.37,3.066325
