timestamp,values
1766144268914191533,"[294.873046875, 0.0]"
1766144269210766675,"[294.873046875, 0.0]"
1766144269509778643,"[294.873046875, 0.0]"
1766144269809625903,"[294.873046875, 0.0]"
1766144270109638295,"[294.873046875, 0.0]"
1766144270409678438,"[294.9609375, 0.0]"
1766144270709587192,"[294.9609375, 0.0]"
1766144271009549495,"[294.9609375, 0.0]"
1766144271309853375,"[294.9609375, 0.0]"
1766144271609630557,"[294.873046875, 0.0]"
1766144271909702900,"[294.873046875, 0.0]"
1766144272209596496,"[294.873046875, 0.0]"
1766144272509576483,"[294.873046875, 0.0]"
1766144272809753684,"[294.873046875, 0.0]"
1766144273109530633,"[294.873046875, 0.0]"
1766144273409474703,"[294.873046875, 0.0]"
1766144273709599661,"[294.873046875, 0.0]"
1766144274009584783,"[294.873046875, 0.0]"
1766144274309596437,"[294.9609375, 0.0]"
1766144274609988496,"[294.9609375, 0.0]"
1766144274909618161,"[294.873046875, 0.0]"
1766144275209606924,"[294.873046875, 0.0]"
1766144275509500444,"[294.873046875, 0.0]"
1766144275809707500,"[294.873046875, 0.0]"
1766144276109721116,"[294.873046875, 0.0]"
1766144276409565308,"[294.873046875, 0.0]"
1766144276709607398,"[294.9609375, 0.0]"
1766144277010876906,"[294.873046875, 0.0]"
1766144277309508098,"[294.873046875, 0.0]"
1766144277610707282,"[294.873046875, 0.0]"
1766144277909686136,"[294.873046875, 0.0]"
1766144278209534527,"[294.873046875, 0.0]"
1766144278509558363,"[294.873046875, 0.0]"
1766144278809819764,"[294.873046875, 0.0]"
1766144279109644696,"[294.873046875, 0.0]"
1766144279409929165,"[294.873046875, 0.0]"
1766144279710263224,"[294.873046875, 0.0]"
1766144280009961704,"[294.873046875, 0.0]"
1766144280310047607,"[294.873046875, 0.0]"
1766144280609639296,"[294.873046875, 0.0]"
1766144280909725378,"[294.873046875, 0.0]"
1766144281209785126,"[294.873046875, 0.0]"
1766144281509902648,"[294.873046875, 0.0]"
1766144281809568241,"[294.873046875, 0.0]"
1766144282109987300,"[294.78515625, 0.0]"
1766144282409674879,"[294.521484375, 0.0]"
1766144282709746140,"[290.654296875, 0.0]"
1766144283009678249,"[290.21484375, 0.0]"
1766144283309908654,"[292.32421875, 0.0]"
1766144283609684790,"[292.32421875, 0.0]"
1766144283909705758,"[292.32421875, 0.0]"
1766144284209704194,"[293.37890625, 0.0]"
1766144284510161348,"[303.92578125, 0.0]"
1766144284809612950,"[303.92578125, 0.0]"
1766144285111535790,"[303.92578125, 0.0]"
1766144285409608848,"[304.013671875, 0.0]"
1766144285709698470,"[304.013671875, 0.0]"
1766144286009663904,"[304.62890625, 0.0]"
1766144286309678308,"[306.474609375, 0.0]"
1766144286609634354,"[306.650390625, 0.0]"
1766144286909751783,"[308.583984375, 0.0]"
1766144287209886417,"[308.49609375, 0.0]"
1766144287509711367,"[308.49609375, 0.0]"
1766144287809691716,"[308.49609375, 0.0]"
1766144288110062304,"[308.49609375, 0.0]"
1766144288410031007,"[308.49609375, 0.0]"
1766144288710092241,"[308.49609375, 0.0]"
1766144289009671268,"[308.49609375, 0.0]"
1766144289309666629,"[308.49609375, 0.0]"
1766144289609913080,"[308.49609375, 0.0]"
1766144289909861327,"[308.49609375, 0.0]"
1766144290209754895,"[308.49609375, 0.0]"
1766144290509817203,"[308.49609375, 0.0]"
1766144290809550282,"[308.49609375, 0.0]"
1766144291109874908,"[308.49609375, 0.0]"
1766144291410668785,"[308.49609375, 0.0]"
1766144291709747440,"[308.49609375, 0.0]"
1766144292009668465,"[308.49609375, 0.0]"
1766144292310966371,"[308.49609375, 0.0]"
1766144292609709702,"[308.49609375, 0.0]"
1766144292909766311,"[308.49609375, 0.0]"
1766144293209922917,"[302.51953125, 0.0]"
1766144293512838808,"[300.234375, 0.0]"
1766144293809806199,"[296.89453125, 0.0]"
1766144294110122334,"[295.048828125, 0.0]"
1766144294409745486,"[293.642578125, 0.0]"
1766144294711296284,"[293.642578125, 0.0]"
1766144295009671483,"[293.115234375, 0.0]"
1766144295309861140,"[292.412109375, 0.0]"
1766144295609716059,"[292.412109375, 0.0]"
1766144295909747513,"[288.6328125, 0.0]"
1766144296209850168,"[288.6328125, 0.0]"
1766144296509896994,"[283.974609375, 0.0]"
1766144296809740740,"[284.23828125, 0.0]"
1766144297109640190,"[284.23828125, 0.0]"
1766144297409911273,"[282.12890625, 0.0]"
1766144297709632589,"[280.546875, 0.0]"
1766144298010931090,"[280.546875, 0.0]"
1766144298309663447,"[279.66796875, 0.0]"
