timestamp,x,y,theta
1766144268912264579,0.565,2.8,-0.100356
1766144269188257551,0.607,2.822,-0.092721
1766144269490352663,0.603,2.818,-0.085085
1766144269789216398,0.601,2.813,-0.093811
1766144270101096111,0.57,2.797,-0.092721
1766144270393127315,0.523,2.77,-0.093811
1766144270701608481,0.478,2.777,-0.103629
1766144270989606963,0.438,2.793,-0.103629
1766144271291149470,0.406,2.803,-0.107992
1766144271589960184,0.417,2.856,-0.121082
1766144271893695478,0.426,2.902,-0.121082
1766144272190015040,0.432,2.911,-0.116719
1766144272505044081,0.426,2.902,-0.114537
1766144272790523399,0.368,2.867,0.0
1766144273090734728,0.307,2.844,-0.110174
1766144273390733719,0.362,2.876,-0.11781
1766144273691246101,0.418,2.911,-0.129809
1766144274005711283,0.47,2.939,-0.131991
1766144274300937378,0.474,2.914,-0.103629
1766144274601716524,0.518,2.93,-0.083994
1766144274900825268,0.553,2.944,-0.083994
1766144275205376761,0.592,2.985,-0.081812
1766144275489962403,0.545,2.942,-0.090539
1766144275800831425,0.58,2.951,-0.088357
1766144276092337701,0.618,2.963,-0.069813
1766144276391890824,0.639,2.973,-0.087266
1766144276686217909,0.66,2.977,-0.075267
1766144277004230649,0.679,2.979,-0.05236
1766144277289708336,0.694,2.978,-0.051269
1766144277589446048,0.702,2.976,-0.055632
1766144277889191366,0.71,2.981,-0.049087
1766144278189395241,0.719,2.968,-0.032725
1766144278505854968,0.721,2.961,-0.045815
1766144278804457666,0.716,2.954,-0.053451
1766144279104855000,0.721,2.956,-0.051269
1766144279393135553,0.717,2.947,-0.046906
1766144279705417545,0.716,2.944,-0.044724
1766144280004653171,0.711,2.945,-0.034907
1766144280294364605,0.708,2.949,-0.031634
1766144280591536996,0.705,2.948,-0.029452
1766144280903829651,0.706,2.948,-0.025089
1766144281191302134,0.696,2.941,-0.028362
1766144281488524552,0.693,2.948,-0.030543
1766144281791092112,0.684,2.944,-0.030543
1766144282090890459,0.691,2.943,-0.035997
1766144282391294303,0.651,2.919,-0.040361
1766144282692155956,0.516,2.825,-0.059996
1766144282989160333,0.456,2.783,-0.099266
1766144283291776911,0.486,2.831,6.080291
1766144283591919768,0.522,2.88,6.061747
1766144283891527772,0.588,2.967,6.085745
1766144284193913561,0.609,2.985,6.080291
1766144284489431997,0.628,3.019,6.071564
1766144284790621668,0.647,3.057,6.060656
1766144285090168110,0.668,3.071,6.096653
1766144285392743874,0.673,3.074,6.127197
1766144285690296372,0.567,3.015,-0.118901
1766144285992886536,0.583,3.072,-0.119991
1766144286287860113,0.632,3.087,6.128287
1766144286599479074,0.645,3.162,6.125015
1766144286889346004,0.694,3.166,6.123924
1766144287201309644,0.708,3.18,6.111925
1766144287503050668,0.735,3.193,6.109743
1766144287791431545,0.774,3.2,6.109743
1766144288091923977,0.862,3.272,-0.1309
1766144288388647920,0.758,3.214,-0.101447
1766144288703224099,0.698,3.158,-0.127627
1766144288989878051,0.792,3.243,-0.137445
1766144289287891825,0.873,3.309,-0.140717
1766144289590402988,0.919,3.334,-0.128718
1766144289891033477,0.87,3.265,-0.123264
1766144290192219592,0.833,3.194,-0.109083
1766144290501064354,0.643,3.027,-0.094902
1766144290790395754,0.54,2.984,-0.074176
1766144291092596940,0.538,2.967,-0.102538
1766144291408604199,0.559,2.938,-0.10472
1766144291690333629,0.514,2.881,-0.069813
1766144292005199288,0.401,2.777,-0.03927
1766144292288709423,0.302,2.692,-0.03927
1766144292590945013,0.359,2.74,-0.093811
1766144292887851803,0.409,2.785,6.135923
1766144293191432304,0.455,2.853,6.096653
1766144293493786036,0.588,3.05,6.012659
1766144293800679300,0.648,3.178,5.985389
1766144294090393402,0.697,3.213,5.971208
1766144294389868082,0.714,3.248,5.991933
1766144294688483610,0.745,3.254,5.993024
1766144294989192248,0.744,3.266,5.993024
1766144295300619294,0.733,3.275,6.002842
1766144295592166022,0.74,3.266,6.01375
1766144295889570705,0.756,3.241,6.025749
1766144296192277544,0.77,3.212,6.015932
1766144296493480143,0.745,3.236,6.031203
1766144296804045097,0.741,3.267,6.061747
1766144297093240519,0.734,3.295,6.017023
1766144297402268468,0.736,3.325,5.995206
1766144297692035727,0.739,3.342,5.970117
1766144297987612697,0.747,3.358,5.975571
1766144298288912505,0.758,3.374,5.978844
