timestamp,values
1766144461813056096,"[291.97265625, 317.28515625]"
1766144462111224535,"[284.150390625, 300.76171875]"
1766144462410919635,"[325.458984375, 293.115234375]"
1766144462713584838,"[313.505859375, 273.427734375]"
1766144463011204625,"[291.62109375, 298.212890625]"
1766144463313285488,"[296.015625, 284.150390625]"
1766144463611413239,"[306.9140625, 277.91015625]"
1766144463914437589,"[303.662109375, 309.638671875]"
1766144464215786016,"[289.072265625, 300.76171875]"
1766144464518111113,"[306.73828125, 298.30078125]"
1766144464811648671,"[310.078125, 286.69921875]"
1766144465110381246,"[300.5859375, 305.419921875]"
1766144465416984734,"[285.64453125, 299.267578125]"
1766144465712500510,"[301.201171875, 299.443359375]"
1766144466010796007,"[289.072265625, 279.404296875]"
1766144466313460739,"[286.259765625, 281.25]"
1766144466610737277,"[284.4140625, 280.546875]"
1766144466912206708,"[279.052734375, 283.18359375]"
1766144467211181950,"[279.4921875, 283.271484375]"
1766144467511695251,"[280.458984375, 283.359375]"
1766144467812629520,"[280.458984375, 283.359375]"
1766144468112323455,"[277.734375, 283.18359375]"
1766144468412397987,"[286.435546875, 298.037109375]"
1766144468712600249,"[283.53515625, 298.212890625]"
1766144469012156649,"[272.28515625, 302.431640625]"
1766144469310852030,"[297.94921875, 290.0390625]"
1766144469616273078,"[304.189453125, 288.896484375]"
1766144469914552100,"[289.951171875, 307.44140625]"
1766144470210996457,"[289.6875, 304.453125]"
1766144470512641683,"[301.9921875, 284.58984375]"
1766144470813193362,"[299.267578125, 283.359375]"
1766144471111291632,"[284.326171875, 303.486328125]"
1766144471418573199,"[284.4140625, 301.81640625]"
1766144471713276540,"[274.658203125, 292.1484375]"
1766144472012751835,"[301.376953125, 282.65625]"
1766144472313441200,"[307.001953125, 279.404296875]"
1766144472619669642,"[296.982421875, 297.0703125]"
1766144472913872932,"[291.884765625, 295.13671875]"
1766144473209699573,"[280.810546875, 294.521484375]"
1766144473512024895,"[281.162109375, 288.017578125]"
1766144473812087764,"[280.546875, 287.841796875]"
1766144474112946515,"[276.591796875, 285.205078125]"
1766144474420053739,"[280.458984375, 289.072265625]"
1766144474711951294,"[279.4921875, 287.314453125]"
1766144475013454418,"[278.96484375, 277.55859375]"
1766144475313198829,"[287.75390625, 277.470703125]"
1766144475612336972,"[294.697265625, 278.701171875]"
1766144475913263642,"[289.86328125, 299.70703125]"
1766144476212688589,"[289.775390625, 289.775390625]"
1766144476512072034,"[289.775390625, 297.861328125]"
1766144476811278149,"[288.10546875, 281.953125]"
1766144477118947616,"[289.51171875, 273.076171875]"
1766144477412829005,"[291.884765625, 276.064453125]"
1766144477713353321,"[278.61328125, 290.302734375]"
1766144478010695503,"[277.734375, 290.21484375]"
1766144478315703647,"[280.546875, 285.46875]"
1766144478611700165,"[282.83203125, 289.775390625]"
1766144478916589703,"[285.556640625, 278.4375]"
1766144479215057674,"[298.30078125, 288.80859375]"
1766144479511970677,"[298.4765625, 301.9921875]"
1766144479812798930,"[295.751953125, 302.080078125]"
1766144480112041326,"[287.9296875, 301.81640625]"
1766144480414638528,"[285.205078125, 298.740234375]"
1766144480713802001,"[286.259765625, 297.333984375]"
1766144481018106139,"[286.875, 284.765625]"
1766144481312526895,"[285.29296875, 311.66015625]"
1766144481614342944,"[282.83203125, 309.111328125]"
1766144481911437170,"[281.42578125, 301.9921875]"
1766144482212714358,"[281.77734375, 306.123046875]"
1766144482511922518,"[281.865234375, 295.400390625]"
1766144482815044792,"[289.072265625, 290.91796875]"
1766144483112923320,"[286.875, 297.333984375]"
1766144483413459602,"[277.998046875, 296.279296875]"
1766144483711824688,"[279.140625, 297.158203125]"
1766144484010917964,"[281.25, 299.35546875]"
1766144484315475106,"[285.64453125, 299.35546875]"
1766144484616168103,"[285.556640625, 300.5859375]"
1766144484912253703,"[285.029296875, 299.70703125]"
1766144485214406575,"[280.72265625, 300.05859375]"
1766144485511299888,"[286.34765625, 283.88671875]"
1766144485813441117,"[300.234375, 286.083984375]"
1766144486114308862,"[293.37890625, 286.69921875]"
1766144486416082691,"[286.171875, 293.115234375]"
1766144486714791226,"[282.48046875, 301.201171875]"
1766144487014711390,"[293.5546875, 287.05078125]"
1766144487313167417,"[300.322265625, 286.962890625]"
1766144487615221518,"[280.283203125, 296.103515625]"
1766144487919262826,"[276.15234375, 304.27734375]"
1766144488213282819,"[295.400390625, 286.5234375]"
1766144488518780487,"[302.16796875, 286.787109375]"
1766144488812513995,"[279.31640625, 287.666015625]"
