timestamp,x,y,theta
1766144462088878567,-0.074,4.968,0.990474
1766144462387827196,-0.108,4.7,0.741765
1766144462690187589,-0.131,4.417,0.575959
1766144462991836321,-0.074,4.087,0.449422
1766144463288382222,-0.018,3.725,0.337067
1766144463591484965,0.145,3.293,0.047997
1766144463901623916,0.261,2.984,0.010908
1766144464191849135,0.38,2.673,-0.005454
1766144464504444774,0.543,2.408,6.072655
1766144464788799536,0.695,2.181,5.88176
1766144465098864295,0.88,1.964,5.899213
1766144465404402203,1.069,1.761,-0.11781
1766144465687137523,1.164,1.599,0.290161
1766144465986819564,1.268,1.39,0.70904
1766144466299269842,1.355,1.224,0.848666
1766144466602311585,1.464,1.062,0.895572
1766144466891940545,1.557,0.929,0.90648
1766144467201119337,1.635,0.845,0.771217
1766144467491493298,1.693,0.795,0.714494
1766144467790120604,1.737,0.789,0.69595
1766144468088340497,1.764,0.804,0.658862
1766144468387610380,1.807,0.812,0.561778
1766144468700980825,1.886,0.823,0.169079
1766144468990078369,1.987,0.878,-0.081812
1766144469287783437,2.114,0.897,5.977753
1766144469589587449,2.311,0.804,5.952664
1766144469892430395,2.535,0.683,6.062837
1766144470201022058,2.716,0.624,6.135923
1766144470489722085,2.862,0.585,6.103198
1766144470799332108,3.086,0.44,6.022477
1766144471084364473,3.252,0.419,6.10538
1766144471389478729,3.395,0.414,6.104289
1766144471689179343,3.573,0.335,5.98757
1766144471989922311,3.791,0.352,5.864306
1766144472289097484,3.907,0.299,6.083563
1766144472603005319,4.026,0.23,-0.103629
1766144472901212224,4.153,0.228,6.090108
1766144473189919968,4.267,0.217,5.989752
1766144473490065688,4.34,0.21,5.772677
1766144473802882717,4.401,0.188,5.703954
1766144474101563109,4.549,0.207,5.769404
1766144474389776052,4.592,0.201,5.994115
1766144474687776745,4.609,0.154,6.035567
1766144474989952811,4.65,0.05,6.01375
1766144475290686439,4.7,-0.024,6.045384
1766144475591944012,4.799,-0.136,6.080291
1766144475890742696,4.912,-0.238,6.11847
1766144476190601210,4.972,-0.289,6.095562
1766144476502513551,5.098,-0.329,6.021386
1766144476789959601,5.388,-0.312,5.923211
1766144477101933284,5.562,-0.253,5.769404
1766144477390178287,5.561,-0.199,5.706136
1766144477691355001,5.578,-0.111,5.858852
1766144477991430562,5.647,-0.081,6.043203
1766144478301330860,5.706,-0.035,6.027931
1766144478602295796,5.741,0.045,6.001751
1766144478900410032,5.806,0.086,5.997388
1766144479189802569,5.812,0.202,6.061747
1766144479488031049,5.754,0.336,-0.080721
1766144479788187143,5.679,0.488,6.037748
1766144480086895748,5.596,0.626,5.51524
1766144480402913248,5.524,0.732,5.082181
1766144480702618308,5.422,0.836,5.075636
1766144480988866266,5.322,0.912,4.999277
1766144481301147624,5.231,0.986,4.89783
1766144481589286162,5.138,1.113,4.798565
1766144481890402837,5.091,1.177,4.737478
1766144482191064380,5.087,1.241,4.771294
1766144482487850292,5.097,1.337,4.79311
1766144482789613029,5.112,1.45,4.753841
1766144483087143447,5.139,1.534,4.92401
1766144483388010124,5.105,1.567,4.996005
1766144483699493654,5.076,1.577,5.113815
1766144483990850046,5.076,1.605,5.126905
1766144484301071288,5.072,1.618,4.891285
1766144484601058672,5.054,1.708,4.813836
1766144484891501441,5.063,1.724,4.763658
1766144485186827560,5.087,1.731,4.733115
1766144485491887628,5.159,1.789,4.581489
1766144485801189607,5.294,1.841,4.284783
1766144486101834792,5.223,1.808,4.005531
1766144486391660473,5.119,1.86,4.113523
1766144486698914600,5.003,1.964,4.118977
1766144487000687606,4.898,2.09,4.133158
1766144487288784299,4.805,2.195,4.103705
1766144487588289906,4.717,2.324,4.247695
1766144487889269454,4.638,2.511,4.246604
1766144488190210357,4.583,2.687,4.288056
1766144488489883333,4.545,2.882,4.187699
1766144488787808423,4.518,3.069,4.349142
