timestamp,values
1766144658012386306,"[291.796875, 290.56640625]"
1766144658311087475,"[291.796875, 290.56640625]"
1766144658611971108,"[291.796875, 290.0390625]"
1766144658911274163,"[291.796875, 289.599609375]"
1766144659214392794,"[296.71875, 288.45703125]"
1766144659511378429,"[305.068359375, 287.9296875]"
1766144659815247333,"[298.125, 288.10546875]"
1766144660112924093,"[280.37109375, 303.310546875]"
1766144660416111667,"[281.162109375, 301.46484375]"
1766144660721322898,"[310.78125, 287.841796875]"
1766144661015007217,"[312.01171875, 282.48046875]"
1766144661312722274,"[286.34765625, 317.197265625]"
1766144661618776938,"[276.416015625, 303.046875]"
1766144661911435919,"[308.583984375, 291.181640625]"
1766144662212318563,"[309.638671875, 281.77734375]"
1766144662513691643,"[278.876953125, 310.78125]"
1766144662814718993,"[274.21875, 306.2109375]"
1766144663114090022,"[308.84765625, 294.609375]"
1766144663412735344,"[302.34375, 286.34765625]"
1766144663711143782,"[288.720703125, 300.05859375]"
1766144664014035236,"[288.544921875, 300.849609375]"
1766144664310724854,"[313.9453125, 300.849609375]"
1766144664613512932,"[300.5859375, 287.05078125]"
1766144664917024660,"[286.787109375, 296.015625]"
1766144665216899672,"[286.171875, 307.177734375]"
1766144665511307511,"[304.716796875, 294.43359375]"
1766144665815332648,"[302.87109375, 291.26953125]"
1766144666112629472,"[291.62109375, 291.62109375]"
1766144666411008682,"[290.56640625, 300.322265625]"
1766144666713744189,"[290.56640625, 297.0703125]"
1766144667014714596,"[289.16015625, 288.10546875]"
1766144667313633102,"[304.892578125, 288.10546875]"
1766144667613670311,"[304.27734375, 287.05078125]"
1766144667917859654,"[284.150390625, 301.9921875]"
1766144668214775152,"[279.66796875, 304.716796875]"
1766144668514653653,"[304.62890625, 290.126953125]"
1766144668812673655,"[307.177734375, 289.775390625]"
1766144669116448167,"[285.380859375, 307.96875]"
1766144669412259492,"[282.216796875, 308.3203125]"
1766144669714757825,"[309.375, 290.0390625]"
1766144670010517295,"[308.49609375, 289.072265625]"
1766144670314485605,"[288.45703125, 305.68359375]"
1766144670611823284,"[282.216796875, 307.529296875]"
1766144670916076851,"[294.521484375, 292.8515625]"
1766144671215139964,"[310.4296875, 285.556640625]"
1766144671516762847,"[291.533203125, 304.27734375]"
1766144671811173821,"[284.765625, 305.5078125]"
1766144672112984535,"[292.67578125, 291.97265625]"
1766144672412588163,"[302.958984375, 278.701171875]"
1766144672717124376,"[295.927734375, 285.732421875]"
1766144673013344687,"[290.390625, 291.09375]"
1766144673315489199,"[283.18359375, 287.578125]"
1766144673613118844,"[283.974609375, 279.84375]"
1766144673914503907,"[283.798828125, 284.326171875]"
1766144674217338490,"[283.798828125, 284.326171875]"
1766144674510252109,"[283.359375, 285.1171875]"
1766144674815920471,"[283.271484375, 284.150390625]"
1766144675112469671,"[284.4140625, 284.23828125]"
1766144675419684022,"[283.88671875, 282.744140625]"
1766144675711165103,"[278.96484375, 282.744140625]"
1766144676014159639,"[284.4140625, 282.83203125]"
1766144676321181831,"[284.4140625, 282.83203125]"
1766144676612178786,"[284.326171875, 282.83203125]"
1766144676912233651,"[284.23828125, 282.83203125]"
1766144677212481805,"[284.23828125, 282.83203125]"
1766144677511083688,"[283.88671875, 282.83203125]"
1766144677815727334,"[283.623046875, 282.83203125]"
1766144678113633796,"[276.416015625, 287.314453125]"
1766144678420844565,"[282.568359375, 287.841796875]"
1766144678718701528,"[290.830078125, 287.578125]"
1766144679012117276,"[299.1796875, 287.578125]"
1766144679313396098,"[289.072265625, 300.234375]"
1766144679619989685,"[288.984375, 298.4765625]"
1766144679919244918,"[288.984375, 295.6640625]"
1766144680209891335,"[293.818359375, 281.6015625]"
1766144680518336559,"[303.310546875, 284.501953125]"
1766144680813087490,"[290.0390625, 304.8046875]"
