timestamp,x,y,theta
1766144658031948242,0.517,7.269,1.398445
1766144658298089454,0.522,7.242,1.392991
1766144658599244662,0.517,7.21,1.422443
1766144658897184835,0.497,7.189,1.44426
1766144659198989555,0.457,7.194,1.468258
1766144659497826806,0.4,7.124,1.47044
1766144659796973491,0.369,7.046,1.434442
1766144660087929142,0.351,6.933,1.468258
1766144660398541630,0.3,6.794,1.492257
1766144660689006711,0.237,6.622,1.403899
1766144660997864242,0.149,6.47,1.397354
1766144661298473062,0.073,6.205,1.476985
1766144661596683237,-0.023,5.934,1.435533
1766144661900869046,-0.076,5.682,1.310088
1766144662200000863,-0.092,5.396,1.302452
1766144662494675699,-0.073,5.091,1.428988
1766144662799438490,-0.093,4.871,1.414808
1766144663088182804,-0.104,4.599,1.35263
1766144663399000917,-0.074,4.304,1.362448
1766144663688800640,-0.022,3.978,1.484621
1766144663988596628,0.018,3.683,1.462804
1766144664295792209,-0.023,3.435,1.396263
1766144664599628332,-0.045,3.179,1.459532
1766144664900164288,-0.026,2.943,1.540253
1766144665198586319,-0.082,2.678,1.484621
1766144665500426605,-0.117,2.481,1.482439
1766144665799795204,-0.165,2.252,1.553343
1766144666100574154,-0.179,2.08,1.656972
1766144666396167246,-0.202,1.947,1.639519
1766144666689872306,-0.199,1.854,1.619884
1766144667000560932,-0.239,1.77,1.616611
1766144667299723484,-0.292,1.703,1.539162
1766144667599382128,-0.402,1.599,1.498801
1766144667900382267,-0.5,1.453,1.558797
1766144668200905023,-0.583,1.299,1.523891
1766144668498975283,-0.558,1.181,1.450805
1766144668799571053,-0.574,1.012,1.390809
1766144669099699808,-0.549,0.88,1.475894
1766144669400555766,-0.527,0.726,1.455168
1766144669697921209,-0.504,0.537,1.337359
1766144669993959999,-0.496,0.351,1.270818
1766144670300244638,-0.469,0.162,1.388628
1766144670600092535,-0.45,-0.02,1.467167
1766144670892651849,-0.433,-0.258,1.356993
1766144671201515446,-0.418,-0.437,1.271909
1766144671500870862,-0.414,-0.645,1.397354
1766144671789986790,-0.403,-0.928,1.438806
1766144672097892936,-0.415,-1.073,1.137737
1766144672399747123,-0.4,-1.17,0.702495
1766144672697342206,-0.365,-1.196,0.387245
1766144672998559271,-0.293,-1.224,-0.027271
1766144673288807378,-0.265,-1.222,5.589417
1766144673598684967,-0.242,-1.153,5.047274
1766144673899450845,-0.265,-1.069,4.654575
1766144674201161110,-0.34,-0.977,4.378595
1766144674499514603,-0.414,-0.891,4.304418
1766144674799785844,-0.464,-0.831,4.380776
1766144675101015316,-0.484,-0.776,4.446226
1766144675400079788,-0.481,-0.73,4.454953
1766144675702873307,-0.472,-0.711,4.45168
1766144675998978465,-0.472,-0.685,4.460407
1766144676300086508,-0.476,-0.688,4.496404
1766144676600046449,-0.499,-0.684,4.45168
1766144676891302995,-0.525,-0.669,4.386231
1766144677197387818,-0.555,-0.639,4.367686
1766144677500901372,-0.572,-0.644,4.408047
1766144677800070505,-0.572,-0.684,4.522584
1766144678096960795,-0.535,-0.647,5.14763
1766144678400999768,-0.456,-0.675,5.743224
1766144678699015315,-0.327,-0.706,5.897031
1766144678999036380,-0.214,-0.716,5.903576
1766144679298919615,-0.102,-0.695,5.828309
1766144679599632347,0.006,-0.659,5.771586
1766144679890852275,0.139,-0.706,5.775949
1766144680198306339,0.282,-0.699,5.80322
1766144680500124206,0.453,-0.654,5.857761
1766144680799566663,0.603,-0.574,6.015932
