timestamp,values
1766144137509844355,"[1.23046875, 0.0]"
1766144137809759961,"[1.23046875, 0.0]"
1766144138109727150,"[1.23046875, 0.0]"
1766144138409718312,"[1.23046875, 0.0]"
1766144138709730870,"[1.142578125, 0.0]"
1766144139009940903,"[1.0546875, 0.0]"
1766144139310024018,"[1.142578125, 0.0]"
1766144139609723798,"[1.142578125, 0.0]"
1766144139911006456,"[1.23046875, 0.0]"
1766144140209914039,"[1.23046875, 0.0]"
1766144140510218831,"[1.142578125, 0.0]"
1766144140810000520,"[1.142578125, 0.0]"
1766144141109580870,"[1.142578125, 0.0]"
1766144141409614922,"[1.0546875, 0.0]"
1766144141709686469,"[1.0546875, 0.0]"
1766144142011919117,"[0.439453125, 0.0]"
1766144142309585309,"[0.791015625, 0.0]"
1766144142609735311,"[1.142578125, 0.0]"
1766144142909659556,"[1.40625, 0.0]"
1766144143209761217,"[1.40625, 0.0]"
1766144143509761512,"[1.318359375, 0.0]"
1766144143810291698,"[1.318359375, 0.0]"
1766144144110043848,"[1.318359375, 0.0]"
1766144144410008562,"[1.318359375, 0.0]"
1766144144710475616,"[1.318359375, 0.0]"
1766144145010278974,"[1.318359375, 0.0]"
1766144145309840200,"[1.318359375, 0.0]"
1766144145610630469,"[1.318359375, 0.0]"
1766144145910106809,"[1.318359375, 0.0]"
1766144146209889166,"[1.318359375, 0.0]"
1766144146509948208,"[1.318359375, 0.0]"
1766144146810514836,"[1.318359375, 0.0]"
1766144147109928649,"[1.40625, 0.0]"
1766144147409679200,"[1.318359375, 0.0]"
1766144147709610119,"[1.40625, 0.0]"
1766144148010139194,"[1.318359375, 0.0]"
1766144148310179290,"[1.318359375, 0.0]"
1766144148609693409,"[1.318359375, 0.0]"
1766144148909724111,"[1.318359375, 0.0]"
1766144149210059146,"[1.318359375, 0.0]"
1766144149509907883,"[1.318359375, 0.0]"
1766144149809796089,"[1.318359375, 0.0]"
1766144150109920052,"[1.318359375, 0.0]"
1766144150411350546,"[1.318359375, 0.0]"
1766144150710016536,"[1.318359375, 0.0]"
1766144151009855185,"[1.318359375, 0.0]"
1766144151309713246,"[1.318359375, 0.0]"
1766144151609780861,"[1.318359375, 0.0]"
1766144151909670031,"[1.318359375, 0.0]"
1766144152209884979,"[1.318359375, 0.0]"
1766144152509899634,"[1.318359375, 0.0]"
1766144152809912170,"[1.318359375, 0.0]"
1766144153109815874,"[1.318359375, 0.0]"
1766144153409792875,"[1.318359375, 0.0]"
1766144153709771018,"[1.318359375, 0.0]"
1766144154009617775,"[1.318359375, 0.0]"
1766144154309920656,"[1.318359375, 0.0]"
1766144154609769788,"[1.318359375, 0.0]"
1766144154909934673,"[1.318359375, 0.0]"
1766144155210086613,"[1.318359375, 0.0]"
1766144155510055026,"[1.318359375, 0.0]"
1766144155809847238,"[1.318359375, 0.0]"
1766144156109800718,"[1.318359375, 0.0]"
1766144156410258842,"[1.318359375, 0.0]"
1766144156709703923,"[1.318359375, 0.0]"
1766144157010639041,"[1.318359375, 0.0]"
1766144157310903235,"[1.318359375, 0.0]"
