timestamp,x,y,theta
1766144135091276729,0.267,4.404,0.025089
1766144135391156405,0.232,4.375,-0.015272
1766144135690573548,0.199,4.355,6.116288
1766144136000943375,0.176,4.335,6.023568
1766144136293279555,0.155,4.317,6.116288
1766144136592165373,0.153,4.342,-0.133081
1766144136892133072,0.151,4.361,-0.1309
1766144137193115126,0.144,4.388,-0.127627
1766144137493920553,0.137,4.395,-0.122173
1766144137789511455,0.145,4.409,-0.127627
1766144138102875413,0.164,4.44,-0.14399
1766144138390367885,0.175,4.451,-0.142899
1766144138688456422,0.176,4.455,-0.138536
1766144139003014079,0.193,4.482,-0.142899
1766144139303424253,0.213,4.477,6.099926
1766144139603172965,0.217,4.462,6.128287
1766144139891188787,0.194,4.428,-0.017453
1766144140191457527,0.176,4.395,-0.020726
1766144140492563960,0.169,4.379,-0.073086
1766144140791286825,0.163,4.371,-0.094902
1766144141092575244,0.177,4.388,-0.134172
1766144141394374201,0.209,4.41,6.117379
1766144141694011776,0.243,4.463,-0.131991
1766144141990802794,0.299,4.484,-0.094902
1766144142290569218,0.347,4.511,-0.068722
1766144142593375428,0.364,4.52,-0.033816
1766144142893424637,0.357,4.526,-0.023998
1766144143193368191,0.317,4.503,-0.081812
1766144143502094166,0.285,4.493,-0.14399
1766144143792207837,0.27,4.493,-0.126536
1766144144093202013,0.272,4.501,-0.110174
1766144144389791258,0.235,4.46,-0.1309
1766144144691900889,0.213,4.439,-0.093811
1766144144992201444,0.224,4.449,-0.086176
1766144145290192556,0.211,4.436,-0.077449
1766144145590533629,0.197,4.437,-0.080721
1766144145890473023,0.181,4.441,-0.088357
1766144146191801378,0.173,4.437,-0.07854
1766144146492892838,0.168,4.432,-0.075267
1766144146792538624,0.165,4.434,-0.079631
1766144147101681794,0.162,4.423,-0.088357
1766144147403123690,0.162,4.415,-0.094902
1766144147693353980,0.168,4.415,-0.102538
1766144147992127751,0.178,4.405,-0.10472
1766144148292913565,0.189,4.402,-0.10472
1766144148600846108,0.211,4.403,-0.111265
1766144148891579994,0.217,4.406,-0.106901
1766144149189544437,0.219,4.404,-0.101447
1766144149502014323,0.22,4.397,-0.105811
1766144149793499889,0.22,4.415,-0.10472
1766144150093493225,0.223,4.411,-0.102538
1766144150393335059,0.195,4.453,-0.107992
1766144150690797063,0.182,4.469,-0.110174
1766144150991042854,0.168,4.466,-0.107992
1766144151293165639,0.152,4.459,-0.10472
1766144151592202617,0.142,4.461,-0.109083
1766144151906747362,0.134,4.447,-0.111265
1766144152205005775,0.133,4.426,-0.111265
1766144152500460330,0.148,4.418,-0.110174
1766144152801914594,0.158,4.407,-0.113446
1766144153091011426,0.173,4.398,-0.112356
1766144153392262944,0.188,4.389,-0.11781
1766144153691448329,0.197,4.372,-0.118901
1766144153994648035,0.202,4.369,-0.116719
1766144154288384853,0.205,4.373,-0.118901
1766144154602193225,0.213,4.372,-0.121082
1766144154901593333,0.219,4.373,-0.119991
1766144155194124999,0.217,4.374,-0.121082
1766144155492960924,0.217,4.38,-0.125446
1766144155779201302,0.207,4.367,-0.126536
1766144156092855725,0.21,4.375,-0.122173
1766144156389961303,0.212,4.374,-0.122173
1766144156692421418,0.214,4.383,-0.122173
1766144156987928667,0.211,4.388,-0.115628
1766144157289549511,0.215,4.391,-0.116719
