timestamp,values
1766145328061783793,"[279.84375, 286.69921875]"
1766145328359374492,"[279.580078125, 292.67578125]"
1766145328658871247,"[279.931640625, 290.830078125]"
1766145328958439681,"[280.1953125, 290.830078125]"
1766145329259092120,"[279.228515625, 292.412109375]"
1766145329558795719,"[279.31640625, 287.490234375]"
1766145329857928543,"[273.69140625, 284.150390625]"
1766145330159627357,"[276.85546875, 284.150390625]"
1766145330459362081,"[286.259765625, 283.798828125]"
1766145330759273568,"[271.7578125, 282.919921875]"
1766145331058828956,"[284.4140625, 283.447265625]"
1766145331359860839,"[297.59765625, 280.634765625]"
1766145331659255546,"[307.001953125, 276.85546875]"
1766145331959421251,"[295.6640625, 298.388671875]"
1766145332259988454,"[279.580078125, 286.171875]"
1766145332559814361,"[320.712890625, 282.392578125]"
1766145332858613107,"[303.310546875, 271.40625]"
1766145333158301317,"[285.46875, 310.60546875]"
1766145333458522417,"[274.74609375, 279.66796875]"
1766145333758723968,"[323.4375, 288.984375]"
1766145334059672414,"[301.201171875, 273.955078125]"
1766145334357922966,"[286.435546875, 308.671875]"
1766145334657886716,"[289.6875, 273.251953125]"
1766145334958273956,"[305.771484375, 273.1640625]"
1766145335257571772,"[296.630859375, 304.453125]"
1766145335557592276,"[270.615234375, 295.6640625]"
1766145335859236024,"[291.26953125, 297.94921875]"
1766145336159158899,"[290.56640625, 285.1171875]"
1766145336457618892,"[281.25, 310.95703125]"
1766145336758424516,"[272.724609375, 286.435546875]"
1766145337059604765,"[307.177734375, 288.28125]"
1766145337358037241,"[296.806640625, 272.28515625]"
1766145337660519301,"[284.853515625, 315.87890625]"
1766145337960716773,"[272.4609375, 285.99609375]"
1766145338257372061,"[315.0, 288.720703125]"
1766145338558955079,"[299.091796875, 272.4609375]"
1766145338860495611,"[287.138671875, 315.966796875]"
1766145339159902604,"[272.548828125, 302.16796875]"
1766145339459991861,"[315.791015625, 290.302734375]"
1766145339758812936,"[295.224609375, 282.568359375]"
1766145340057951303,"[279.580078125, 310.341796875]"
1766145340359591804,"[273.779296875, 301.9921875]"
1766145340658251888,"[311.220703125, 291.09375]"
1766145340959847616,"[277.734375, 278.4375]"
1766145341257302305,"[276.328125, 305.595703125]"
1766145341558556584,"[274.658203125, 300.849609375]"
1766145341859262028,"[302.607421875, 288.45703125]"
1766145342158625020,"[277.646484375, 278.7890625]"
1766145342459172396,"[279.4921875, 302.958984375]"
1766145342762297187,"[275.185546875, 288.984375]"
1766145343059641994,"[283.271484375, 281.42578125]"
1766145343359811067,"[288.017578125, 275.80078125]"
1766145343659428906,"[282.041015625, 277.03125]"
1766145343958928312,"[283.095703125, 277.119140625]"
1766145344257347884,"[289.86328125, 277.119140625]"
1766145344559583222,"[290.390625, 277.294921875]"
1766145344858848739,"[276.416015625, 291.97265625]"
1766145345158987608,"[277.998046875, 298.037109375]"
1766145345459679362,"[290.478515625, 280.986328125]"
1766145345758524386,"[297.509765625, 282.744140625]"
1766145346058824958,"[288.45703125, 277.55859375]"
1766145346359448574,"[277.3828125, 295.751953125]"
1766145346657505560,"[273.076171875, 275.185546875]"
1766145346959446714,"[276.15234375, 277.91015625]"
1766145347258748385,"[277.470703125, 276.064453125]"
1766145347558604158,"[280.107421875, 276.591796875]"
1766145347857621608,"[296.982421875, 276.943359375]"
1766145348158790632,"[292.8515625, 275.44921875]"
1766145348458810429,"[272.8125, 275.2734375]"
1766145348757432572,"[281.42578125, 275.9765625]"
1766145349059101469,"[284.677734375, 276.50390625]"
1766145349359141344,"[278.4375, 275.9765625]"
1766145349659210942,"[271.845703125, 279.052734375]"
1766145349958433547,"[284.765625, 291.884765625]"
1766145350259977120,"[296.54296875, 281.42578125]"
1766145350560018447,"[290.830078125, 282.041015625]"
1766145350860178300,"[284.853515625, 302.87109375]"
1766145351159347804,"[271.845703125, 288.544921875]"
1766145351459465395,"[279.66796875, 289.951171875]"
1766145351758147964,"[301.9921875, 283.7109375]"
1766145352058513395,"[290.126953125, 280.37109375]"
1766145352359090980,"[272.98828125, 293.37890625]"
1766145352659867551,"[276.064453125, 294.78515625]"
1766145352959935447,"[300.76171875, 286.875]"
1766145353261008456,"[292.587890625, 285.99609375]"
1766145353559066229,"[287.314453125, 288.896484375]"
1766145353858471587,"[274.04296875, 285.46875]"
1766145354157480306,"[275.80078125, 279.66796875]"
1766145354460440801,"[295.3125, 273.1640625]"
1766145354757963512,"[287.490234375, 275.625]"
1766145355058681220,"[271.669921875, 291.005859375]"
1766145355358817449,"[276.15234375, 285.556640625]"
1766145355657692353,"[283.359375, 284.150390625]"
