timestamp,x,y,theta
1766145327873470320,3.11,5.549,0.261799
1766145328109714880,3.106,5.548,0.295615
1766145328395233084,3.109,5.544,0.353429
1766145328694159704,3.111,5.533,0.339248
1766145329005978076,3.111,5.521,0.297797
1766145329302664911,3.113,5.519,0.266163
1766145329595458482,3.101,5.54,0.189805
1766145329891948083,3.073,5.563,0.198531
1766145330206234041,3.022,5.588,0.199622
1766145330505954183,2.974,5.614,0.17017
1766145330791926390,2.901,5.644,0.320704
1766145331093339185,2.816,5.657,0.475602
1766145331394696942,2.664,5.671,1.138827
1766145331695725019,2.515,5.691,1.451896
1766145332007083582,2.318,5.667,1.497711
1766145332306198597,2.112,5.609,1.721331
1766145332608302869,1.897,5.507,1.730058
1766145332906150291,1.744,5.322,1.578432
1766145333207509727,1.547,5.153,1.539162
1766145333504276596,1.376,4.922,1.505346
1766145333793098508,1.217,4.679,1.346085
1766145334102043630,1.107,4.4,1.268636
1766145334400978931,1.012,4.089,1.277363
1766145334706031637,0.952,3.784,1.157371
1766145335002732335,0.918,3.45,0.98502
1766145335290649561,0.91,3.149,1.070105
1766145335602639498,0.942,2.869,1.187915
1766145335891872870,0.959,2.561,1.11592
1766145336206494140,1.005,2.245,1.029744
1766145336504700707,1.016,1.988,1.131192
1766145336824012810,1.007,1.735,1.202096
1766145337092425922,1.016,1.479,1.11592
1766145337403477699,1.01,1.156,1.090831
1766145337704200709,0.993,0.948,1.229366
1766145338005573593,0.949,0.716,1.245729
1766145338306806612,0.913,0.412,1.141009
1766145338606242497,0.927,-0.083,1.072287
1766145338906407939,0.857,-0.226,1.265364
1766145339205991367,0.774,-0.37,1.275181
1766145339494856739,0.679,-0.523,1.227185
1766145339802310232,0.599,-0.685,1.347176
1766145340103748443,0.518,-0.834,1.546798
1766145340395813408,0.414,-0.974,1.563161
1766145340704955559,0.292,-1.115,1.54898
1766145340994838081,0.081,-1.424,1.553343
1766145341293878725,-0.051,-1.561,1.834777
1766145341592831932,-0.305,-1.74,2.012583
1766145341905859052,-0.526,-1.884,2.002765
1766145342196409923,-0.69,-1.974,1.918771
1766145342493812524,-0.849,-2.031,0.0
1766145342796848112,-1.009,-1.989,1.725694
1766145343093656322,-1.084,-1.956,1.587159
1766145343391586414,-1.164,-1.892,1.695151
1766145343705152914,-1.247,-1.824,2.002765
1766145344004004291,-1.377,-1.798,2.210023
1766145344293098865,-1.624,-1.791,2.339832
1766145344604827347,-1.822,-1.78,2.443461
1766145344894516081,-1.866,-1.756,2.536182
1766145345208048254,-2.023,-1.666,2.469641
1766145345503867518,-2.194,-1.672,2.359467
1766145345803844059,-2.361,-1.659,2.322379
1766145346104618652,-2.49,-1.633,2.447824
1766145346389098028,-2.562,-1.641,2.486003
1766145346703622674,-2.639,-1.65,2.525273
1766145347005241218,-2.777,-1.669,2.483822
1766145347285975019,-2.702,-1.591,2.574361
1766145347587465207,-2.63,-1.503,2.693261
1766145347905267866,-2.574,-1.417,2.716169
1766145348195091060,-2.636,-1.339,2.641992
1766145348496620809,-2.556,-1.293,2.597268
1766145348788524745,-2.495,-1.244,2.597268
1766145349097549938,-2.734,-1.307,2.680171
1766145349404161365,-2.715,-1.175,3.363031
1766145349706616910,-2.617,-1.061,3.865904
1766145349993806294,-2.402,-0.968,4.145157
1766145350294958134,-2.159,-0.867,4.387321
1766145350604828610,-1.918,-0.753,4.43859
1766145350888866700,-1.698,-0.641,4.570581
1766145351193379181,-1.471,-0.514,4.601124
1766145351505879583,-1.239,-0.413,4.53022
1766145351807507918,-1.047,-0.271,4.505131
1766145352107047770,-0.862,-0.115,4.594579
1766145352407024019,-0.712,0.022,4.846561
1766145352704552320,-0.585,0.116,4.882559
1766145353006082032,-0.461,0.219,4.866196
1766145353303456659,-0.302,0.311,4.622941
1766145353605193394,-0.169,0.404,4.404775
1766145353904446326,-0.058,0.505,4.374231
1766145354203627422,0.082,0.589,4.317508
1766145354507023012,0.217,0.663,4.272784
1766145354803826663,0.338,0.728,4.558582
1766145355095213580,0.477,0.781,5.129086
1766145355404000732,0.688,0.817,5.453063
1766145355712716168,0.834,0.758,5.460699
