timestamp,values
1766145742361662250,"[280.810546875, 282.744140625]"
1766145742661398989,"[280.810546875, 282.744140625]"
1766145742960618973,"[280.8984375, 282.744140625]"
1766145743261570268,"[280.810546875, 282.744140625]"
1766145743558722847,"[280.8984375, 282.744140625]"
1766145744127897801,"[280.810546875, 282.744140625]"
1766145744158774034,"[280.810546875, 282.744140625]"
1766145744459294510,"[280.810546875, 282.744140625]"
1766145744760052829,"[280.810546875, 282.744140625]"
1766145745059513068,"[280.8984375, 282.744140625]"
1766145745359931663,"[280.810546875, 282.744140625]"
1766145745661357822,"[280.8984375, 282.744140625]"
1766145745963065517,"[280.810546875, 282.744140625]"
1766145746259030409,"[280.810546875, 282.744140625]"
1766145746558312151,"[280.8984375, 282.744140625]"
1766145746860016819,"[280.810546875, 282.744140625]"
1766145747159254914,"[280.8984375, 282.744140625]"
1766145747458937372,"[280.8984375, 282.744140625]"
1766145747760064149,"[280.8984375, 282.744140625]"
1766145748059020042,"[280.8984375, 282.744140625]"
1766145748361243615,"[280.810546875, 282.744140625]"
1766145748659445607,"[280.810546875, 282.744140625]"
1766145748959520985,"[280.810546875, 282.744140625]"
1766145749260130735,"[280.810546875, 282.744140625]"
1766145749559707253,"[280.8984375, 282.744140625]"
1766145749860360673,"[280.810546875, 282.744140625]"
1766145750162759029,"[280.8984375, 282.744140625]"
1766145750458443661,"[280.810546875, 282.744140625]"
1766145750758629936,"[280.810546875, 282.744140625]"
1766145751058466269,"[280.810546875, 282.744140625]"
1766145751358757393,"[280.810546875, 282.744140625]"
1766145751659020232,"[280.8984375, 282.744140625]"
1766145751959052816,"[280.810546875, 282.744140625]"
1766145752259951120,"[280.810546875, 282.744140625]"
1766145752559518445,"[280.810546875, 282.744140625]"
1766145752860245383,"[280.810546875, 282.744140625]"
1766145753159954354,"[280.810546875, 282.744140625]"
1766145753458984191,"[280.8984375, 282.744140625]"
1766145753760716165,"[280.810546875, 282.744140625]"
1766145754060869553,"[280.810546875, 282.744140625]"
1766145754359022550,"[280.810546875, 282.744140625]"
1766145754659251449,"[280.8984375, 282.744140625]"
1766145754960944253,"[280.810546875, 282.744140625]"
1766145755259418242,"[280.8984375, 282.744140625]"
1766145755560810916,"[280.810546875, 282.744140625]"
1766145755858712183,"[280.810546875, 282.744140625]"
1766145756162867793,"[280.810546875, 282.744140625]"
1766145756459703280,"[280.8984375, 282.744140625]"
1766145756758635587,"[280.810546875, 282.744140625]"
1766145757060007459,"[280.8984375, 282.744140625]"
1766145757359438375,"[280.810546875, 282.744140625]"
1766145757658388993,"[280.810546875, 282.744140625]"
1766145757960264649,"[280.8984375, 282.744140625]"
1766145758259563842,"[280.8984375, 282.744140625]"
1766145758558715285,"[280.810546875, 282.744140625]"
1766145758858984875,"[280.810546875, 282.744140625]"
1766145759159381081,"[280.8984375, 282.744140625]"
1766145759460577211,"[280.810546875, 282.744140625]"
1766145759759640486,"[280.8984375, 282.744140625]"
1766145760059586937,"[280.8984375, 282.744140625]"
1766145760360132047,"[280.8984375, 282.744140625]"
1766145760660065146,"[280.8984375, 282.744140625]"
1766145760959729313,"[280.810546875, 282.744140625]"
1766145761261110345,"[280.810546875, 282.744140625]"
1766145761561434863,"[280.8984375, 282.744140625]"
1766145761859076816,"[280.8984375, 282.744140625]"
1766145762160721087,"[280.8984375, 282.744140625]"
1766145762458769609,"[280.810546875, 282.744140625]"
1766145762760898489,"[280.8984375, 282.744140625]"
1766145763060008919,"[280.8984375, 282.744140625]"
1766145763359340777,"[280.810546875, 282.744140625]"
1766145763660350292,"[280.8984375, 282.744140625]"
1766145763958767920,"[280.810546875, 282.744140625]"
1766145764259708180,"[280.810546875, 282.744140625]"
1766145764558992429,"[280.810546875, 282.744140625]"
1766145764858579313,"[280.8984375, 282.744140625]"
1766145765161857424,"[280.8984375, 282.744140625]"
