timestamp,x,y,theta
1766145745098338253,0.999,2.037,3.766639
1766145745386581917,0.998,2.043,3.784092
1766145745687623553,1.004,2.033,3.838634
1766145745988564754,1.004,2.016,3.853905
1766145746295978836,1.017,1.965,3.872449
1766145746587513081,1.053,1.917,3.844088
1766145746896218461,1.085,1.878,3.863723
1766145747191196641,1.079,1.896,3.869177
1766145747485774551,1.073,1.926,3.877903
1766145747802906815,1.068,1.95,3.882267
1766145748089538904,1.06,1.975,3.883358
1766145748399179096,1.044,2.002,3.885539
1766145748701441792,1.07,1.975,3.824453
1766145748987914580,1.077,1.983,3.780819
1766145749301291739,1.063,1.978,3.80809
1766145749599505560,0.993,2.042,3.793909
1766145749887026312,0.938,2.083,3.784092
1766145750197928692,1.002,2.099,3.823362
1766145750500236403,0.974,2.132,3.846269
1766145750787233070,1.005,2.096,3.837543
1766145751095782866,1.033,2.072,3.838634
1766145751385238616,1.049,2.055,3.844088
1766145751697288708,1.07,2.035,3.871358
1766145752001306344,1.094,2.007,3.877903
1766145752300671951,1.109,1.975,3.872449
1766145752598922395,1.089,1.985,3.846269
1766145752899276869,1.005,2.066,3.845179
1766145753198247765,0.948,2.115,3.848451
1766145753486230755,0.963,2.105,3.857178
1766145753786335450,0.985,2.096,3.863723
1766145754098086081,1.013,2.075,3.863723
1766145754398227828,1.049,2.038,3.858268
1766145754698437278,1.068,2.027,3.84736
1766145754998666950,1.09,1.995,3.857178
1766145755300000499,1.118,1.933,3.866995
1766145755601082115,1.129,1.928,3.850633
1766145755887343068,1.125,1.935,3.84736
1766145756201847659,1.124,1.937,3.851723
1766145756486542567,1.116,1.947,3.856087
1766145756786349995,1.108,1.961,3.863723
1766145757085882344,1.105,1.971,3.857178
1766145757402094108,1.102,1.985,3.858268
1766145757695144459,1.102,1.994,3.858268
1766145758001377402,1.09,2.007,3.858268
1766145758287062114,1.112,1.953,3.838634
1766145758597911728,1.101,1.96,3.835361
1766145758887946115,1.141,1.892,3.827725
1766145759188030313,1.139,1.902,3.825544
1766145759492670917,1.124,1.906,3.825544
1766145759790650505,1.145,1.886,3.799364
1766145760085517146,1.156,1.892,3.791728
1766145760391421226,1.168,1.908,3.783001
1766145760699842089,1.172,1.927,3.773184
1766145760986638517,1.186,1.919,3.76882
1766145761296424713,1.185,1.919,3.78191
1766145761598591242,1.165,1.926,3.797182
1766145761895130383,1.15,1.929,3.776456
1766145762198061546,1.119,1.924,3.764457
1766145762500439085,1.108,1.933,3.761185
1766145762797611398,1.103,1.96,3.764457
1766145763098206574,1.118,1.984,3.76773
1766145763387892650,1.081,2.055,3.764457
1766145763686347927,1.075,2.071,3.775365
1766145763987851966,1.085,2.07,3.779729
1766145764299668768,1.084,2.068,3.787364
1766145764597849124,1.09,2.048,3.793909
1766145764901694626,1.095,2.033,3.828816
