timestamp,values
1766145561158457536,"[283.7109375, 283.974609375]"
1766145561462694109,"[279.84375, 296.630859375]"
1766145561761093688,"[284.0625, 284.23828125]"
1766145562059261421,"[288.28125, 276.15234375]"
1766145562358578203,"[295.13671875, 280.107421875]"
1766145562659130065,"[283.88671875, 277.734375]"
1766145562960111375,"[277.646484375, 277.822265625]"
1766145563260187934,"[278.173828125, 277.998046875]"
1766145563563729162,"[302.783203125, 281.77734375]"
1766145563858119407,"[292.763671875, 279.052734375]"
1766145564158629399,"[292.587890625, 279.66796875]"
1766145564462297680,"[292.587890625, 279.66796875]"
1766145564759367077,"[292.587890625, 279.755859375]"
1766145565059472523,"[296.015625, 279.931640625]"
1766145565358472322,"[296.103515625, 280.1953125]"
1766145565660581683,"[302.51953125, 280.37109375]"
1766145565958941464,"[304.013671875, 280.37109375]"
1766145566259614281,"[305.33203125, 280.37109375]"
1766145566562147392,"[308.583984375, 280.37109375]"
1766145566857948084,"[313.505859375, 280.37109375]"
1766145567162244895,"[314.384765625, 280.37109375]"
1766145567459917625,"[312.978515625, 280.37109375]"
1766145567760435043,"[312.36328125, 280.37109375]"
1766145568063933936,"[310.166015625, 280.37109375]"
1766145568359530223,"[309.55078125, 280.37109375]"
1766145568660799792,"[309.55078125, 280.37109375]"
1766145568958493251,"[309.375, 280.37109375]"
1766145569262665694,"[307.529296875, 280.37109375]"
1766145569562341548,"[307.44140625, 280.37109375]"
1766145569859797200,"[306.826171875, 280.37109375]"
1766145570159939144,"[300.5859375, 280.283203125]"
1766145570459108626,"[294.345703125, 279.580078125]"
1766145570761912416,"[292.236328125, 279.755859375]"
1766145571059173806,"[286.875, 281.77734375]"
1766145571359659736,"[289.86328125, 282.392578125]"
1766145571660960446,"[297.0703125, 282.041015625]"
1766145571960709176,"[298.740234375, 280.37109375]"
1766145572259939046,"[298.740234375, 280.458984375]"
1766145572559063831,"[298.740234375, 280.458984375]"
1766145572859398995,"[304.013671875, 280.546875]"
1766145573157247317,"[304.013671875, 280.546875]"
1766145573458639365,"[304.013671875, 280.546875]"
1766145573759645265,"[304.1015625, 280.546875]"
1766145574058640933,"[305.5078125, 280.546875]"
1766145574361285070,"[307.001953125, 280.546875]"
1766145574660561788,"[307.001953125, 280.1953125]"
1766145574959779275,"[306.03515625, 279.31640625]"
1766145575261599861,"[305.68359375, 279.4921875]"
1766145575559676630,"[304.453125, 279.4921875]"
1766145575859676349,"[304.365234375, 279.4921875]"
1766145576159779695,"[303.486328125, 279.4921875]"
1766145576459653627,"[302.958984375, 279.404296875]"
1766145576759909919,"[302.6953125, 279.404296875]"
1766145577059061577,"[302.6953125, 279.404296875]"
1766145577359395881,"[302.6953125, 279.404296875]"
1766145577659108099,"[302.51953125, 279.140625]"
1766145577957065630,"[302.51953125, 279.140625]"
1766145578258607493,"[304.98046875, 280.283203125]"
1766145578560947989,"[309.90234375, 281.77734375]"
1766145578861382262,"[310.869140625, 281.6015625]"
1766145579159954113,"[285.29296875, 295.13671875]"
1766145579463141986,"[276.767578125, 290.654296875]"
1766145579758979754,"[321.328125, 274.921875]"
1766145580060372946,"[299.1796875, 277.998046875]"
1766145580364531895,"[297.421875, 300.849609375]"
1766145580659128179,"[272.900390625, 289.86328125]"
1766145580960044572,"[304.716796875, 280.01953125]"
1766145581260364050,"[296.54296875, 278.876953125]"
1766145581557526623,"[287.2265625, 304.013671875]"
1766145581858660339,"[272.900390625, 288.193359375]"
1766145582160043450,"[303.662109375, 282.041015625]"
1766145582459221280,"[302.958984375, 278.876953125]"
1766145582759091574,"[298.388671875, 298.30078125]"
1766145583059151992,"[276.591796875, 288.10546875]"
1766145583359823981,"[299.35546875, 288.6328125]"
1766145583657134825,"[301.46484375, 279.84375]"
1766145583958922554,"[293.115234375, 276.943359375]"
1766145584258931100,"[272.109375, 295.400390625]"
1766145584559399390,"[279.140625, 290.654296875]"
1766145584861483495,"[297.94921875, 285.205078125]"
1766145585158415880,"[301.640625, 280.634765625]"
1766145585459120316,"[275.185546875, 290.830078125]"
1766145585757049723,"[273.515625, 287.40234375]"
1766145586059498820,"[277.294921875, 282.568359375]"
1766145586360251025,"[277.20703125, 279.140625]"
1766145586661691957,"[277.20703125, 278.349609375]"
1766145586959597628,"[277.294921875, 278.349609375]"
1766145587263146532,"[277.91015625, 276.328125]"
1766145587561209130,"[274.5703125, 276.064453125]"
1766145587859550767,"[276.15234375, 271.58203125]"
1766145588162184009,"[284.326171875, 271.845703125]"
1766145588459301040,"[277.734375, 271.669921875]"
1766145588760524845,"[274.658203125, 271.58203125]"
1766145589060636379,"[276.591796875, 283.53515625]"
1766145589359531067,"[294.345703125, 281.513671875]"
1766145589662592189,"[302.6953125, 275.361328125]"
1766145589962234219,"[286.787109375, 281.865234375]"
1766145590257209226,"[273.603515625, 290.478515625]"
1766145590557524302,"[282.48046875, 290.302734375]"
1766145590857225505,"[302.51953125, 286.875]"
1766145591160243155,"[296.015625, 286.5234375]"
1766145591460884760,"[273.1640625, 284.0625]"
1766145591761352432,"[273.33984375, 276.240234375]"
1766145592059135133,"[280.634765625, 278.701171875]"
1766145592360207550,"[275.888671875, 278.173828125]"
1766145592662540667,"[277.119140625, 278.0859375]"
1766145592958790686,"[277.03125, 277.822265625]"
1766145593265500046,"[276.943359375, 277.822265625]"
1766145593560617729,"[277.03125, 278.173828125]"
1766145593859071529,"[277.03125, 278.173828125]"
1766145594161200006,"[277.03125, 278.173828125]"
1766145594459843771,"[275.888671875, 278.0859375]"
1766145594757551273,"[275.888671875, 278.61328125]"
1766145595058796231,"[281.42578125, 288.193359375]"
1766145595360484649,"[280.634765625, 288.45703125]"
1766145595659007109,"[282.12890625, 277.294921875]"
1766145595959061376,"[298.125, 273.1640625]"
1766145596258987533,"[301.376953125, 279.228515625]"
1766145596561182022,"[293.73046875, 286.34765625]"
1766145596860769490,"[289.423828125, 289.423828125]"
1766145597158024846,"[287.2265625, 288.369140625]"
1766145597460939996,"[294.345703125, 280.986328125]"
1766145597757210613,"[294.2578125, 276.767578125]"
1766145598060091397,"[288.017578125, 276.85546875]"
1766145598356842005,"[289.423828125, 278.61328125]"
1766145598659713394,"[272.021484375, 281.6015625]"
1766145598958949423,"[278.173828125, 290.56640625]"
1766145599261063153,"[277.998046875, 287.138671875]"
