timestamp,x,y,theta
1766145560595082614,3.273,2.713,4.120068
1766145560895825772,3.233,2.693,4.165883
1766145561187480469,3.214,2.7,4.277147
1766145561492290680,3.255,2.711,0.0
1766145561794778225,3.191,2.721,4.194244
1766145562091851313,3.174,2.699,4.072071
1766145562392507121,3.106,2.712,4.002258
1766145562692404581,3.034,2.724,4.104796
1766145562989831575,2.992,2.723,4.157156
1766145563295188977,2.951,2.698,4.129885
1766145563595608038,2.959,2.687,4.178973
1766145563894645002,2.944,2.714,4.225878
1766145564189073503,2.919,2.72,4.192063
1766145564489836959,2.908,2.73,4.190972
1766145564791553473,2.886,2.745,4.202971
1766145565088436268,2.919,2.718,4.212788
1766145565393270906,2.94,2.71,4.232423
1766145565688827907,2.949,2.7,4.221515
1766145565994933426,2.96,2.698,4.197517
1766145566300997563,2.973,2.663,4.182245
1766145566597489171,2.968,2.67,4.180064
1766145566896019369,2.951,2.703,4.186609
1766145567197161151,2.942,2.708,4.196426
1766145567501033359,2.946,2.713,4.212788
1766145567800523038,2.938,2.721,4.180064
1766145568098388341,2.929,2.732,4.194244
1766145568389479792,2.917,2.746,4.196426
1766145568701652970,2.912,2.757,4.205153
1766145569000989428,2.903,2.767,4.198608
1766145569298876706,2.894,2.775,4.190972
1766145569596300958,2.881,2.777,0.0
1766145569895478132,2.893,2.773,4.210607
1766145570195977089,2.907,2.77,4.240059
1766145570491177593,2.933,2.733,4.252058
1766145570798170143,2.9,2.745,4.288056
1766145571095227887,2.897,2.72,4.327326
1766145571388860192,2.866,2.727,4.33278
1766145571699675471,2.834,2.76,4.327326
1766145571986341165,2.825,2.767,4.307691
1766145572295133354,2.814,2.768,4.277147
1766145572592812374,2.799,2.761,4.266239
1766145572894688966,2.818,2.752,4.238968
1766145573200707487,2.834,2.742,4.252058
1766145573498864841,2.835,2.721,4.253149
1766145573796554858,2.836,2.732,4.278238
1766145574096603899,2.821,2.737,4.331689
1766145574399006498,2.787,2.832,4.34587
1766145574700609341,2.811,2.819,4.366596
1766145574997626454,2.841,2.802,4.353506
1766145575309061341,2.866,2.776,4.348051
1766145575602139205,2.894,2.739,4.378595
1766145575892617391,2.894,2.742,4.417865
1766145576197316861,2.898,2.74,4.418955
1766145576495834928,2.892,2.748,4.412411
1766145576799011345,2.897,2.754,4.415683
1766145577092703963,2.897,2.763,4.423319
1766145577398761169,2.896,2.77,4.436409
1766145577694125768,2.888,2.773,4.436409
1766145577997679184,2.88,2.776,4.420046
1766145578296474917,2.882,2.767,4.406956
1766145578598548229,2.875,2.756,4.416774
1766145578884133500,2.816,2.741,4.207334
1766145579195267138,2.663,2.65,3.00742
1766145579487136250,2.468,2.58,3.035782
1766145579785712421,2.201,2.504,2.976877
1766145580089430745,1.935,2.388,2.929971
1766145580389229460,1.693,2.332,2.963787
1766145580700166671,1.453,2.261,2.916882
1766145580990333925,1.158,2.184,2.830706
1766145581297575171,0.895,2.171,2.855795
1766145581592980968,0.613,2.129,2.985604
1766145581882819204,0.374,2.084,2.944152
1766145582194392159,-0.046,1.926,2.851432
1766145582495864691,-0.373,1.827,2.782709
1766145582794290721,-0.663,1.737,2.844887
1766145583098517498,-0.991,1.644,2.869976
1766145583396778506,-1.455,1.58,2.790345
1766145583685089548,-1.8,1.588,2.773983
1766145584008930286,-2.072,1.616,2.852522
1766145584296238401,-2.308,1.625,2.88852
1766145584595155681,-2.652,1.613,2.797981
1766145584897891796,-2.798,1.651,2.71835
1766145585179778847,-2.891,1.687,2.785982
1766145585496386671,-2.897,1.768,2.873248
1766145585800458323,-3.144,1.768,2.814343
1766145586097919494,-3.17,1.849,2.790345
1766145586388466563,-3.176,1.874,2.803435
1766145586695393722,-3.028,1.945,2.806708
1766145586993100827,-2.978,2.002,2.843796
1766145587297117249,-2.849,2.057,0.0
1766145587598497750,-2.749,2.088,2.961606
1766145587897061957,-2.634,2.091,2.500184
1766145588202377941,-2.473,2.054,1.642791
1766145588500355268,-2.311,1.834,1.466077
1766145588797213703,-2.134,1.728,1.382083
1766145589092504117,-1.974,1.633,1.229366
1766145589396446271,-1.839,1.43,1.119192
1766145589689179557,-1.714,1.288,1.013382
1766145589997254317,-1.594,1.031,1.101739
1766145590288710289,-1.52,0.863,1.099557
1766145590591417995,-1.496,0.719,1.088649
1766145590897212359,-1.468,0.59,1.010109
1766145591197793254,-1.432,0.446,0.931569
1766145591498914168,-1.372,0.299,0.693768
1766145591796023200,-1.295,0.118,-0.051269
1766145592101292745,-1.236,0.117,5.929756
1766145592399347165,-1.198,0.088,-0.182169
1766145592691086356,-1.162,0.104,5.986479
1766145592990954105,-1.156,0.151,-0.238892
1766145593301559956,-1.161,0.192,5.918848
1766145593618134116,-1.169,0.224,5.903576
1766145593894185435,-1.183,0.259,5.892668
1766145594198376158,-1.203,0.318,5.965754
1766145594494819601,-1.233,0.398,5.955936
1766145594801979896,-1.229,0.45,5.902485
1766145595095828888,-1.265,0.505,5.883941
1766145595405095643,-1.236,0.567,5.863215
1766145595695772704,-1.205,0.608,5.843581
1766145595984399546,-1.118,0.639,5.797766
1766145596296338608,-1.03,0.704,5.754132
1766145596596578475,-0.909,0.739,5.845762
1766145596889384588,-0.814,0.76,5.779221
1766145597192659624,-0.698,0.819,5.671229
1766145597498277073,-0.564,0.819,5.769404
1766145597792025666,-0.465,0.851,5.731225
1766145598091595575,-0.363,0.877,5.654867
1766145598400096326,-0.352,0.9,5.614506
1766145598700220427,-0.293,0.954,5.98757
1766145598983975634,-0.276,0.96,-0.093811
