timestamp,values
1766149260784476899,"[283.359375, 355.341796875]"
1766149261083983598,"[283.359375, 355.341796875]"
1766149261385391868,"[283.359375, 355.341796875]"
1766149261682235406,"[283.359375, 355.341796875]"
1766149261982868442,"[283.359375, 355.341796875]"
1766149262282241921,"[283.359375, 355.341796875]"
1766149262585236684,"[283.359375, 355.341796875]"
1766149262883613691,"[283.359375, 355.341796875]"
1766149263182248741,"[283.359375, 355.341796875]"
1766149263484571670,"[283.359375, 355.341796875]"
1766149263782135737,"[283.359375, 355.341796875]"
1766149264082183477,"[283.359375, 355.341796875]"
1766149264384865975,"[283.359375, 355.341796875]"
1766149264683285057,"[283.359375, 355.341796875]"
1766149264986667123,"[283.359375, 355.341796875]"
1766149265283804134,"[283.359375, 355.341796875]"
1766149265582880701,"[283.359375, 355.341796875]"
1766149265882359676,"[283.359375, 355.341796875]"
1766149266183262417,"[283.359375, 355.341796875]"
1766149266481980517,"[283.359375, 355.341796875]"
1766149266784644909,"[283.359375, 355.341796875]"
1766149267081581158,"[283.359375, 355.341796875]"
1766149267383809825,"[283.359375, 355.341796875]"
1766149267682601396,"[283.359375, 355.341796875]"
1766149267986975306,"[283.359375, 355.341796875]"
1766149268282578351,"[283.359375, 355.341796875]"
1766149268585198306,"[283.359375, 355.341796875]"
1766149268884085352,"[283.359375, 355.341796875]"
1766149269185473711,"[283.359375, 355.341796875]"
1766149269482077077,"[283.359375, 355.341796875]"
1766149269785514522,"[283.359375, 355.341796875]"
1766149270082864460,"[283.359375, 355.341796875]"
1766149270387963011,"[283.359375, 355.341796875]"
1766149270683954001,"[283.359375, 355.341796875]"
1766149270984474105,"[283.359375, 355.341796875]"
1766149271283193393,"[283.359375, 355.341796875]"
1766149271582853830,"[283.359375, 355.341796875]"
1766149271882243845,"[283.359375, 355.341796875]"
1766149272182531139,"[283.359375, 355.341796875]"
1766149272481952327,"[283.359375, 355.341796875]"
1766149272782996137,"[283.359375, 355.341796875]"
1766149273082237636,"[283.359375, 355.341796875]"
1766149273383263165,"[283.359375, 355.341796875]"
1766149273682814681,"[283.359375, 355.341796875]"
1766149273982243211,"[283.359375, 355.341796875]"
1766149274283340670,"[283.359375, 355.341796875]"
1766149274584982824,"[283.359375, 355.341796875]"
1766149274881932105,"[283.359375, 355.341796875]"
1766149275181379777,"[283.359375, 355.341796875]"
1766149275483919809,"[283.359375, 355.341796875]"
1766149275787621402,"[283.359375, 355.341796875]"
1766149276082268180,"[283.359375, 355.341796875]"
1766149276384398649,"[283.359375, 355.341796875]"
1766149276682701192,"[283.359375, 355.341796875]"
1766149276982969806,"[283.359375, 355.341796875]"
1766149277282437356,"[283.359375, 355.341796875]"
1766149277581494547,"[283.359375, 355.341796875]"
1766149277882365444,"[283.359375, 355.341796875]"
1766149278182389491,"[283.359375, 355.341796875]"
1766149278483032884,"[283.359375, 355.341796875]"
1766149278785010523,"[283.359375, 355.341796875]"
1766149279081812377,"[283.359375, 355.341796875]"
1766149279380838180,"[283.359375, 355.341796875]"
1766149279682528608,"[283.359375, 355.341796875]"
1766149279980045781,"[283.359375, 355.341796875]"
1766149280282338898,"[283.359375, 355.341796875]"
1766149280583006592,"[283.359375, 355.341796875]"
1766149280881258112,"[283.359375, 355.341796875]"
1766149281183018211,"[283.359375, 355.341796875]"
1766149281482064088,"[283.359375, 355.341796875]"
1766149281780377029,"[283.359375, 355.341796875]"
1766149282083536990,"[283.359375, 355.341796875]"
1766149282381131606,"[283.359375, 355.341796875]"
1766149282679948871,"[283.359375, 355.341796875]"
1766149282980595425,"[283.359375, 355.341796875]"
