timestamp,x,y,theta
1766149260823601934,3.018,5.427,-4.181154
1766149261143291814,2.821,5.293,-3.972806
1766149261423022146,2.639,5.134,-3.917173
1766149261720826814,2.426,5.048,-4.138612
1766149262020207257,2.245,4.903,-4.266239
1766149262322985981,2.122,4.628,-4.234605
1766149262623543306,2.05,4.34,-4.140794
1766149262919013349,1.945,4.08,-4.231333
1766149263220558209,1.833,3.838,-4.305509
1766149263520651968,1.7,3.564,-4.338234
1766149263820300561,1.638,3.264,-4.389503
1766149264120972320,1.562,2.999,-4.469134
1766149264425083928,1.486,2.767,-4.559673
1766149264723204301,1.446,2.499,-4.532402
1766149265021953877,1.391,2.265,-4.496404
1766149265321841100,1.378,2.004,-4.526948
1766149265621446798,1.422,1.699,-4.690572
1766149265921133322,1.415,1.519,-4.878195
1766149266221930935,1.472,1.34,-4.990551
1766149266521618262,1.574,1.145,-5.137813
1766149266824588420,1.721,0.974,-5.364706
1766149267119713501,1.873,0.82,0.711222
1766149267420567156,2.05,0.672,0.621774
1766149267736746777,2.272,0.541,0.562869
1766149268020543851,2.551,0.465,0.422152
1766149268326231222,2.754,0.398,0.218166
1766149268626396644,2.95,0.354,0.034907
1766149268924188829,3.162,0.351,-0.018544
1766149269223784115,3.393,0.395,-0.174533
1766149269524375602,3.582,0.424,-0.555233
1766149269819694304,3.718,0.464,-0.89339
1766149270122092446,3.806,0.505,-1.157371
1766149270423803811,3.861,0.547,-1.226094
1766149270722845265,3.891,0.589,-1.187915
1766149271025514749,3.89,0.629,-1.112647
1766149271319959127,3.896,0.671,-1.049379
1766149271622703952,3.895,0.72,-0.956659
1766149271925394227,3.89,0.755,-0.963204
1766149272220088298,3.877,0.783,-0.85303
1766149272515714860,3.859,0.808,-0.921752
1766149272823696692,3.835,0.822,-1.042834
1766149273122507792,3.797,0.821,-1.100648
1766149273424112622,3.779,0.828,-1.047198
1766149273724446399,3.748,0.834,-0.94575
1766149274038861585,3.752,0.835,-0.796306
1766149274322496606,3.739,0.841,-0.833395
1766149274624529665,3.714,0.836,-0.87921
1766149274922074784,3.696,0.831,-0.920661
1766149275217089308,3.667,0.83,-0.956659
1766149275521817653,3.641,0.82,-0.938114
1766149275823064818,3.634,0.819,-1.004655
1766149276125723487,3.617,0.836,-1.088649
1766149276426036857,3.592,0.839,-1.124647
1766149276722760603,3.587,0.846,-1.028653
1766149277022041832,3.573,0.833,-0.956659
1766149277324567366,3.553,0.845,-0.981748
1766149277625095024,3.554,0.836,-0.992656
1766149277922510045,3.561,0.844,-0.861756
1766149278212358647,3.543,0.833,-0.877028
1766149278523433554,3.544,0.827,-0.963204
1766149278822815478,3.554,0.813,-1.106102
1766149279122614552,3.539,0.823,-1.108284
1766149279420364536,3.522,0.827,-1.058106
1766149279723967643,3.504,0.842,-1.1421
1766149280022522123,3.491,0.861,-1.304634
1766149280322280226,3.481,0.874,-1.545707
1766149280625163208,3.488,0.884,-1.662426
1766149280924056011,3.452,0.899,-1.686424
1766149281220688344,3.445,0.915,-1.542435
1766149281523081604,3.425,0.938,-1.581705
1766149281823187575,3.412,0.978,-1.665699
1766149282122393334,3.396,0.989,-1.646064
1766149282419484863,3.438,0.933,-1.448623
1766149282719966367,3.439,0.926,-1.442078
1766149283022714140,3.422,0.96,-1.748602
