timestamp,values
1766148966182075022,"[283.271484375, 355.341796875]"
1766148966480476202,"[283.271484375, 355.341796875]"
1766148966782249740,"[283.271484375, 355.341796875]"
1766148967084401041,"[283.271484375, 355.341796875]"
1766148967380346353,"[283.271484375, 355.341796875]"
1766148967682421323,"[283.359375, 355.341796875]"
1766148967982969055,"[283.271484375, 355.341796875]"
1766148968282718652,"[283.271484375, 355.341796875]"
1766148968585037893,"[283.271484375, 355.341796875]"
1766148968882140315,"[283.271484375, 355.341796875]"
1766148969184675951,"[283.271484375, 355.341796875]"
1766148969481965680,"[283.271484375, 355.341796875]"
1766148969782661036,"[283.271484375, 355.341796875]"
1766148970080792773,"[283.359375, 355.341796875]"
1766148970384195637,"[283.271484375, 355.341796875]"
1766148970683945790,"[283.271484375, 355.341796875]"
1766148970983165093,"[283.271484375, 355.341796875]"
1766148971280536440,"[283.271484375, 355.341796875]"
1766148971582645640,"[283.359375, 355.341796875]"
1766148971883622268,"[283.271484375, 355.341796875]"
1766148972181939360,"[283.271484375, 355.341796875]"
1766148972482801964,"[283.271484375, 355.341796875]"
1766148972783916920,"[283.271484375, 355.341796875]"
1766148973084260419,"[283.359375, 355.341796875]"
1766148973384914105,"[283.271484375, 355.341796875]"
1766148973682250560,"[283.271484375, 355.341796875]"
1766148973983885801,"[283.271484375, 355.341796875]"
1766148974283016852,"[283.359375, 355.341796875]"
1766148974581053606,"[283.271484375, 355.341796875]"
1766148974885194822,"[283.271484375, 355.341796875]"
1766148975184220081,"[283.271484375, 355.341796875]"
1766148975483362388,"[283.271484375, 355.341796875]"
1766148975783711657,"[283.271484375, 355.341796875]"
1766148976082588018,"[283.359375, 355.341796875]"
1766148976383578890,"[283.359375, 355.341796875]"
1766148976682034348,"[283.271484375, 355.341796875]"
1766148976983564486,"[283.359375, 355.341796875]"
1766148977282675970,"[283.359375, 355.341796875]"
1766148977581445352,"[283.271484375, 355.341796875]"
1766148977883856516,"[283.271484375, 355.341796875]"
1766148978181888498,"[283.271484375, 355.341796875]"
1766148978483506536,"[283.271484375, 355.341796875]"
1766148978783770759,"[283.359375, 355.341796875]"
1766148979082391103,"[283.271484375, 355.341796875]"
1766148979382071734,"[283.359375, 355.341796875]"
1766148979682310929,"[283.271484375, 355.341796875]"
