timestamp,x,y,theta
1766148966216974181,0.901,2.639,-0.056723
1766148966519903604,0.905,2.636,-0.056723
1766148966818710045,0.901,2.638,-0.056723
1766148967129267052,0.902,2.644,-0.056723
1766148967417936653,0.9,2.646,-0.056723
1766148967728428842,0.894,2.636,-0.056723
1766148968017007753,0.893,2.639,0.0
1766148968321677460,0.89,2.642,-0.057814
1766148968630850555,0.882,2.641,-0.058905
1766148968928878872,0.875,2.638,-0.058905
1766148969228448992,0.873,2.638,-0.058905
1766148969521164449,0.876,2.641,-0.058905
1766148969828579125,0.876,2.64,-0.058905
1766148970128735625,0.875,2.636,-0.058905
1766148970430788551,0.883,2.631,-0.058905
1766148970718374135,0.89,2.632,-0.058905
1766148971030729538,0.901,2.634,-0.058905
1766148971331172824,0.905,2.631,-0.058905
1766148971612696221,0.931,2.649,-0.058905
1766148971919573511,0.928,2.626,-0.058905
1766148972212531223,0.904,2.581,-0.058905
1766148972520508793,0.905,2.586,-0.058905
1766148972817440425,0.897,2.585,0.0
1766148973130496461,0.899,2.594,-0.058905
1766148973429527613,0.889,2.602,-0.058905
1766148973728849340,0.888,2.611,-0.058905
1766148974019928485,0.898,2.624,-0.058905
1766148974317562976,0.892,2.621,-0.058905
1766148974629108058,0.888,2.618,-0.058905
1766148974928051744,0.871,2.607,-0.058905
1766148975230721092,0.909,2.646,-0.058905
1766148975518837629,0.909,2.643,-0.058905
1766148975816159472,0.909,2.634,-0.058905
1766148976130973645,0.901,2.63,-0.058905
1766148976421062584,0.899,2.63,-0.058905
1766148976720444499,0.896,2.627,-0.058905
1766148977016165636,0.892,2.633,-0.058905
1766148977314883007,0.917,2.661,-0.058905
1766148977616871277,0.914,2.661,-0.058905
1766148977920869962,0.919,2.666,-0.057814
1766148978215631537,0.92,2.658,0.0
1766148978517703874,0.919,2.655,-0.05236
1766148978827964397,0.924,2.66,-0.051269
1766148979116916129,0.926,2.667,-0.054542
1766148979415400548,0.929,2.672,-0.053451
1766148979719331915,0.927,2.677,-0.053451
