timestamp,values
1766149078080593948,"[283.271484375, 355.341796875]"
1766149078381999713,"[283.359375, 355.341796875]"
1766149078680857767,"[283.359375, 355.341796875]"
1766149078982916981,"[283.359375, 355.341796875]"
1766149079282039841,"[283.359375, 355.341796875]"
1766149079581290583,"[283.359375, 355.341796875]"
1766149079882248374,"[283.359375, 355.341796875]"
1766149080181865031,"[283.359375, 355.341796875]"
1766149080483233216,"[283.359375, 355.341796875]"
1766149080782872267,"[283.359375, 355.341796875]"
1766149081082626694,"[283.359375, 355.341796875]"
1766149081383081580,"[283.359375, 355.341796875]"
1766149081682857114,"[283.359375, 355.341796875]"
1766149081982685998,"[283.359375, 355.341796875]"
1766149082281982403,"[283.359375, 355.341796875]"
1766149082581851160,"[283.359375, 355.341796875]"
1766149082882831452,"[283.359375, 355.341796875]"
1766149083180835695,"[283.359375, 355.341796875]"
1766149083484018136,"[283.271484375, 355.341796875]"
1766149083783413513,"[283.359375, 355.341796875]"
1766149084081705794,"[283.359375, 355.341796875]"
1766149084382191053,"[283.359375, 355.341796875]"
1766149084681932984,"[283.359375, 355.341796875]"
1766149084982295299,"[283.359375, 355.341796875]"
1766149085281602542,"[283.271484375, 355.341796875]"
1766149085581495319,"[283.359375, 355.341796875]"
1766149085881171240,"[283.359375, 355.341796875]"
1766149086181545924,"[283.359375, 355.341796875]"
1766149086481840705,"[283.359375, 355.341796875]"
1766149086780812394,"[283.359375, 355.341796875]"
1766149087084562266,"[283.271484375, 355.341796875]"
1766149087383005233,"[283.271484375, 355.341796875]"
1766149087681889323,"[283.271484375, 355.341796875]"
1766149087981909752,"[283.359375, 355.341796875]"
1766149088280762385,"[283.359375, 355.341796875]"
1766149088581875607,"[283.359375, 355.341796875]"
1766149088881677064,"[283.359375, 355.341796875]"
1766149089182884549,"[283.359375, 355.341796875]"
1766149089481504009,"[283.271484375, 355.341796875]"
1766149089780938219,"[283.359375, 355.341796875]"
1766149090083847876,"[283.359375, 355.341796875]"
1766149090383396568,"[283.359375, 355.341796875]"
1766149090681891591,"[283.359375, 355.341796875]"
1766149090980822244,"[283.359375, 355.341796875]"
1766149091281349545,"[283.359375, 355.341796875]"
1766149091580450140,"[283.359375, 355.341796875]"
1766149091884310357,"[283.359375, 355.341796875]"
1766149092181881686,"[283.359375, 355.341796875]"
1766149092481935677,"[283.359375, 355.341796875]"
1766149092783083902,"[283.359375, 355.341796875]"
1766149093082392604,"[283.359375, 355.341796875]"
1766149093383495202,"[283.359375, 355.341796875]"
1766149093682489693,"[283.359375, 355.341796875]"
1766149093982021478,"[283.271484375, 355.341796875]"
1766149094281608451,"[283.359375, 355.341796875]"
1766149094582257947,"[283.359375, 355.341796875]"
1766149094883242162,"[283.359375, 355.341796875]"
1766149095183057510,"[283.359375, 355.341796875]"
1766149095483500273,"[283.271484375, 355.341796875]"
1766149095783008579,"[283.359375, 355.341796875]"
1766149096081670228,"[283.359375, 355.341796875]"
1766149096381368666,"[283.359375, 355.341796875]"
1766149096682380516,"[283.359375, 355.341796875]"
1766149096980749832,"[283.359375, 355.341796875]"
1766149097283388978,"[283.359375, 355.341796875]"
1766149097582475808,"[283.359375, 355.341796875]"
1766149097882161460,"[283.359375, 355.341796875]"
1766149098182728401,"[283.359375, 355.341796875]"
1766149098481434895,"[283.359375, 355.341796875]"
1766149098781950964,"[283.359375, 355.341796875]"
1766149099082653734,"[283.359375, 355.341796875]"
1766149099380873426,"[283.359375, 355.341796875]"
1766149099682372524,"[283.359375, 355.341796875]"
1766149099981699524,"[283.359375, 355.341796875]"
1766149100282336592,"[283.271484375, 355.341796875]"
