timestamp,x,y,theta
1766149079027195522,3.211,5.919,0.530144
1766149079316058484,3.199,5.922,0.520326
1766149079616233568,3.206,5.92,0.0
1766149079918305681,3.263,5.893,0.418879
1766149080229426783,3.251,5.911,0.440696
1766149080520160381,3.243,5.92,0.56505
1766149080817941954,3.269,5.866,-5.328708
1766149081129161213,3.228,5.827,-4.974188
1766149081416838531,3.142,5.695,0.0
1766149081730643426,3.031,5.567,-4.401502
1766149082028926443,2.891,5.42,-4.12225
1766149082328709849,2.725,5.269,-3.928082
1766149082626644564,2.533,5.174,-3.83427
1766149082928745187,2.374,5.013,-3.971715
1766149083229392790,2.233,4.8,-4.094979
1766149083531295885,2.109,4.559,-3.994622
1766149083826871473,1.997,4.354,-3.859359
1766149084117858601,1.883,4.151,-3.882267
1766149084418993401,1.772,3.906,-4.058981
1766149084730166203,1.675,3.62,-4.158247
1766149085026091696,1.552,3.353,-4.086252
1766149085329331943,1.374,3.022,-4.026256
1766149085627348231,1.27,2.739,-4.108069
1766149085927653024,1.15,2.484,-4.065526
1766149086216028226,1.02,2.203,-3.914992
1766149086527804995,0.85,1.946,-3.810272
1766149086828021559,0.732,1.654,-3.919355
1766149087130710340,0.59,1.388,-3.922627
1766149087430289006,0.434,1.162,-3.84736
1766149087732423526,0.272,0.946,-3.924809
1766149088016138307,0.183,0.748,-4.435318
1766149088318751012,0.142,0.591,-4.918556
1766149088615169649,0.172,0.499,-5.144358
1766149088913901317,0.304,0.423,-5.366887
1766149089218090925,0.463,0.339,0.622864
1766149089528906861,0.827,0.379,0.425424
1766149089816925716,1.118,0.371,0.455967
1766149090117584644,1.45,0.356,0.490874
1766149090430594778,1.782,0.359,0.305433
1766149090712633618,2.132,0.363,0.200713
1766149091016299661,2.467,0.345,0.0
1766149091317818217,2.816,0.389,0.466876
1766149091629840642,3.141,0.423,0.281434
1766149091928960895,3.538,0.492,0.131991
1766149092218540138,3.804,0.527,0.277071
1766149092528033868,4.055,0.611,0.19635
1766149092829604892,4.199,0.666,-0.062177
1766149093129878244,4.285,0.726,-0.280344
1766149093451076525,4.331,0.778,-0.418879
1766149093727466441,4.348,0.809,-0.350157
1766149094026998957,4.348,0.796,-0.152716
1766149094328981931,4.363,0.808,0.007636
1766149094615878291,4.345,0.816,-0.015272
1766149094918214391,4.322,0.824,-0.063268
1766149095216854546,4.286,0.838,-0.071995
1766149095529290631,4.253,0.847,-0.068722
1766149095817875956,4.223,0.851,-0.076358
1766149096127912998,4.176,0.859,-0.09163
1766149096417846069,4.135,0.866,-0.122173
1766149096728330965,4.089,0.87,-0.115628
1766149097027311320,4.053,0.874,-0.116719
1766149097329546993,4.018,0.871,-0.106901
1766149097629688666,3.989,0.87,-0.103629
1766149097918334296,3.965,0.867,-0.094902
1766149098228841679,3.945,0.859,-0.098175
1766149098526039561,3.942,0.867,-0.263981
1766149098829457175,3.918,0.86,-0.457058
1766149099130295121,3.878,0.83,-0.621774
1766149099416930373,3.834,0.812,-0.818123
1766149099728877927,3.784,0.807,-0.90648
1766149100029987021,3.72,0.81,-0.983929
1766149100331504821,3.592,0.799,-1.088649
