timestamp,values
1766149406581206097,"[283.359375, 355.341796875]"
1766149406882608188,"[283.359375, 355.341796875]"
1766149407182849863,"[283.359375, 355.341796875]"
1766149407484149916,"[283.359375, 355.341796875]"
1766149407782503433,"[283.359375, 355.341796875]"
1766149408082737028,"[283.359375, 355.341796875]"
1766149408380341405,"[283.359375, 355.341796875]"
1766149408682367781,"[283.359375, 355.341796875]"
1766149408983786440,"[283.359375, 355.341796875]"
1766149409282216304,"[283.359375, 355.341796875]"
1766149409580373274,"[283.359375, 355.341796875]"
1766149409882901025,"[283.359375, 355.341796875]"
1766149410182278463,"[283.359375, 355.341796875]"
1766149410483703843,"[283.359375, 355.341796875]"
1766149410783049054,"[283.359375, 355.341796875]"
1766149411081456352,"[283.359375, 355.341796875]"
1766149411384066731,"[283.359375, 355.341796875]"
1766149411680925637,"[283.359375, 355.341796875]"
1766149411981710251,"[283.359375, 355.341796875]"
1766149412283438561,"[283.359375, 355.341796875]"
1766149412584352306,"[283.359375, 355.341796875]"
1766149412883955532,"[283.359375, 355.341796875]"
1766149413181438377,"[283.359375, 355.341796875]"
1766149413483457411,"[283.359375, 355.341796875]"
1766149413782630154,"[283.359375, 355.341796875]"
1766149414083807087,"[283.359375, 355.341796875]"
1766149414383177056,"[283.359375, 355.341796875]"
1766149414682736721,"[283.359375, 355.341796875]"
1766149414982931110,"[283.359375, 355.341796875]"
1766149415283055846,"[283.359375, 355.341796875]"
1766149415580764875,"[283.359375, 355.341796875]"
1766149415880408685,"[283.359375, 355.341796875]"
1766149416180649899,"[283.359375, 355.341796875]"
1766149416482813077,"[283.359375, 355.341796875]"
1766149416783012659,"[283.359375, 355.341796875]"
1766149417083184245,"[283.359375, 355.341796875]"
1766149417380443978,"[283.359375, 355.341796875]"
1766149417682017483,"[283.359375, 355.341796875]"
1766149417983272224,"[283.359375, 355.341796875]"
1766149418282188838,"[283.359375, 355.341796875]"
1766149418581369320,"[283.359375, 355.341796875]"
1766149418881287938,"[283.359375, 355.341796875]"
1766149419184164416,"[283.359375, 355.341796875]"
1766149419482857077,"[283.359375, 355.341796875]"
1766149419782836126,"[283.359375, 355.341796875]"
1766149420082407809,"[283.359375, 355.341796875]"
1766149420383128384,"[283.359375, 355.341796875]"
1766149420683920843,"[283.359375, 355.341796875]"
1766149420982718852,"[283.359375, 355.341796875]"
1766149421282198427,"[283.359375, 355.341796875]"
1766149421583122175,"[283.359375, 355.341796875]"
1766149421884039508,"[283.359375, 355.341796875]"
1766149422180569311,"[283.359375, 355.341796875]"
