timestamp,x,y,theta
1766149406629343946,2.351,0.941,-2.6649
1766149406930842398,2.044,0.951,-2.611449
1766149407216842240,1.72,0.943,-2.776164
1766149407530541912,1.347,1.027,-2.816525
1766149407819747050,1.002,1.096,-2.719441
1766149408130857481,0.664,1.159,-2.701988
1766149408416508768,0.331,1.204,-2.778346
1766149408729532045,0.029,1.249,-2.697625
1766149409020411230,-0.299,1.344,-2.448915
1766149409331225055,-0.608,1.443,-2.344195
1766149409617140004,-0.934,1.611,-2.250384
1766149409915770872,-1.18,1.772,-2.091123
1766149410230183084,-1.415,2.028,-1.774782
1766149410519170508,-1.555,2.311,-1.715877
1766149410816088157,-1.663,2.635,-1.617702
1766149411129353124,-1.72,2.988,-1.459532
1766149411432172488,-1.714,3.357,-1.239184
1766149411729157710,-1.646,3.751,-1.245729
1766149412017447802,-1.513,4.113,-1.117011
1766149412316104203,-1.34,4.508,-0.740674
1766149412626179138,-1.109,4.874,-0.532325
1766149412919225007,-0.811,5.268,-0.482147
1766149413228998308,-0.469,5.532,-0.311978
1766149413528699979,-0.106,5.686,0.044724
1766149413828804399,0.274,5.825,-0.116719
1766149414125562301,0.684,5.983,-0.229074
1766149414431256015,1.102,6.049,0.019635
1766149414719222491,1.537,6.057,0.30216
1766149415017148922,1.963,6.018,0.0
1766149415318481089,2.368,5.954,0.199622
1766149415621545048,2.778,5.858,0.337067
1766149415917259074,3.173,5.701,0.688314
1766149416217269399,3.546,5.495,0.642499
1766149416518208745,4.023,5.336,0.628319
1766149416829395806,4.344,5.073,-5.103997
1766149417119002055,4.546,4.788,-4.625123
1766149417420199824,4.683,4.487,-4.728751
1766149417715144077,4.791,4.167,-4.807291
1766149418028117630,4.841,3.821,-4.399321
1766149418318600730,4.787,3.52,0.0
1766149418616499064,4.719,3.144,-3.981532
1766149418928729975,4.607,2.827,-4.015348
1766149419227991996,4.492,2.535,-3.88663
1766149419517350343,4.372,2.269,-3.846269
1766149419817525771,4.199,2.029,-3.846269
1766149420127773532,4.021,1.852,-4.118977
1766149420398274827,3.868,1.728,-4.445135
1766149420698580785,3.738,1.648,-4.596761
1766149421484858305,3.599,1.518,-5.306892
1766149421600410372,3.486,1.429,-5.336344
1766149421916847473,3.454,1.385,-4.905466
