timestamp,values
1766148757384501615,"[0.615234375, 0.703125]"
1766148757687027833,"[0.615234375, 0.703125]"
1766148757981283098,"[0.615234375, 0.703125]"
1766148758285179759,"[0.615234375, 0.703125]"
1766148758582713353,"[0.615234375, 0.703125]"
1766148758882742261,"[0.615234375, 0.703125]"
1766148759185693990,"[0.615234375, 0.703125]"
1766148759482815925,"[0.615234375, 0.703125]"
1766148759781634307,"[0.615234375, 0.703125]"
1766148760081846328,"[0.52734375, 0.703125]"
1766148760383035758,"[0.3515625, 0.703125]"
1766148760687153859,"[359.912109375, 0.703125]"
1766148760985371169,"[358.857421875, 0.703125]"
1766148761285700960,"[358.59375, 0.703125]"
1766148761582286144,"[350.947265625, 0.703125]"
1766148761884163280,"[352.529296875, 355.341796875]"
1766148762181606173,"[352.353515625, 355.341796875]"
1766148762482044299,"[352.353515625, 355.341796875]"
1766148762781206098,"[352.353515625, 355.341796875]"
1766148763084373566,"[352.353515625, 355.341796875]"
1766148763381992415,"[355.341796875, 355.341796875]"
1766148763684498386,"[359.296875, 355.341796875]"
1766148763982589602,"[359.296875, 355.341796875]"
1766148764284999218,"[359.208984375, 355.341796875]"
1766148764581710312,"[354.990234375, 355.341796875]"
1766148764881856442,"[353.14453125, 355.341796875]"
1766148765187653829,"[348.837890625, 355.341796875]"
1766148765482030189,"[344.091796875, 355.341796875]"
1766148765782538311,"[344.1796875, 355.341796875]"
1766148766081782500,"[343.125, 355.341796875]"
1766148766382639651,"[344.443359375, 355.341796875]"
1766148766685214405,"[344.70703125, 355.341796875]"
1766148766986202016,"[345.234375, 355.341796875]"
1766148767284673260,"[346.81640625, 355.341796875]"
1766148767585518679,"[351.38671875, 355.341796875]"
1766148767885522835,"[353.232421875, 355.341796875]"
1766148768183019745,"[349.62890625, 355.341796875]"
1766148768481399940,"[347.87109375, 355.341796875]"
1766148768783723808,"[349.98046875, 355.341796875]"
1766148769082160851,"[350.068359375, 355.341796875]"
1766148769384937564,"[350.15625, 355.341796875]"
1766148769682403912,"[350.15625, 355.341796875]"
1766148769981861416,"[350.244140625, 355.341796875]"
1766148770281388318,"[350.5078125, 355.341796875]"
1766148770581139424,"[350.5078125, 355.341796875]"
1766148770884674124,"[350.5078125, 355.341796875]"
1766148771182666341,"[350.5078125, 355.341796875]"
1766148771482018025,"[350.595703125, 355.341796875]"
1766148771784228119,"[351.123046875, 355.341796875]"
1766148772085969291,"[351.298828125, 355.341796875]"
1766148772383258609,"[351.298828125, 355.341796875]"
1766148772683390390,"[351.298828125, 355.341796875]"
1766148772983956538,"[351.298828125, 355.341796875]"
1766148773285626729,"[351.298828125, 355.341796875]"
1766148773584639353,"[351.298828125, 355.341796875]"
1766148773881311267,"[351.298828125, 355.341796875]"
1766148774182916709,"[351.298828125, 355.341796875]"
1766148774482910128,"[351.38671875, 355.341796875]"
1766148774781555706,"[351.5625, 355.341796875]"
1766148775083148096,"[351.5625, 355.341796875]"
1766148775383751054,"[350.771484375, 355.341796875]"
1766148775683842700,"[350.419921875, 355.341796875]"
1766148775984113097,"[351.03515625, 355.341796875]"
1766148776284256495,"[351.5625, 355.341796875]"
1766148776584155113,"[352.001953125, 355.341796875]"
1766148776885248750,"[352.353515625, 355.341796875]"
1766148777184620372,"[353.14453125, 355.341796875]"
1766148777481616257,"[353.583984375, 355.341796875]"
1766148777784480431,"[353.759765625, 355.341796875]"
1766148778084177312,"[353.935546875, 355.341796875]"
1766148778384292486,"[353.935546875, 355.341796875]"
1766148778682882395,"[353.935546875, 355.341796875]"
1766148778984918425,"[354.0234375, 355.341796875]"
1766148779281034238,"[354.111328125, 355.341796875]"
1766148779581871135,"[354.19921875, 355.341796875]"
1766148779882564654,"[354.287109375, 355.341796875]"
1766148780182422558,"[354.287109375, 355.341796875]"
1766148780484415618,"[354.287109375, 355.341796875]"
1766148780785076122,"[354.19921875, 355.341796875]"
1766148781085338828,"[353.935546875, 355.341796875]"
1766148781382082198,"[353.583984375, 355.341796875]"
1766148781684264493,"[354.462890625, 355.341796875]"
1766148781982582050,"[354.814453125, 355.341796875]"
1766148782284684372,"[354.90234375, 355.341796875]"
1766148782583862040,"[354.90234375, 355.341796875]"
1766148782881898529,"[354.990234375, 355.341796875]"
1766148783181996082,"[354.990234375, 355.341796875]"
1766148783481566411,"[354.990234375, 355.341796875]"
1766148783781320993,"[354.90234375, 355.341796875]"
1766148784081476319,"[354.814453125, 355.341796875]"
1766148784384492849,"[354.90234375, 355.341796875]"
1766148784682681839,"[354.90234375, 355.341796875]"
1766148784982359203,"[354.90234375, 355.341796875]"
1766148785284898360,"[354.990234375, 355.341796875]"
1766148785585003522,"[354.990234375, 355.341796875]"
1766148785884305483,"[354.990234375, 355.341796875]"
1766148786184061714,"[354.990234375, 355.341796875]"
1766148786485349365,"[355.078125, 355.341796875]"
