timestamp,x,y,theta
1766148757431935570,-1.115,2.282,-2.462005
1766148757720385997,-1.268,2.235,-2.462005
1766148758021220058,-1.418,2.208,-2.460914
1766148758319487121,-1.529,2.18,-2.460914
1766148758635131656,-1.619,2.174,-2.457642
1766148758929702416,-1.674,2.173,-2.456551
1766148759218758183,-1.707,2.164,-2.453278
1766148759523527896,-1.717,2.174,-2.447824
1766148759819997566,-1.688,2.178,-2.448915
1766148760117491442,-1.432,2.236,-2.535091
1766148760419853839,-1.13,2.253,-2.741258
1766148760718415600,-0.886,2.27,-2.981241
1766148761017991504,-0.613,2.299,-2.928881
1766148761324030559,-0.34,2.389,-2.715078
1766148761631821482,-0.138,2.581,-2.4031
1766148761930684234,-0.059,2.639,-2.275473
1766148762219727433,0.048,2.667,-2.484913
1766148762518796294,-0.03,2.691,-2.792527
1766148762818943219,-0.034,2.658,-2.915791
1766148763121759678,-0.037,2.633,-3.262675
1766148763420831862,-0.101,2.492,-3.605196
1766148763721368893,-0.111,2.391,-3.88663
1766148764020181992,-0.134,2.304,-3.904083
1766148764319163487,-0.131,2.242,-3.869177
1766148764619157505,-0.138,2.198,-3.900811
1766148764922441447,0.106,2.313,-3.80809
1766148765222326750,0.289,2.434,-3.664101
1766148765517911742,0.187,2.341,-3.570289
1766148765818243760,0.145,2.263,-3.556108
1766148766138539478,0.043,2.165,-3.653192
1766148766433492540,-0.004,2.117,-3.795
1766148766755801401,-0.051,2.105,-3.853905
1766148767018688238,-0.071,2.111,-3.900811
1766148767322516455,-0.077,2.103,-3.943353
1766148767620860075,-0.14,2.092,-3.907356
1766148767920712023,-0.174,2.114,-3.896448
1766148768219459878,-0.151,2.159,-3.78191
1766148768530216830,-0.362,2.08,-3.661919
1766148768818974645,-0.339,2.061,-3.605196
1766148769122855199,-0.45,1.974,-3.527747
1766148769419099419,-0.468,1.958,-3.469933
1766148769717439735,-0.482,1.944,-3.477569
1766148770019255451,-0.611,1.862,-3.531019
1766148770317822995,-0.561,1.893,-3.601923
1766148770618315698,-0.445,1.964,-3.660828
1766148770919707242,-0.342,2.04,-3.685917
1766148771222059375,-0.242,2.088,-3.643375
1766148771514567461,-0.153,2.134,-3.618286
1766148771819847935,-0.128,2.151,-3.596469
1766148772122548431,-0.064,2.208,-3.589924
1766148772421194923,-0.016,2.241,-3.589924
1766148772716481401,0.041,2.265,-3.652101
1766148773020618221,0.068,2.27,-3.713188
1766148773315573345,-0.016,2.186,-3.765548
1766148773630803974,-0.031,2.149,-3.74264
1766148773922478733,-0.098,2.088,-3.725187
1766148774232510023,-0.107,2.07,-3.726278
1766148774519960663,-0.079,2.039,-3.771002
1766148774819369869,-0.057,2.047,-3.739368
1766148775119116882,-0.058,2.036,0.0
1766148775415124930,-0.067,1.996,-3.761185
1766148775730947293,-0.043,2.02,-3.756821
1766148776018749784,-0.046,2.009,-3.760094
1766148776331690958,0.159,2.164,-3.759003
1766148776631221927,0.033,2.215,-3.762275
1766148776931122499,-0.069,2.142,-3.760094
1766148777220408719,-0.074,2.119,-3.760094
1766148777530300623,0.128,2.263,-3.75573
1766148777817844914,0.131,2.255,-3.763366
1766148778129507522,0.095,2.221,-3.757912
1766148778422351020,0.101,2.2,-3.756821
1766148778723209563,0.102,2.197,-3.75573
1766148779033326396,0.273,2.319,-3.757912
1766148779331401372,0.131,2.221,-3.757912
1766148779628290537,0.014,2.144,-3.757912
1766148779930810323,0.203,2.274,-3.757912
1766148780218490573,0.083,2.2,-3.759003
1766148780535427817,0.256,2.328,-3.75464
1766148780833278654,0.401,2.435,-3.75464
1766148781119607477,0.52,2.517,-3.764457
1766148781421882243,0.395,2.437,-3.752458
1766148781720901505,0.14,2.273,-3.75464
1766148782029918135,0.037,2.191,-3.750276
1766148782334263743,-0.171,2.047,-3.751367
1766148782622355821,-0.369,1.923,-3.747004
1766148782920394714,-0.423,1.878,-3.778638
1766148783234210858,-0.387,1.877,-3.837543
1766148783524280290,-0.358,1.887,-3.851723
1766148783817446741,-0.322,1.888,-3.809181
1766148784117083746,-0.328,1.887,-3.756821
1766148784418814665,-0.414,1.839,-3.756821
1766148784721012408,-0.133,2.039,-3.756821
1766148785021732228,-0.336,2.023,-3.793909
1766148785328883781,-0.318,2.113,-3.817908
1766148785620839131,-0.139,2.271,-3.875722
1766148785930457646,0.01,2.41,-3.874631
1766148786218229033,0.1,2.5,-3.872449
1766148786531211364,0.156,2.563,-3.784092
1766148786829894228,0.016,2.495,-3.784092
1766148787121142443,0.164,2.604,-3.787364
1766148787417711641,0.286,2.689,-3.774275
1766148787718882696,-0.873,2.89,-3.776456
1766148788019227498,-0.606,2.931,-3.772093
1766148788319610058,-0.371,2.954,-3.773184
1766148788619331166,-0.162,2.966,-3.76773
1766148788920726825,-0.36,2.762,-3.769911
1766148789220895448,-0.156,2.782,-3.761185
1766148789530659956,-0.261,2.634,-3.760094
1766148789818814458,-0.38,2.495,-3.760094
1766148790130862432,-0.167,2.547,-3.761185
1766148790421721679,-0.332,2.388,-3.761185
1766148790730155265,-0.497,2.254,-3.762275
1766148791020990146,-0.57,2.176,0.0
1766148791321189070,-0.671,2.095,-3.778638
1766148791621771982,-0.779,2.021,-3.795
1766148791933847156,-0.801,1.983,-3.795
1766148792229942598,-0.838,1.946,-3.795
1766148792534451124,-0.901,1.915,-3.796091
1766148792822933618,-0.906,1.903,-3.795
1766148793119960452,-0.797,1.951,-3.795
1766148793421953329,-0.471,2.145,-3.793909
1766148793720588393,-0.56,2.105,-3.795
1766148794017711531,-0.664,2.062,-3.793909
1766148794321988757,-0.729,2.036,-3.792819
1766148794634734618,-0.421,2.222,-3.788455
1766148794921124008,-0.5,2.169,-3.788455
1766148795218549046,-0.579,2.125,-3.788455
1766148795519885952,-0.662,2.084,-3.789546
1766148795818029627,-0.576,2.125,-3.789546
1766148796120340824,-0.483,2.171,-3.787364
1766148796420788328,-0.532,2.158,-3.787364
1766148796732830057,-0.449,2.206,-3.787364
1766148797022837755,-0.499,2.173,-3.787364
1766148797329462480,-0.522,2.16,-3.787364
1766148797616896297,-0.256,2.322,-3.787364
