timestamp,values
1766149163879996576,"[283.271484375, 355.341796875]"
1766149164179893597,"[283.359375, 355.341796875]"
1766149164480419892,"[283.359375, 355.341796875]"
1766149164780027895,"[283.271484375, 355.341796875]"
1766149165081123305,"[283.359375, 355.341796875]"
1766149165381193529,"[283.359375, 355.341796875]"
1766149165682351684,"[283.359375, 355.341796875]"
1766149165980486433,"[283.359375, 355.341796875]"
1766149166282825615,"[283.359375, 355.341796875]"
1766149166580756226,"[283.359375, 355.341796875]"
1766149166880178875,"[283.359375, 355.341796875]"
1766149167182431271,"[283.359375, 355.341796875]"
1766149167482187949,"[283.359375, 355.341796875]"
1766149167781435384,"[283.359375, 355.341796875]"
1766149168084047875,"[283.359375, 355.341796875]"
1766149168382182159,"[283.359375, 355.341796875]"
1766149168683822225,"[283.359375, 355.341796875]"
1766149168981805862,"[283.359375, 355.341796875]"
1766149169283461685,"[283.359375, 355.341796875]"
1766149169582764915,"[283.271484375, 355.341796875]"
1766149169884833780,"[283.359375, 355.341796875]"
1766149170183119334,"[283.359375, 355.341796875]"
1766149170481760103,"[283.359375, 355.341796875]"
1766149170781954416,"[283.359375, 355.341796875]"
1766149171082680442,"[283.359375, 355.341796875]"
1766149171379989994,"[283.359375, 355.341796875]"
1766149171680359454,"[283.359375, 355.341796875]"
1766149171981707737,"[283.359375, 355.341796875]"
1766149172281699501,"[283.359375, 355.341796875]"
1766149172581851306,"[283.359375, 355.341796875]"
1766149172881579048,"[283.359375, 355.341796875]"
1766149173180392700,"[283.359375, 355.341796875]"
1766149173483579524,"[283.359375, 355.341796875]"
1766149173782902169,"[283.359375, 355.341796875]"
1766149174082233643,"[283.359375, 355.341796875]"
1766149174383051887,"[283.359375, 355.341796875]"
1766149174683300260,"[283.271484375, 355.341796875]"
1766149174982803086,"[283.359375, 355.341796875]"
1766149175281918643,"[283.359375, 355.341796875]"
1766149175582221009,"[283.359375, 355.341796875]"
1766149175882877002,"[283.359375, 355.341796875]"
1766149176182483889,"[283.359375, 355.341796875]"
1766149176482948582,"[283.359375, 355.341796875]"
1766149176781812981,"[283.359375, 355.341796875]"
1766149177082408093,"[283.359375, 355.341796875]"
1766149177382941811,"[283.271484375, 355.341796875]"
1766149177683151027,"[283.359375, 355.341796875]"
1766149177984397234,"[283.359375, 355.341796875]"
1766149178281919674,"[283.359375, 355.341796875]"
1766149178582612090,"[283.359375, 355.341796875]"
1766149178883500834,"[283.359375, 355.341796875]"
1766149179182312308,"[283.359375, 355.341796875]"
1766149179483921607,"[283.359375, 355.341796875]"
1766149179782611868,"[283.359375, 355.341796875]"
1766149180083665500,"[283.271484375, 355.341796875]"
1766149180382869540,"[283.359375, 355.341796875]"
1766149180683384503,"[283.359375, 355.341796875]"
1766149180982839954,"[283.271484375, 355.341796875]"
1766149181283092174,"[283.359375, 355.341796875]"
1766149181582759842,"[283.359375, 355.341796875]"
1766149181882370264,"[283.271484375, 355.341796875]"
1766149182183660203,"[283.359375, 355.341796875]"
1766149182481980263,"[283.359375, 355.341796875]"
1766149182784454402,"[283.359375, 355.341796875]"
1766149183082559600,"[283.359375, 355.341796875]"
