timestamp,x,y,theta
1766149163930656332,2.572,4.828,-4.111341
1766149164233263520,2.368,4.654,-4.094979
1766149164513523456,2.207,4.415,-4.10916
1766149164814188174,2.017,4.147,-4.248786
1766149165129024684,1.792,3.835,-4.307691
1766149165429736681,1.615,3.505,-4.079707
1766149165726319160,1.476,3.211,-4.102615
1766149166018365062,1.354,2.867,-4.308782
1766149166329280335,1.21,2.524,-4.369868
1766149166613985892,1.121,2.205,-4.244423
1766149166914585393,1.019,1.839,-4.316417
1766149167229806319,0.923,1.452,-4.447317
1766149167531612149,0.916,0.937,-4.406956
1766149167818146481,0.849,0.651,-4.219333
1766149168129930116,0.807,0.351,-4.356778
1766149168414225660,0.763,0.116,-4.561854
1766149168727394629,0.751,-0.117,-4.925101
1766149169028119473,0.852,-0.294,-5.3178
1766149169316566577,1.007,-0.393,0.589049
1766149169628983522,1.219,-0.38,0.165806
1766149169913747817,1.438,-0.375,0.139626
1766149170218240350,1.675,-0.336,0.178896
1766149170517978753,1.948,-0.3,-0.005454
1766149170828686754,2.24,-0.211,-0.069813
1766149171115719076,2.557,-0.087,0.102538
1766149171415189033,2.932,0.098,0.109083
1766149171716044145,3.23,0.271,-0.107992
1766149172015201280,3.487,0.363,0.0
1766149172323934342,3.708,0.484,-0.086176
1766149172616891649,3.857,0.568,0.0
1766149172919008139,3.93,0.624,-0.136354
1766149173217924255,4.013,0.709,-0.28907
1766149173517772298,4.047,0.791,-0.554142
1766149173830594065,4.039,0.863,-0.742856
1766149174117022350,4.017,0.916,-0.80067
1766149174419818298,3.979,0.961,-0.767945
1766149174729684689,3.939,0.989,-0.713403
1766149175020521331,3.882,0.996,-0.689405
1766149175328361383,3.835,0.995,-0.644681
1766149175617376983,3.792,0.991,-0.606502
1766149175926590384,3.75,0.984,-0.622864
1766149176217278118,3.711,0.963,-0.647953
1766149176526652878,3.675,0.943,-0.574868
1766149176830077982,3.653,0.937,-0.466876
1766149177130165901,3.635,0.939,-0.447241
1766149177414588960,3.642,0.935,-0.349066
1766149177726466212,3.636,0.887,-0.059996
1766149178016822582,3.687,0.856,0.282525
1766149178328088903,3.739,0.815,0.457058
1766149178613200671,3.769,0.786,0.395972
1766149178929036977,3.863,0.803,0.208349
1766149179216708718,3.837,0.785,0.0
1766149179519040208,3.796,0.774,-0.198531
1766149179828288996,3.758,0.765,-0.193077
1766149180117869515,3.751,0.767,-0.110174
1766149180419547975,3.742,0.773,-0.081812
1766149180719022020,3.695,0.751,-0.140717
1766149181016578756,3.674,0.805,-0.235619
1766149181313801441,3.66,0.865,-0.402517
1766149181628604225,3.696,0.96,-0.664316
1766149181928473420,3.679,1.06,-0.954477
1766149182244803159,3.663,1.156,-1.078832
1766149182531076928,3.623,1.262,-1.016654
1766149182816730069,3.545,1.355,-1.004655
1766149183124198374,3.49,1.393,-1.084286
