timestamp,values
1766148838381727629,"[282.65625, 355.341796875]"
1766148838685169428,"[282.65625, 355.341796875]"
1766148838982719999,"[282.65625, 355.341796875]"
1766148839284249154,"[282.65625, 355.341796875]"
1766148839584459898,"[282.65625, 355.341796875]"
1766148839884925465,"[282.65625, 355.341796875]"
1766148840183921865,"[282.65625, 355.341796875]"
1766148840480657559,"[282.65625, 355.341796875]"
1766148840782052691,"[282.65625, 355.341796875]"
1766148841082218452,"[282.65625, 355.341796875]"
1766148841383540346,"[282.65625, 355.341796875]"
1766148841681621908,"[282.65625, 355.341796875]"
1766148841981140180,"[282.65625, 355.341796875]"
1766148842281636361,"[282.65625, 355.341796875]"
1766148842580414629,"[282.65625, 355.341796875]"
1766148842881257569,"[282.65625, 355.341796875]"
1766148843185101251,"[282.65625, 355.341796875]"
1766148843482159133,"[282.65625, 355.341796875]"
1766148843781154181,"[282.65625, 355.341796875]"
1766148844081243582,"[282.65625, 355.341796875]"
1766148844383127362,"[282.744140625, 355.341796875]"
1766148844681168803,"[282.919921875, 355.341796875]"
1766148844981428569,"[282.919921875, 355.341796875]"
1766148845282372743,"[282.919921875, 355.341796875]"
1766148845582140560,"[282.919921875, 355.341796875]"
1766148845882421966,"[282.919921875, 355.341796875]"
1766148846184102089,"[282.919921875, 355.341796875]"
1766148846484668160,"[282.919921875, 355.341796875]"
1766148846784031134,"[282.919921875, 355.341796875]"
1766148847084435850,"[282.919921875, 355.341796875]"
1766148847381407134,"[282.919921875, 355.341796875]"
1766148847680394383,"[282.919921875, 355.341796875]"
1766148847982210373,"[282.919921875, 355.341796875]"
1766148848284548072,"[282.919921875, 355.341796875]"
1766148848583517208,"[282.919921875, 355.341796875]"
1766148848885580422,"[282.919921875, 355.341796875]"
1766148849181042347,"[282.919921875, 355.341796875]"
1766148849482510848,"[282.919921875, 355.341796875]"
1766148849782095544,"[282.919921875, 355.341796875]"
1766148850082414279,"[282.919921875, 355.341796875]"
1766148850384804178,"[282.919921875, 355.341796875]"
1766148850683007429,"[282.919921875, 355.341796875]"
1766148850982369009,"[282.919921875, 355.341796875]"
1766148851283587475,"[282.919921875, 355.341796875]"
1766148851584847940,"[282.919921875, 355.341796875]"
1766148851881030482,"[282.919921875, 355.341796875]"
1766148852181811630,"[282.919921875, 355.341796875]"
1766148852483865094,"[282.919921875, 355.341796875]"
1766148852784358243,"[282.919921875, 355.341796875]"
1766148853082671010,"[282.919921875, 355.341796875]"
1766148853381126357,"[282.919921875, 355.341796875]"
1766148853683153497,"[282.919921875, 355.341796875]"
1766148853984472144,"[282.919921875, 355.341796875]"
1766148854283144059,"[282.919921875, 355.341796875]"
1766148854584474109,"[282.919921875, 355.341796875]"
1766148854883735727,"[282.919921875, 355.341796875]"
1766148855181414660,"[282.919921875, 355.341796875]"
1766148855481624010,"[282.919921875, 355.341796875]"
1766148855780442605,"[282.919921875, 355.341796875]"
1766148856084880340,"[282.919921875, 355.341796875]"
1766148856382668201,"[282.919921875, 355.341796875]"
1766148856683409994,"[282.919921875, 355.341796875]"
1766148856982032924,"[282.919921875, 355.341796875]"
1766148857282163141,"[282.919921875, 355.341796875]"
1766148857580520805,"[282.919921875, 355.341796875]"
1766148857881502669,"[282.919921875, 355.341796875]"
1766148858180788285,"[282.919921875, 355.341796875]"
1766148858481538718,"[282.919921875, 355.341796875]"
1766148858782137481,"[282.919921875, 355.341796875]"
1766148859082864162,"[282.919921875, 355.341796875]"
1766148859380702992,"[282.919921875, 355.341796875]"
1766148859684940162,"[282.919921875, 355.341796875]"
1766148859983228756,"[282.919921875, 355.341796875]"
1766148860285076789,"[282.919921875, 355.341796875]"
1766148860583538446,"[282.919921875, 355.341796875]"
1766148860881513539,"[282.919921875, 355.341796875]"
1766148861183893798,"[282.919921875, 355.341796875]"
1766148861483724638,"[282.919921875, 355.341796875]"
1766148861783659976,"[282.919921875, 355.341796875]"
1766148862083850061,"[282.919921875, 355.341796875]"
1766148862381217975,"[282.919921875, 355.341796875]"
1766148862682628164,"[282.919921875, 355.341796875]"
1766148862981217371,"[282.919921875, 355.341796875]"
1766148863283006699,"[282.919921875, 355.341796875]"
1766148863583288334,"[282.919921875, 355.341796875]"
1766148863883325524,"[282.919921875, 355.341796875]"
1766148864183810941,"[282.919921875, 355.341796875]"
1766148864484126235,"[282.919921875, 355.341796875]"
1766148864781217456,"[282.919921875, 355.341796875]"
1766148865084169657,"[282.919921875, 355.341796875]"
1766148865383694494,"[282.919921875, 355.341796875]"
1766148865680862491,"[282.919921875, 355.341796875]"
1766148865984201387,"[282.919921875, 355.341796875]"
1766148866285800531,"[282.919921875, 355.341796875]"
1766148866582341531,"[282.919921875, 355.341796875]"
1766148866885843311,"[282.919921875, 355.341796875]"
1766148867184057067,"[282.919921875, 355.341796875]"
1766148867480481964,"[282.919921875, 355.341796875]"
1766148867782848244,"[282.919921875, 355.341796875]"
1766148868084173706,"[282.919921875, 355.341796875]"
1766148868383054332,"[282.919921875, 355.341796875]"
1766148868683855012,"[282.919921875, 355.341796875]"
1766148868982689040,"[282.919921875, 355.341796875]"
1766148869284121079,"[282.919921875, 355.341796875]"
1766148869583076361,"[282.919921875, 355.341796875]"
1766148869883328989,"[282.919921875, 355.341796875]"
1766148870183721897,"[282.919921875, 355.341796875]"
1766148870483313623,"[282.919921875, 355.341796875]"
1766148870785239423,"[282.919921875, 355.341796875]"
1766148871080623004,"[282.919921875, 355.341796875]"
1766148871383551577,"[282.919921875, 355.341796875]"
1766148871681309292,"[282.919921875, 355.341796875]"
1766148871983932265,"[282.919921875, 355.341796875]"
1766148872282052912,"[282.919921875, 355.341796875]"
1766148872580408031,"[282.919921875, 355.341796875]"
1766148872884487157,"[282.919921875, 355.341796875]"
1766148873182937182,"[282.919921875, 355.341796875]"
1766148873483431793,"[282.919921875, 355.341796875]"
1766148873780506173,"[282.919921875, 355.341796875]"
1766148874083752464,"[282.919921875, 355.341796875]"
1766148874383718395,"[282.919921875, 355.341796875]"
