timestamp,x,y,theta
1766148838140245508,0.069,2.466,-3.76882
1766148838436355569,0.143,2.511,-3.76882
1766148838732151274,0.117,2.494,-3.76882
1766148839020879533,0.089,2.475,-3.76882
1766148839317562153,0.109,2.492,-3.76882
1766148839630119310,0.079,2.473,-3.76882
1766148839929683636,0.049,2.458,-3.76773
1766148840217390686,0.024,2.431,-3.765548
1766148840520752632,0.039,2.443,-3.766639
1766148840817251084,0.014,2.416,-3.765548
1766148841104841851,-0.007,2.393,-3.763366
1766148841425434154,0.132,2.491,-3.76882
1766148841727595870,0.095,2.469,-3.765548
1766148842017207986,0.097,2.467,-3.765548
1766148842316214800,0.131,2.486,-3.765548
1766148842620350142,0.066,2.447,0.0
1766148842917951004,0.038,2.419,-3.765548
1766148843219836771,-0.002,2.401,-3.764457
1766148843519723405,-0.009,2.395,-3.762275
1766148843820516058,0.006,2.407,-3.763366
1766148844116849557,-0.025,2.391,-3.764457
1766148844418429879,-0.006,2.404,-3.764457
1766148844718454501,-0.03,2.386,-3.765548
1766148845016733177,0.026,2.416,-3.764457
1766148845317464652,0.004,2.401,-3.766639
1766148845620547658,0.031,2.417,-3.765548
1766148845931318570,0.002,2.408,-3.764457
1766148846217729224,0.023,2.428,-3.761185
1766148846516246856,0.001,2.41,-3.76773
1766148846816622175,-0.018,2.403,-3.76882
1766148847118974794,0.028,2.441,-3.76882
1766148847416872151,0.046,2.446,-3.76882
1766148847716570641,0.022,2.429,-3.766639
1766148848023385335,0.001,2.403,-3.765548
1766148848321153292,-0.015,2.389,-3.766639
1766148848619052669,0.013,2.411,-3.762275
1766148848929378011,-0.014,2.395,-3.760094
1766148849218704124,0.08,2.45,-3.766639
1766148849516799620,0.135,2.48,-3.760094
1766148849817708370,0.13,2.474,-3.762275
1766148850120594361,0.091,2.449,-3.760094
1766148850420528885,0.048,2.419,-3.759003
1766148850718828065,0.048,2.418,-3.759003
1766148851022123768,0.006,2.401,-3.756821
1766148851318296398,0.019,2.401,-3.756821
1766148851614653274,-0.033,2.372,-3.75573
1766148851920099804,-0.054,2.358,-3.75573
1766148852229800656,-0.116,2.302,-3.753549
1766148852520252930,-0.122,2.308,-3.753549
1766148852819797845,-0.101,2.322,-3.75464
1766148853121084504,-0.11,2.324,-3.75464
1766148853417480770,-0.105,2.326,-3.744822
1766148853718040578,-0.184,2.286,-3.747004
1766148854017897655,-0.19,2.295,-3.76773
1766148854318083564,-0.161,2.32,-3.80809
1766148854619088767,-0.03,2.416,-3.852814
1766148854920830127,0.144,2.559,-3.811363
1766148855217482845,0.105,2.546,-3.786274
1766148855529415851,0.063,2.53,-3.771002
1766148855812873722,0.229,2.649,-3.787364
1766148856122089322,0.136,2.592,-3.827725
1766148856420852112,0.162,2.603,-3.839724
1766148856716843333,0.12,2.567,-3.827725
1766148857016939788,0.186,2.612,-3.791728
1766148857318923768,0.093,2.581,-3.583379
1766148857617258041,-0.028,2.584,-3.355395
1766148857914190819,-0.122,2.589,-3.303036
1766148858220441540,-0.199,2.583,-3.340124
1766148858521477674,-0.266,2.576,-3.333579
1766148858820703822,-0.161,2.66,-3.316126
1766148859121909243,-0.134,2.67,-3.356486
1766148859420710178,-0.21,2.631,-3.358668
1766148859729279546,-0.272,2.598,-3.343396
1766148860019865651,-0.324,2.588,-3.399029
1766148860317671119,-0.362,2.569,-3.359759
1766148860619009472,-0.395,2.567,-3.359759
1766148860930267150,-0.418,2.553,-3.351032
1766148861217590373,-0.437,2.539,-3.345578
1766148861531784940,-0.45,2.531,-3.33467
1766148861819855205,-0.453,2.527,-3.32158
1766148862126465831,-0.537,2.481,-3.331397
1766148862419044515,-0.533,2.478,-3.331397
1766148862729211939,-0.529,2.481,-3.330306
1766148863026745950,-0.529,2.49,-3.325943
1766148863318606896,-0.521,2.5,-3.323761
1766148863631674414,-0.505,2.512,-3.327034
1766148863917476939,-0.483,2.519,-3.327034
1766148864229268458,-0.467,2.532,-3.277947
1766148864521855047,-0.471,2.535,-3.28231
1766148864818271560,-0.515,2.513,-3.304126
1766148865115849484,-0.56,2.481,-3.317216
1766148865417158432,-0.668,2.43,-3.298672
1766148865719000226,-0.654,2.448,0.0
1766148866029038736,-0.6,2.473,-3.265947
1766148866329403151,-0.551,2.497,-3.250676
1766148866617071570,-0.525,2.515,-3.258312
1766148866918421227,-0.504,2.522,-3.259402
1766148867220161169,-0.483,2.531,-3.265947
1766148867521142563,-0.471,2.534,-3.26922
1766148867831638947,-0.439,2.543,-3.267038
1766148868118154793,-0.397,2.559,-3.264857
1766148868421243038,-0.39,2.569,-3.264857
1766148868728731587,-0.382,2.573,-3.264857
1766148869029582882,-0.37,2.588,-3.260493
1766148869315828047,-0.427,2.56,-3.257221
1766148869617683471,-0.425,2.567,-3.25613
1766148869928145981,-0.42,2.56,-3.255039
1766148870229641558,-0.405,2.573,-3.255039
1766148870522795361,-0.38,2.591,-3.25613
1766148870837674772,-0.38,2.586,-3.25613
1766148871132228492,-0.394,2.575,-3.226677
1766148871421675311,-0.438,2.557,-3.096869
1766148871718168729,-0.261,2.691,-3.135048
1766148872020161725,-0.276,2.664,-3.305217
1766148872317798966,-0.274,2.643,-3.383757
1766148872617912211,-0.237,2.627,-3.353214
1766148872920511071,-0.234,2.608,-3.335761
1766148873227159266,-0.228,2.584,-3.336851
1766148873518356282,-0.24,2.563,-3.335761
1766148873827308223,-0.239,2.553,-3.335761
1766148874119644698,-0.244,2.541,-3.33467
1766148874420840597,-0.253,2.525,-3.33467
1766148874719951093,-0.26,2.518,-3.332488
1766148875018286902,-0.273,2.505,-3.331397
1766148875318155889,-0.283,2.497,-3.331397
1766148875619934701,-0.288,2.496,-3.331397
1766148875930090852,-0.294,2.493,-3.330306
1766148876220173590,-0.299,2.497,-3.330306
1766148876527569859,-0.306,2.506,-3.330306
1766148876818971585,-0.307,2.508,-3.330306
1766148877127601937,-0.305,2.509,-3.330306
1766148877419382727,-0.312,2.52,-3.330306
1766148877718398552,-0.313,2.519,-3.330306
1766148878013944403,-0.314,2.521,-3.330306
1766148878320577749,-0.308,2.528,-3.330306
1766148878618699503,-0.304,2.529,-3.330306
1766148878921807592,-0.302,2.529,-3.330306
1766148879221178687,-0.299,2.523,-3.331397
1766148879531791603,-0.304,2.531,-3.331397
1766148879830616052,-0.311,2.528,-3.331397
1766148880118470065,-0.314,2.529,-3.331397
1766148880421986775,-0.309,2.521,-3.331397
1766148880717825156,-0.293,2.519,-3.331397
1766148881019700248,-0.291,2.523,-3.330306
1766148881328726579,-0.283,2.522,-3.328125
1766148881620520386,-0.289,2.527,-3.330306
1766148881930160660,-0.29,2.524,-3.329216
1766148882216343492,-0.286,2.523,-3.329216
1766148882531602038,-0.282,2.527,-3.329216
1766148882816356190,-0.299,2.531,-3.329216
1766148883120585577,-0.303,2.535,-3.329216
1766148883429226359,-0.309,2.541,-3.328125
1766148883717411472,-0.31,2.547,-3.328125
1766148884030596553,-0.304,2.545,-3.328125
1766148884319811003,-0.315,2.533,-3.328125
1766148884619751720,-0.309,2.527,-3.328125
1766148884916671482,-0.303,2.524,-3.328125
1766148885219580633,-0.301,2.524,-3.328125
1766148885520878694,-0.3,2.522,-3.328125
1766148885816997823,-0.312,2.518,-3.327034
1766148886116978542,-0.305,2.529,-3.327034
1766148886417284181,-0.309,2.527,-3.328125
1766148886717184833,-0.316,2.512,-3.328125
1766148887031843067,-0.3,2.534,-3.328125
1766148887315658374,-0.281,2.549,-3.328125
1766148887633486885,-0.414,2.396,-3.327034
1766148887923825238,-0.384,2.419,-3.327034
1766148888222807191,-0.361,2.447,-3.327034
1766148888519262274,-0.346,2.468,-3.325943
1766148888830844955,-0.329,2.484,-3.325943
1766148889119727503,-0.302,2.499,-3.325943
1766148889417225227,-0.294,2.515,-3.325943
1766148889732363936,-0.279,2.539,-3.325943
1766148890019550817,-0.27,2.554,-3.325943
1766148890321388943,-0.265,2.56,-3.327034
1766148890618367473,-0.267,2.558,-3.325943
1766148890919566323,-0.274,2.553,-3.325943
1766148891216566872,-0.278,2.556,-3.325943
1766148891517714852,-0.276,2.559,-3.325943
1766148891820278039,-0.281,2.57,-3.325943
1766148892117089999,-0.289,2.574,-3.325943
1766148892429249598,-0.292,2.581,-3.325943
1766148892721494340,-0.3,2.586,-3.325943
1766148893031240626,-0.303,2.589,-3.325943
1766148893330572309,-0.306,2.585,-3.328125
1766148893616629412,-0.308,2.585,-3.328125
