timestamp,values
1766149345980609755,"[283.359375, 355.341796875]"
1766149346280048841,"[283.359375, 355.341796875]"
1766149346580588202,"[283.359375, 355.341796875]"
1766149346880474935,"[283.359375, 355.341796875]"
1766149347180192342,"[283.359375, 355.341796875]"
1766149347482175881,"[283.359375, 355.341796875]"
1766149347781214315,"[283.359375, 355.341796875]"
1766149348082128861,"[283.359375, 355.341796875]"
1766149348382237191,"[283.359375, 355.341796875]"
1766149348681772591,"[283.359375, 355.341796875]"
1766149348981550712,"[283.359375, 355.341796875]"
1766149349280883536,"[283.359375, 355.341796875]"
1766149349580298205,"[283.359375, 355.341796875]"
1766149349880883955,"[283.359375, 355.341796875]"
1766149350182772981,"[283.359375, 355.341796875]"
1766149350480704773,"[283.359375, 355.341796875]"
1766149350780986807,"[283.359375, 355.341796875]"
1766149351080212948,"[283.359375, 355.341796875]"
1766149351380858574,"[283.359375, 355.341796875]"
1766149351680910113,"[283.359375, 355.341796875]"
1766149351980382669,"[283.359375, 355.341796875]"
1766149352280980533,"[283.359375, 355.341796875]"
1766149352580922327,"[283.359375, 355.341796875]"
1766149352880159690,"[283.359375, 355.341796875]"
1766149353180892006,"[283.359375, 355.341796875]"
1766149353481327368,"[283.359375, 355.341796875]"
1766149353780375751,"[283.359375, 355.341796875]"
1766149354080075410,"[283.359375, 355.341796875]"
1766149354382173037,"[283.359375, 355.341796875]"
1766149354680237869,"[283.359375, 355.341796875]"
1766149354982063330,"[283.359375, 355.341796875]"
1766149355281998094,"[283.359375, 355.341796875]"
1766149355581162811,"[283.359375, 355.341796875]"
1766149355881113869,"[283.359375, 355.341796875]"
1766149356181502108,"[283.359375, 355.341796875]"
1766149356481995581,"[283.359375, 355.341796875]"
1766149356780124061,"[283.359375, 355.341796875]"
1766149357081199601,"[283.359375, 355.341796875]"
1766149357382442349,"[283.359375, 355.341796875]"
1766149357681219611,"[283.359375, 355.341796875]"
1766149357981154456,"[283.359375, 355.341796875]"
1766149358280772521,"[283.359375, 355.341796875]"
1766149358580667086,"[283.359375, 355.341796875]"
1766149358882075015,"[283.359375, 355.341796875]"
1766149359181277606,"[283.359375, 355.341796875]"
1766149359480170750,"[283.359375, 355.341796875]"
1766149359780603699,"[283.359375, 355.341796875]"
1766149360080120480,"[283.359375, 355.341796875]"
1766149360381732831,"[283.359375, 355.341796875]"
1766149360680770267,"[283.359375, 355.341796875]"
1766149360980697425,"[283.359375, 355.341796875]"
1766149361281564961,"[283.359375, 355.341796875]"
1766149361581496181,"[283.359375, 355.341796875]"
1766149361880370732,"[283.359375, 355.341796875]"
1766149362181757491,"[283.359375, 355.341796875]"
1766149362481036255,"[283.359375, 355.341796875]"
1766149362782060925,"[283.359375, 355.341796875]"
1766149363082235112,"[283.359375, 355.341796875]"
1766149363383249202,"[283.359375, 355.341796875]"
1766149363682009583,"[283.359375, 355.341796875]"
1766149363982156050,"[283.359375, 355.341796875]"
1766149364282642328,"[283.359375, 355.341796875]"
1766149364581757053,"[283.359375, 355.341796875]"
1766149364881503526,"[283.359375, 355.341796875]"
1766149365181598875,"[283.359375, 355.341796875]"
1766149365482748161,"[283.359375, 355.341796875]"
1766149365781557517,"[283.359375, 355.341796875]"
1766149366080711349,"[283.359375, 355.341796875]"
1766149366380805415,"[283.359375, 355.341796875]"
1766149366680883310,"[283.359375, 355.341796875]"
1766149366980690174,"[283.359375, 355.341796875]"
1766149367281330015,"[283.359375, 355.341796875]"
1766149367582145726,"[283.359375, 355.341796875]"
1766149367880543307,"[283.359375, 355.341796875]"
1766149368184420679,"[283.359375, 355.341796875]"
1766149368481828082,"[283.359375, 355.341796875]"
1766149368783611507,"[283.359375, 355.341796875]"
1766149369082308622,"[283.359375, 355.341796875]"
1766149369383310427,"[283.359375, 355.341796875]"
1766149369681702359,"[283.359375, 355.341796875]"
1766149369981607488,"[283.359375, 355.341796875]"
1766149370281800322,"[283.359375, 355.341796875]"
1766149370582073919,"[283.359375, 355.341796875]"
1766149370881863082,"[283.359375, 355.341796875]"
1766149371181436601,"[283.359375, 355.341796875]"
