timestamp,x,y,theta
1766149346047547087,2.78,0.903,-2.793618
1766149346322716062,2.58,0.966,-2.621266
1766149346626562709,2.417,0.932,-2.32456
1766149346927459926,2.251,0.999,-2.151118
1766149347225240694,2.145,1.093,-2.327833
1766149347526437259,2.019,1.157,-2.500184
1766149347826491587,1.863,1.244,-2.580906
1766149348141968404,1.684,1.33,-2.531818
1766149348421203904,1.534,1.372,0.0
1766149348715078154,1.404,1.367,0.0
1766149349027333108,1.244,1.405,-2.680171
1766149349316383665,1.11,1.404,-2.729259
1766149349624982849,0.933,1.458,-2.70526
1766149349926346343,0.724,1.501,-2.63872
1766149350214491636,0.513,1.522,0.0
1766149350514225350,0.336,1.559,-2.734713
1766149350813799792,0.181,1.583,0.0
1766149351125946630,0.026,1.593,-2.504547
1766149351429578192,-0.099,1.611,-2.45546
1766149351729128653,-0.221,1.636,-2.445643
1766149352017733639,-0.357,1.691,-2.423826
1766149352325147861,-0.489,1.756,-2.306016
1766149352628573634,-0.714,1.888,-2.202387
1766149352914951573,-0.939,1.897,-2.249293
1766149353217726156,-1.065,1.934,-2.210023
1766149353524536285,-1.353,2.016,-2.085668
1766149353816981955,-1.45,2.132,-1.834777
1766149354120388352,-1.509,2.355,-1.474803
1766149354427930960,-1.513,2.601,-1.15519
1766149354726861426,-1.443,2.826,-1.08974
1766149355046495297,-1.379,3.165,-1.003564
1766149355315933427,-1.246,3.523,-0.7614
1766149355627212743,-1.078,3.875,-0.664316
1766149355920284648,-0.9,4.222,-0.798488
1766149356214928260,-0.549,4.852,-0.745037
1766149356517109770,-0.328,5.15,-0.418879
1766149356830226739,-0.051,5.394,-0.365428
1766149357127810778,0.251,5.617,-0.398153
1766149357430796242,0.618,5.946,-0.311978
1766149357727593684,0.927,6.085,-0.029452
1766149358027866996,1.368,6.326,-0.095993
1766149358326306657,1.76,6.42,-0.058905
1766149358613458640,2.126,6.415,0.284707
1766149358926938711,2.516,6.349,0.560687
1766149359216341677,2.898,6.225,0.579231
1766149359530839618,3.266,6.073,0.666498
1766149359815634548,3.617,5.881,-5.397431
1766149360114898608,3.964,5.623,0.0
1766149360428287346,4.387,5.373,-5.283984
1766149360729224757,4.632,5.06,-5.229443
1766149361014608634,4.819,4.731,-4.970916
1766149361327774909,4.952,4.403,-4.783293
1766149361627093781,5.046,4.073,-4.833471
1766149361930527600,5.123,3.743,-4.777839
1766149362216244352,5.152,3.406,-4.612033
1766149362529294041,5.145,3.076,-4.509494
1766149362827528372,5.106,2.761,-4.594579
1766149363116572126,5.039,2.484,-4.625123
1766149363428706689,4.93,2.2,-4.47677
1766149363717027415,4.852,1.943,-4.28042
1766149364028724792,4.746,1.721,-4.255331
1766149364327882806,4.626,1.504,-4.396048
1766149364626015166,4.513,1.322,-4.414592
1766149364916156396,4.372,1.098,-4.336052
1766149365247931851,4.258,0.918,-4.226969
1766149365528399219,4.155,0.797,-4.066617
1766149365827722416,4.066,0.69,-4.18879
1766149366129839497,3.99,0.583,-4.315327
1766149366428186075,3.91,0.493,-4.334962
1766149366728510888,3.804,0.415,-4.08407
1766149367029085661,3.63,0.414,-3.827725
1766149367328083217,3.472,0.283,-3.644466
1766149367617888130,3.401,0.277,-3.47975
1766149367929652302,3.21,0.043,-3.397938
1766149368232337261,3.191,0.073,-3.402301
1766149368528784365,3.193,0.122,-3.445934
1766149368816813180,3.213,0.177,-3.45357
1766149369118763442,3.235,0.245,-3.433935
1766149369414576166,3.218,0.24,-3.438299
1766149369729581309,3.247,0.309,-3.436117
1766149370026412765,3.284,0.368,-3.416482
1766149370325695218,3.312,0.418,-3.389211
1766149370618275051,3.346,0.481,-3.395756
1766149370928703541,3.356,0.531,-3.40012
1766149371213520254,3.32,0.5,-3.383757
