timestamp,values
1766150038682998958,"[284.150390625, 284.326171875]"
1766150038983906761,"[284.150390625, 284.326171875]"
1766150039285335266,"[284.150390625, 284.326171875]"
1766150039582455128,"[284.150390625, 284.326171875]"
1766150039884009347,"[284.150390625, 284.326171875]"
1766150040182696757,"[284.150390625, 284.326171875]"
1766150040482045344,"[284.150390625, 284.326171875]"
1766150040782610009,"[284.150390625, 284.326171875]"
1766150041083876763,"[284.150390625, 284.326171875]"
1766150041381668633,"[284.150390625, 284.326171875]"
1766150041686494815,"[284.150390625, 284.326171875]"
1766150041980604451,"[284.150390625, 284.326171875]"
1766150042283573723,"[284.150390625, 284.326171875]"
1766150042587829415,"[284.150390625, 284.326171875]"
1766150042885877656,"[284.150390625, 284.326171875]"
1766150043184563245,"[284.150390625, 284.326171875]"
1766150043485235960,"[284.150390625, 284.326171875]"
1766150043782897679,"[284.150390625, 284.326171875]"
1766150044083450929,"[284.150390625, 284.326171875]"
1766150044387811506,"[284.150390625, 284.326171875]"
1766150044684125457,"[284.150390625, 284.326171875]"
1766150044982612251,"[284.150390625, 284.326171875]"
1766150045285023859,"[284.150390625, 284.326171875]"
1766150045582992793,"[284.150390625, 284.326171875]"
1766150045882877441,"[284.150390625, 284.326171875]"
1766150046180843311,"[284.150390625, 284.326171875]"
1766150046485278931,"[284.150390625, 284.326171875]"
1766150046786334336,"[284.150390625, 284.326171875]"
1766150047084271738,"[284.150390625, 284.326171875]"
1766150047386674548,"[284.150390625, 284.326171875]"
1766150047685650368,"[284.150390625, 284.326171875]"
1766150047983058970,"[284.150390625, 284.326171875]"
1766150048281188671,"[284.150390625, 284.326171875]"
1766150048583578608,"[284.150390625, 284.326171875]"
1766150048882735075,"[284.150390625, 284.326171875]"
1766150049183822591,"[284.150390625, 284.326171875]"
1766150049485436276,"[284.150390625, 284.326171875]"
1766150049784173749,"[284.150390625, 284.326171875]"
1766150050082202500,"[284.150390625, 284.326171875]"
1766150050383455887,"[284.150390625, 284.326171875]"
1766150050682326489,"[284.150390625, 284.326171875]"
1766150050983770204,"[284.150390625, 284.326171875]"
1766150051283318544,"[284.150390625, 284.326171875]"
1766150051583895404,"[284.150390625, 284.4140625]"
1766150051887057298,"[284.150390625, 284.326171875]"
1766150052183688506,"[284.150390625, 284.326171875]"
1766150052483066372,"[284.150390625, 284.326171875]"
1766150052783515758,"[284.150390625, 284.326171875]"
1766150053083361918,"[284.150390625, 284.326171875]"
1766150053385413073,"[284.150390625, 284.326171875]"
1766150053686031047,"[284.150390625, 284.326171875]"
1766150053986387854,"[284.150390625, 284.326171875]"
1766150054281571181,"[284.150390625, 284.326171875]"
1766150054583646605,"[284.150390625, 284.326171875]"
1766150054881583097,"[284.150390625, 284.326171875]"
1766150055185019165,"[284.150390625, 284.326171875]"
1766150055482980771,"[284.150390625, 284.326171875]"
1766150055785980962,"[284.150390625, 284.326171875]"
1766150056084362710,"[284.150390625, 284.326171875]"
1766150056382539135,"[284.150390625, 284.326171875]"
1766150056683310555,"[284.150390625, 284.326171875]"
1766150056986018140,"[284.150390625, 284.326171875]"
1766150057284070576,"[284.150390625, 284.326171875]"
1766150057585784776,"[284.150390625, 284.326171875]"
1766150057889655586,"[284.150390625, 284.326171875]"
