timestamp,x,y,theta
1766150038475292909,1.341,3.727,-4.4255
1766150038719910630,0.886,3.172,-4.458225
1766150039022950982,0.817,2.893,-4.355687
1766150039322750948,0.729,2.63,-4.38514
1766150039621720514,0.676,2.418,-4.328417
1766150039921230872,0.643,2.254,-4.392776
1766150040221804002,0.623,2.136,-4.337143
1766150040516210532,0.616,2.047,-4.42441
1766150040820699507,0.626,1.991,-4.542219
1766150041122465593,0.67,1.951,-4.643667
1766150041417160873,0.73,1.892,-4.328417
1766150041724925881,0.828,1.78,-4.368777
1766150042015826866,0.961,1.688,-4.879286
1766150042321360121,1.065,1.558,0.0
1766150042618638972,1.241,1.305,-5.190173
1766150042934797636,1.4,1.129,-5.311255
1766150043225288711,1.668,0.914,0.659953
1766150043524536366,1.95,0.715,0.508327
1766150043835085837,2.325,0.619,0.290161
1766150044116840327,2.63,0.502,0.402517
1766150044420725970,2.949,0.447,0.481056
1766150044723079225,3.268,0.424,-5.507605
1766150045018818846,3.633,0.393,0.715585
1766150045319629544,3.955,0.381,-5.166175
1766150045620390418,4.23,0.382,-4.567308
1766150045918467500,4.258,0.176,-3.828816
1766150046219608249,4.397,0.279,-3.317216
1766150046522466747,4.494,0.447,-3.028146
1766150046822197745,4.554,0.598,-3.166682
1766150047136564066,4.512,0.627,-3.795
1766150047410563656,4.458,0.653,-4.033892
1766150047707992599,4.371,0.694,-4.013166
1766150048021042009,4.292,0.647,-4.009894
1766150048319682713,4.13,0.609,-4.048073
1766150048622030763,3.984,0.696,-4.176791
1766150048922381692,3.804,0.794,-4.268421
1766150049222051567,3.673,0.864,-4.252058
1766150049520500128,3.541,0.921,-4.197517
1766150049814797158,3.508,1.039,-4.197517
1766150050132802077,3.447,1.088,-4.242241
1766150050408473354,3.414,1.135,-4.244423
1766150050708368393,3.394,1.177,-4.240059
1766150051007293753,3.411,1.238,-4.235696
1766150051317297791,3.437,1.262,-4.250968
1766150051613113799,3.45,1.289,-4.240059
1766150051922845582,3.459,1.298,-4.238968
1766150052218074067,3.484,1.194,-4.217152
1766150052521518088,3.499,1.124,-4.117886
1766150052834442931,3.527,1.018,-3.966261
1766150053119873941,3.494,1.0,-3.842997
1766150053432197767,3.474,0.996,-3.720824
1766150053735684424,3.441,1.019,-3.732823
1766150054029765300,3.438,0.971,-3.830998
1766150054316382493,3.458,0.892,-3.91281
1766150054620794653,3.506,0.82,-3.885539
1766150054921800225,3.493,0.815,-3.892084
1766150055223636550,3.509,0.816,-3.937899
1766150055515157697,3.528,0.789,-4.038256
1766150055820141434,3.571,0.801,-4.153884
1766150056120876117,3.536,0.882,-4.334962
1766150056438073332,3.501,0.922,-4.296782
1766150056722249812,3.478,0.965,-4.168064
1766150057031997216,3.489,0.946,-3.567017
1766150057318474538,3.477,0.981,-3.221223
1766150057617757265,3.465,1.023,-3.404483
1766150057920610006,3.451,1.057,-3.236495
