timestamp,values
1766149792380781392,"[284.150390625, 284.326171875]"
1766149792817302490,"[284.150390625, 284.326171875]"
1766149792981401110,"[284.150390625, 284.326171875]"
1766149793281552932,"[284.150390625, 284.326171875]"
1766149793582487273,"[284.150390625, 284.326171875]"
1766149793882877381,"[284.150390625, 284.326171875]"
1766149794181863731,"[284.150390625, 284.326171875]"
1766149794482158565,"[284.150390625, 284.326171875]"
1766149794782055644,"[284.150390625, 284.326171875]"
1766149795081270733,"[284.150390625, 284.326171875]"
1766149795381331471,"[284.150390625, 284.326171875]"
1766149795680975787,"[284.150390625, 284.326171875]"
1766149795981797389,"[284.150390625, 284.326171875]"
1766149796282722783,"[284.150390625, 284.326171875]"
1766149796581769337,"[284.150390625, 284.326171875]"
1766149796882049605,"[284.150390625, 284.326171875]"
1766149797182690548,"[284.150390625, 284.326171875]"
1766149797480439590,"[284.150390625, 284.326171875]"
1766149797782596646,"[284.150390625, 284.326171875]"
1766149798081322530,"[284.150390625, 284.326171875]"
1766149798382064538,"[284.150390625, 284.326171875]"
1766149798683710537,"[284.150390625, 284.326171875]"
1766149798981761288,"[284.150390625, 284.326171875]"
1766149799280514000,"[284.150390625, 284.326171875]"
1766149799581496954,"[284.150390625, 284.326171875]"
1766149799883596988,"[284.150390625, 284.326171875]"
1766149800183695704,"[284.150390625, 284.326171875]"
1766149800483009035,"[284.150390625, 284.326171875]"
1766149800781222867,"[284.150390625, 284.326171875]"
1766149801081703480,"[284.150390625, 284.326171875]"
1766149801382852141,"[284.150390625, 284.326171875]"
1766149801681482336,"[284.150390625, 284.326171875]"
1766149801982448570,"[284.150390625, 284.326171875]"
1766149802283025753,"[284.150390625, 284.326171875]"
1766149802582867492,"[284.150390625, 284.326171875]"
1766149802881288327,"[284.150390625, 284.326171875]"
1766149803182290942,"[284.150390625, 284.326171875]"
1766149803482206337,"[284.150390625, 284.326171875]"
1766149803782690958,"[284.150390625, 284.326171875]"
1766149804083093599,"[284.150390625, 284.326171875]"
1766149804382568276,"[284.150390625, 284.326171875]"
1766149804682318537,"[284.150390625, 284.326171875]"
1766149804982656353,"[284.150390625, 284.326171875]"
1766149805284135910,"[284.150390625, 284.326171875]"
1766149805583408579,"[284.150390625, 284.326171875]"
1766149805882704194,"[284.150390625, 284.326171875]"
1766149806182081902,"[284.150390625, 284.326171875]"
1766149806482996047,"[284.150390625, 284.326171875]"
1766149806782865128,"[284.150390625, 284.326171875]"
1766149807082538845,"[284.150390625, 284.326171875]"
1766149807382103236,"[284.150390625, 284.326171875]"
