timestamp,x,y,theta
1766149793027909601,0.442,2.839,0.256345
1766149793317093863,0.447,2.842,0.257436
1766149793629731863,0.443,2.838,0.255254
1766149793920244413,0.443,2.839,0.254164
1766149794217900691,0.44,2.835,0.254164
1766149794516529032,0.441,2.828,0.247619
1766149794825943177,0.435,2.825,0.246528
1766149795130832326,0.439,2.824,0.2498
1766149795417940033,0.45,2.831,0.254164
1766149795729867173,0.455,2.837,0.255254
1766149796020573521,0.463,2.846,0.254164
1766149796316644426,0.47,2.855,0.253073
1766149796618763080,0.476,2.854,0.253073
1766149796931022944,0.473,2.863,0.253073
1766149797218791397,0.464,2.867,0.251982
1766149797516921109,0.474,2.888,0.251982
1766149797819818459,0.475,2.878,0.254164
1766149798132581209,0.541,2.909,0.254164
1766149798417230126,0.536,2.9,0.250891
1766149798716146355,0.507,2.882,0.247619
1766149799017659971,0.502,2.872,0.248709
1766149799329159922,0.484,2.851,0.248709
1766149799629203225,0.498,2.868,0.248709
1766149799918573414,0.489,2.867,0.247619
1766149800229893407,0.486,2.869,0.248709
1766149800517651959,0.459,2.84,0.2498
1766149800829507587,0.452,2.841,0.2498
1766149801127258248,0.441,2.829,0.247619
1766149801426451663,0.429,2.833,0.247619
1766149801725160377,0.425,2.825,0.247619
1766149802030610734,0.429,2.816,0.245437
1766149802330058091,0.431,2.821,0.244346
1766149802616324474,0.469,2.856,0.245437
1766149802914915348,0.47,2.856,0.245437
1766149803218347236,0.486,2.872,0.245437
1766149803532115844,0.536,2.936,0.247619
1766149803827294584,0.522,2.925,0.248709
1766149804125487594,0.502,2.905,0.246528
1766149804426226133,0.485,2.884,0.244346
1766149804714901978,0.48,2.882,0.246528
1766149805027775369,0.484,2.879,0.246528
1766149805319707297,0.485,2.882,0.245437
1766149805620137637,0.485,2.876,0.246528
1766149805920657009,0.486,2.875,0.2498
1766149806230288914,0.486,2.874,0.250891
1766149806528833833,0.482,2.872,0.2498
1766149806817024327,0.497,2.872,0.2498
1766149807120916220,0.492,2.883,0.2498
1766149807430393952,0.491,2.888,0.248709
