timestamp,values
1766149893482838337,"[284.150390625, 284.326171875]"
1766149893781488727,"[284.150390625, 284.326171875]"
1766149894082719540,"[284.150390625, 284.326171875]"
1766149894384405802,"[284.150390625, 284.326171875]"
1766149894682630546,"[284.150390625, 284.326171875]"
1766149894983395017,"[284.150390625, 284.326171875]"
1766149895284979337,"[284.150390625, 284.326171875]"
1766149895584338092,"[284.150390625, 284.326171875]"
1766149895883799608,"[284.150390625, 284.326171875]"
1766149896182993170,"[284.150390625, 284.326171875]"
1766149896483997067,"[284.150390625, 284.326171875]"
1766149896782028051,"[284.150390625, 284.326171875]"
1766149897084060045,"[284.150390625, 284.326171875]"
1766149897382276799,"[284.150390625, 284.326171875]"
1766149897682019640,"[284.150390625, 284.326171875]"
1766149897983830994,"[284.150390625, 284.326171875]"
1766149898281821233,"[284.150390625, 284.326171875]"
1766149898584572215,"[284.150390625, 284.326171875]"
1766149898880720836,"[284.150390625, 284.326171875]"
1766149899180872766,"[284.150390625, 284.326171875]"
1766149899484752968,"[284.150390625, 284.326171875]"
1766149899780660874,"[284.150390625, 284.326171875]"
1766149900083833163,"[284.150390625, 284.326171875]"
1766149900385269819,"[284.150390625, 284.326171875]"
1766149900681442875,"[284.150390625, 284.326171875]"
1766149900982772991,"[284.150390625, 284.326171875]"
1766149901280784118,"[284.150390625, 284.326171875]"
1766149901583531581,"[284.150390625, 284.326171875]"
1766149901882930832,"[284.150390625, 284.326171875]"
1766149902182814634,"[284.150390625, 284.326171875]"
1766149902482036750,"[284.150390625, 284.326171875]"
1766149902782602419,"[284.150390625, 284.326171875]"
1766149903082580155,"[284.150390625, 284.326171875]"
1766149903384444555,"[284.150390625, 284.326171875]"
1766149903681333183,"[284.150390625, 284.326171875]"
1766149903987094934,"[284.150390625, 284.326171875]"
1766149904282141908,"[284.150390625, 284.326171875]"
1766149904583496381,"[284.150390625, 284.326171875]"
1766149904884836862,"[284.150390625, 284.326171875]"
1766149905184100715,"[284.150390625, 284.326171875]"
1766149905481559195,"[284.150390625, 284.326171875]"
1766149905781237506,"[284.150390625, 284.326171875]"
1766149906080819004,"[284.150390625, 284.326171875]"
1766149906383969497,"[284.150390625, 284.326171875]"
1766149906684456535,"[284.150390625, 284.326171875]"
1766149906985124527,"[284.150390625, 284.326171875]"
1766149907282799074,"[284.150390625, 284.326171875]"
1766149907584342077,"[284.150390625, 284.326171875]"
1766149907882067270,"[284.150390625, 284.326171875]"
1766149908183639080,"[284.150390625, 284.326171875]"
1766149908483609912,"[284.150390625, 284.326171875]"
1766149908783271026,"[284.150390625, 284.326171875]"
1766149909083021359,"[284.150390625, 284.326171875]"
1766149909385188591,"[284.150390625, 284.326171875]"
1766149909682886201,"[284.150390625, 284.326171875]"
1766149909983231510,"[284.150390625, 284.326171875]"
1766149910283697691,"[284.150390625, 284.326171875]"
1766149910584138118,"[284.150390625, 284.326171875]"
1766149910880483497,"[284.150390625, 284.326171875]"
1766149911183935950,"[284.150390625, 284.326171875]"
1766149911483988974,"[284.150390625, 284.326171875]"
1766149911784083884,"[284.150390625, 284.326171875]"
1766149912084652102,"[284.150390625, 284.326171875]"
1766149912383295829,"[284.150390625, 284.326171875]"
1766149912684077337,"[284.150390625, 284.326171875]"
1766149912983787996,"[284.150390625, 284.326171875]"
1766149913282822265,"[284.150390625, 284.326171875]"
1766149913581492826,"[284.150390625, 284.326171875]"
1766149913882499873,"[284.150390625, 284.326171875]"
1766149914182551253,"[284.150390625, 284.326171875]"
1766149914485386462,"[284.150390625, 284.326171875]"
1766149914781100735,"[284.150390625, 284.326171875]"
1766149915084116706,"[284.150390625, 284.326171875]"
1766149915380822820,"[284.150390625, 284.326171875]"
1766149915683927563,"[284.150390625, 284.326171875]"
1766149915980315397,"[284.150390625, 284.326171875]"
1766149916280302453,"[284.150390625, 284.326171875]"
1766149916584305327,"[284.150390625, 284.326171875]"
1766149916881551972,"[284.150390625, 284.326171875]"
1766149917182330611,"[284.150390625, 284.326171875]"
1766149917481149548,"[284.150390625, 284.326171875]"
1766149917781153859,"[284.150390625, 284.326171875]"
1766149918084070835,"[284.150390625, 284.326171875]"
1766149918381116265,"[284.150390625, 284.326171875]"
1766149918681404467,"[284.150390625, 284.326171875]"
1766149918986075078,"[284.150390625, 284.326171875]"
