timestamp,x,y,theta
1766149893522697604,3.4,5.068,0.654498
1766149893821107144,3.441,5.043,0.601048
1766149894119035359,3.484,5.018,0.595594
1766149894419434040,3.506,5.007,0.619592
1766149894722142445,3.522,5.001,0.602139
1766149895026995445,3.52,5.008,0.547597
1766149895331106755,3.522,5.009,0.539961
1766149895631497167,3.555,4.99,0.607593
1766149895918355533,3.527,5.006,0.671952
1766149896227922852,3.493,5.038,0.717767
1766149896529982254,3.505,5.028,-5.50215
1766149896829144708,3.467,5.033,-5.301438
1766149897129559898,3.411,4.966,-4.938191
1766149897432485453,3.291,4.947,-4.456044
1766149897721295402,3.151,4.893,-4.138612
1766149898028922397,2.959,4.833,-3.851723
1766149898317891922,2.715,4.685,-3.838634
1766149898619759308,2.453,4.475,-3.823362
1766149898928807834,2.089,4.205,-3.700098
1766149899216438953,1.757,3.984,-3.621558
1766149899522134916,1.407,3.738,-3.529928
1766149899832608783,1.081,3.46,-3.733914
1766149900119178836,0.778,3.157,-3.814635
1766149900418870193,0.334,2.748,-4.008803
1766149900732402856,0.175,2.462,-4.384049
1766149901032163025,0.072,2.15,-4.598943
1766149901319844471,0.008,1.859,-4.619668
1766149901633100222,0.013,1.516,-4.842198
1766149901917848145,0.093,1.192,-5.345071
1766149902228927500,0.24,0.919,0.677406
1766149902516495095,0.485,0.661,-5.532694
1766149902833614424,0.771,0.463,0.703586
1766149903129372904,1.088,0.322,0.631591
1766149903420252112,1.42,0.21,0.584685
1766149903721853859,1.804,0.129,0.556324
1766149904029926844,2.177,0.093,0.536689
1766149904329771651,2.556,0.076,0.3807
1766149904615881861,2.923,0.069,0.357792
1766149904920517187,3.25,0.114,0.352338
1766149905227115000,3.544,0.168,0.416697
1766149905528833333,3.776,0.246,0.554142
1766149905826037473,3.945,0.329,0.423242
1766149906127323774,4.068,0.408,0.355611
1766149906416635504,4.162,0.469,0.362156
1766149906721010275,4.244,0.518,0.314159
1766149907032955881,4.283,0.581,0.022907
1766149907327292150,4.287,0.625,-0.195259
1766149907617648259,4.267,0.674,-0.439605
1766149907931902380,4.23,0.704,-0.436332
1766149908218882223,4.194,0.717,-0.426515
1766149908520370650,4.167,0.698,-0.439605
1766149908827481443,4.145,0.659,-0.45924
1766149909119029238,4.108,0.617,-0.364337
1766149909419861822,4.06,0.605,-0.279253
1766149909727425906,4.021,0.621,-0.151625
1766149910020111790,4.002,0.629,0.050178
1766149910329978774,4.01,0.634,0.19744
1766149910618752998,4.019,0.639,0.0
1766149910920907357,4.022,0.637,0.47233
1766149911219691888,4.024,0.654,0.0
1766149911519035129,4.032,0.657,0.542143
1766149911830385392,4.053,0.642,0.625046
1766149912117178301,4.054,0.633,0.53778
1766149912417382429,4.049,0.632,0.521417
1766149912716275815,4.042,0.628,0.610865
1766149913017450945,4.027,0.614,0.581413
1766149913329378608,4.023,0.598,0.513781
1766149913619764805,4.087,0.607,0.526871
1766149913919945867,4.075,0.596,0.535598
1766149914216842598,4.069,0.577,0.482147
1766149914516922908,4.087,0.592,0.470148
1766149914829649634,4.1,0.603,0.484329
1766149915131294925,4.079,0.607,0.489783
1766149915427072575,4.044,0.614,0.479966
1766149915720274357,4.028,0.608,0.477784
1766149916028834271,4.033,0.623,0.478875
1766149916326552644,4.047,0.631,0.466876
1766149916617713546,4.025,0.616,0.471239
1766149916918288666,4.013,0.615,0.453786
1766149917219985775,3.999,0.624,0.295615
1766149917516434522,4.01,0.666,0.28907
1766149917819466727,4.016,0.784,0.370882
1766149918116444620,4.135,0.955,0.266163
1766149918416123344,4.112,1.132,0.090539
1766149918716814920,4.122,1.376,0.027271
