timestamp,values
1766150245382913341,"[284.150390625, 284.326171875]"
1766150245683601135,"[284.150390625, 284.326171875]"
1766150245993191848,"[284.150390625, 284.326171875]"
1766150246286878793,"[284.150390625, 284.326171875]"
1766150246582938429,"[284.150390625, 284.326171875]"
1766150246883855549,"[284.150390625, 284.326171875]"
1766150247185617465,"[284.150390625, 284.326171875]"
1766150247486519874,"[284.150390625, 284.326171875]"
1766150247782572076,"[284.150390625, 284.326171875]"
1766150248083816976,"[284.150390625, 284.326171875]"
1766150248382221927,"[284.150390625, 284.326171875]"
1766150248682254867,"[284.150390625, 284.326171875]"
1766150248983433388,"[284.150390625, 284.326171875]"
1766150249285685119,"[284.150390625, 284.326171875]"
1766150249583570568,"[284.150390625, 284.326171875]"
1766150249883461952,"[284.150390625, 284.326171875]"
1766150250182530007,"[284.150390625, 284.326171875]"
1766150250483005422,"[284.150390625, 284.326171875]"
1766150250783879779,"[284.150390625, 284.326171875]"
1766150251083123778,"[284.150390625, 284.326171875]"
1766150251383322184,"[284.150390625, 284.326171875]"
1766150251684419592,"[284.150390625, 284.326171875]"
1766150251983116775,"[284.150390625, 284.326171875]"
1766150252285874157,"[284.150390625, 284.326171875]"
1766150252588432714,"[284.150390625, 284.326171875]"
1766150252881855632,"[284.150390625, 284.326171875]"
1766150253182988242,"[284.150390625, 284.326171875]"
1766150253485960395,"[284.150390625, 284.326171875]"
1766150253783958161,"[284.150390625, 284.326171875]"
1766150254082186420,"[284.150390625, 284.326171875]"
1766150254382886327,"[284.150390625, 284.326171875]"
1766150254683626037,"[284.150390625, 284.326171875]"
1766150254983638126,"[284.150390625, 284.326171875]"
1766150255282009308,"[284.150390625, 284.326171875]"
1766150255582627388,"[284.150390625, 284.326171875]"
1766150255884745163,"[284.150390625, 284.326171875]"
1766150256181714596,"[284.150390625, 284.326171875]"
1766150256483320492,"[284.150390625, 284.326171875]"
1766150256782088017,"[284.150390625, 284.326171875]"
1766150257082858739,"[284.150390625, 284.326171875]"
1766150257384297128,"[284.150390625, 284.326171875]"
1766150257682582725,"[284.150390625, 284.326171875]"
1766150257986260569,"[284.150390625, 284.326171875]"
1766150258282349523,"[284.150390625, 284.326171875]"
1766150258586035399,"[284.150390625, 284.326171875]"
1766150258884617893,"[284.150390625, 284.326171875]"
1766150259182076015,"[284.150390625, 284.326171875]"
1766150259488770986,"[284.150390625, 284.326171875]"
1766150259782092844,"[284.150390625, 284.326171875]"
1766150260084079318,"[284.150390625, 284.326171875]"
1766150260382906578,"[284.150390625, 284.326171875]"
1766150260687559396,"[284.150390625, 284.326171875]"
1766150260980979228,"[284.150390625, 284.326171875]"
1766150261283349339,"[284.150390625, 284.326171875]"
1766150261582548403,"[284.150390625, 284.326171875]"
1766150261884800912,"[284.150390625, 284.326171875]"
1766150262185088783,"[284.150390625, 284.326171875]"
1766150262483811805,"[284.150390625, 284.326171875]"
1766150262781898013,"[284.150390625, 284.326171875]"
1766150263082368288,"[284.150390625, 284.326171875]"
1766150263382473513,"[284.150390625, 284.326171875]"
1766150263684596215,"[284.150390625, 284.326171875]"
1766150263982077138,"[284.150390625, 284.326171875]"
1766150264286940195,"[284.150390625, 284.326171875]"
1766150264583629552,"[284.150390625, 284.326171875]"
1766150264883929269,"[284.150390625, 284.326171875]"
1766150265182881912,"[284.150390625, 284.326171875]"
1766150265481362474,"[284.150390625, 284.326171875]"
