timestamp,x,y,theta
1766150245170149759,3.217,1.382,-2.627811
1766150245425388804,3.155,1.375,-2.556907
1766150245725161312,3.065,1.372,-2.535091
1766150246024705964,2.928,1.383,-2.572179
1766150246321416230,2.807,1.371,-2.633266
1766150246634670261,2.668,1.358,-2.720532
1766150246923004775,2.532,1.348,-2.696534
1766150247225559040,2.401,1.303,-2.751075
1766150247524435864,2.301,1.228,-2.784891
1766150247825732032,2.221,1.165,-2.713987
1766150248137647909,2.161,1.134,-2.69217
1766150248426383524,2.112,1.12,-2.62563
1766150248723369316,2.103,1.114,-2.643083
1766150249028328913,2.066,1.094,-2.657264
1766150249326242869,1.974,1.066,-2.637629
1766150249625481706,1.842,1.047,-2.69217
1766150249925719087,1.604,1.12,-2.657264
1766150250223493426,1.302,1.126,-2.713987
1766150250522420178,0.964,1.143,-2.732531
1766150250822659586,0.582,1.169,-2.695443
1766150251126275491,0.186,1.226,-2.592905
1766150251425595394,-0.216,1.313,-2.491458
1766150251722573812,-0.661,1.407,-2.452188
1766150252023041890,-1.085,1.54,-2.20566
1766150252327086026,-1.363,1.693,-1.923135
1766150252624988127,-1.662,1.916,-2.136938
1766150252922356049,-1.89,2.174,-2.356194
1766150253218815239,-2.106,2.442,-2.37692
1766150253524841675,-2.247,2.69,-2.439098
1766150253825135979,-2.378,2.926,-2.418372
1766150254123336880,-2.491,3.119,-2.571088
1766150254422072156,-2.598,3.285,-2.421644
1766150254722145546,-2.62,3.384,-2.290745
1766150255022252706,-2.625,3.443,-2.264565
1766150255324948488,-2.605,3.483,-2.256929
1766150255620204670,-2.564,3.497,-2.234021
1766150255921965230,-2.515,3.479,-2.251475
1766150256215729782,-2.476,3.456,-2.247111
1766150256522303657,-2.459,3.452,-2.211114
1766150256824919923,-2.496,3.474,-2.182752
1766150257121611666,-2.487,3.463,-2.189297
1766150257423568114,-2.434,3.43,-2.20566
1766150257725024541,-2.379,3.395,-2.223113
1766150258022867438,-2.323,3.355,-2.203478
1766150258326873801,-2.24,3.3,-2.212205
1766150258626685987,-2.244,3.286,-2.201297
1766150258923370784,-2.213,3.262,-2.254747
1766150259224593645,-2.227,3.268,-2.206751
1766150259523295900,-2.197,3.259,-2.102031
1766150259823287136,-2.188,3.268,0.0
1766150260142548602,-2.135,3.259,-2.515456
1766150260424074256,-2.216,3.307,-2.601631
1766150260725521223,-2.248,3.335,-2.67799
1766150261022481288,-2.261,3.358,-2.742349
1766150261328761099,-2.299,3.368,-2.687807
1766150261622650254,-2.367,3.409,-2.685625
1766150261934618757,-2.368,3.429,-2.6649
1766150262221340997,-2.428,3.474,-2.52091
1766150262535150862,-2.467,3.505,-2.661627
1766150262822270854,-2.41,3.464,-3.287764
1766150263119869159,-2.363,3.426,-3.512475
1766150263404445299,-2.322,3.391,-3.680463
1766150263718800614,-2.32,3.37,-3.793909
1766150264009815171,-2.266,3.353,-3.896448
1766150264325266868,-2.33,3.335,-3.880085
1766150264622776234,-2.207,3.288,-3.970624
1766150264920000740,-2.192,3.307,-3.91281
1766150265222193604,-2.177,3.292,-3.949898
1766150265522473715,-2.188,3.282,-4.033892
