timestamp,values
1766149561382420360,"[0.0, 355.341796875]"
1766149561683285267,"[0.0, 355.341796875]"
1766149561984213814,"[0.0, 355.341796875]"
1766149562282792425,"[0.0, 355.341796875]"
1766149562581236196,"[0.0, 355.341796875]"
1766149562882406590,"[0.0, 355.341796875]"
1766149563182122457,"[0.0, 355.341796875]"
1766149563482171380,"[0.0, 355.341796875]"
1766149563784539011,"[0.0, 355.341796875]"
1766149564082471613,"[0.0, 355.341796875]"
1766149564382297285,"[0.0, 355.341796875]"
1766149564682316268,"[0.0, 355.341796875]"
1766149564982565628,"[0.0, 355.341796875]"
1766149565281075229,"[0.0, 355.341796875]"
1766149565583013872,"[0.0, 355.341796875]"
1766149565882054680,"[0.0, 355.341796875]"
1766149566181547460,"[0.0, 355.341796875]"
1766149566482064098,"[0.0, 355.341796875]"
1766149566781980048,"[0.0, 355.341796875]"
1766149567082436776,"[0.0, 355.341796875]"
1766149567383169649,"[0.0, 355.341796875]"
1766149567680876599,"[0.0, 355.341796875]"
1766149567982420035,"[0.0, 355.341796875]"
1766149568282531656,"[0.0, 355.341796875]"
1766149568582451724,"[0.0, 355.341796875]"
1766149568882220580,"[0.0, 355.341796875]"
1766149569183239625,"[359.560546875, 355.341796875]"
1766149569483922447,"[359.384765625, 355.341796875]"
1766149569780843451,"[359.560546875, 355.341796875]"
1766149570081923466,"[359.560546875, 355.341796875]"
1766149570386911793,"[359.560546875, 355.341796875]"
1766149570682100484,"[359.560546875, 355.341796875]"
1766149570985274746,"[359.560546875, 355.341796875]"
1766149571281584985,"[359.47265625, 355.341796875]"
1766149571579832890,"[359.560546875, 355.341796875]"
1766149571880170472,"[0.087890625, 355.341796875]"
1766149572185039935,"[0.087890625, 355.341796875]"
1766149572479880626,"[0.087890625, 355.341796875]"
1766149572780575662,"[0.3515625, 355.341796875]"
1766149573080556064,"[0.3515625, 355.341796875]"
1766149573380259339,"[0.3515625, 355.341796875]"
1766149573680012971,"[0.3515625, 355.341796875]"
1766149573981815629,"[0.3515625, 355.341796875]"
1766149574280555147,"[0.439453125, 355.341796875]"
1766149574582642833,"[0.3515625, 355.341796875]"
1766149574880308698,"[0.439453125, 355.341796875]"
1766149575179980144,"[0.439453125, 355.341796875]"
1766149575481512808,"[0.439453125, 355.341796875]"
1766149575779854724,"[0.439453125, 355.341796875]"
1766149576080046658,"[0.439453125, 355.341796875]"
1766149576380299551,"[0.439453125, 355.341796875]"
1766149576680025231,"[0.52734375, 355.341796875]"
1766149576979832196,"[0.52734375, 355.341796875]"
1766149577279907965,"[0.52734375, 355.341796875]"
1766149577580004833,"[0.52734375, 355.341796875]"
1766149577881543288,"[0.52734375, 355.341796875]"
1766149578179940147,"[0.615234375, 355.341796875]"
1766149578480001743,"[0.615234375, 355.341796875]"
1766149578779849228,"[0.615234375, 355.341796875]"
1766149579079825024,"[0.615234375, 355.341796875]"
1766149579379887999,"[0.615234375, 355.341796875]"
1766149579679920911,"[0.615234375, 355.341796875]"
1766149579979921407,"[0.615234375, 355.341796875]"
1766149580279974520,"[0.615234375, 0.3515625]"
1766149580579880013,"[0.615234375, 359.736328125]"
1766149580879853458,"[0.615234375, 0.087890625]"
1766149581179908211,"[0.615234375, 0.087890625]"
1766149581479872405,"[0.615234375, 0.087890625]"
1766149581780141482,"[0.615234375, 0.0]"
