timestamp,x,y,theta
1766149558424022440,1.661,2.241,-2.868885
1766149558724857092,1.667,2.226,-2.871067
1766149559023932718,1.67,2.213,-2.874339
1766149559339198265,1.635,2.255,-2.876521
1766149559623949374,1.609,2.309,-2.87543
1766149559922032919,1.583,2.344,-2.880884
1766149560220347488,1.544,2.376,-2.883066
1766149560521901099,1.528,2.405,-2.883066
1766149560826384128,1.5,2.431,-2.879793
1766149561128839115,1.49,2.454,-2.876521
1766149561420244294,1.491,2.46,-2.877612
1766149561723788862,1.481,2.483,-2.879793
1766149562024364269,1.486,2.487,-2.881975
1766149562319581278,1.545,2.396,-2.881975
1766149562625055680,1.565,2.375,-2.884157
1766149562922478177,1.551,2.388,-2.884157
1766149563229061540,1.55,2.386,-2.880884
1766149563523304537,1.555,2.386,-2.880884
1766149563824511632,1.553,2.404,-2.883066
1766149564128341880,1.558,2.41,-2.885247
1766149564423554996,1.544,2.426,0.0
1766149564712580457,1.553,2.419,-2.885247
1766149565020658685,1.581,2.369,-2.884157
1766149565318579640,1.568,2.384,-2.880884
1766149565622852382,1.61,2.303,-2.883066
1766149565919705684,1.606,2.318,-2.885247
1766149566221523041,1.648,2.254,-2.88852
1766149566524998843,1.683,2.203,-2.88852
1766149566824196818,1.709,2.152,-2.887429
1766149567127176867,1.689,2.187,-2.886338
1766149567424467799,1.674,2.209,-2.884157
1766149567726695843,1.656,2.246,-2.883066
1766149568017469162,1.642,2.263,-2.886338
1766149568334978267,1.627,2.284,-2.889611
1766149568625121267,1.599,2.269,-2.890702
1766149568924915864,1.62,2.264,-2.890702
1766149569226550408,1.641,2.235,-2.891792
1766149569523293089,1.68,2.193,-2.891792
1766149569825803117,1.67,2.217,-2.889611
1766149570121734895,1.647,2.255,-2.887429
1766149570424761100,1.629,2.293,-2.890702
1766149570719393974,1.61,2.319,-2.892883
1766149571026435494,1.594,2.337,-2.893974
1766149571325176133,1.579,2.352,-2.895065
1766149571625662137,1.573,2.368,-2.893974
1766149571922006031,1.57,2.384,-2.891792
1766149572228687061,1.563,2.4,-2.889611
1766149572527000739,1.557,2.402,-2.889611
1766149572819877353,1.558,2.428,-2.892883
1766149573125246837,1.543,2.445,-2.892883
1766149573436055829,1.545,2.446,-2.891792
1766149573721846629,1.549,2.426,-2.891792
1766149574025198791,1.559,2.402,-2.890702
1766149574322470620,1.564,2.404,-2.88852
1766149574620845918,1.572,2.395,-2.889611
1766149574941558050,1.571,2.392,-2.891792
1766149575213637208,1.572,2.393,-2.892883
1766149575538841125,1.58,2.389,-2.893974
1766149575823849287,1.591,2.37,-2.893974
1766149576124762299,1.586,2.395,-2.892883
1766149576422853640,1.573,2.407,-2.890702
1766149576722461962,1.58,2.409,-2.887429
1766149577018018015,1.579,2.401,-2.88852
1766149577323586058,1.588,2.386,-2.889611
1766149577627246291,1.582,2.368,-2.892883
1766149577925813600,1.581,2.364,-2.892883
1766149578223462777,1.584,2.364,-2.892883
1766149578527520455,1.587,2.377,-2.895065
1766149578821861849,1.59,2.379,-2.892883
1766149579127519893,1.588,2.386,-2.892883
1766149579423503874,1.587,2.384,-2.893974
1766149579726323011,1.586,2.382,-2.895065
1766149580038091218,1.588,2.378,-2.896156
1766149580327583813,1.582,2.375,-2.897247
1766149580620133804,1.575,2.374,-2.898337
1766149580921692965,1.573,2.385,-2.896156
1766149581229109811,1.571,2.391,-2.895065
1766149581519112989,1.574,2.385,-2.892883
1766149581836332012,1.577,2.386,-2.896156
