timestamp,values
1766149974191417121,"[284.150390625, 284.326171875]"
1766149974481109675,"[284.150390625, 284.326171875]"
1766149974900071390,"[284.150390625, 284.326171875]"
1766149975080281693,"[284.150390625, 284.326171875]"
1766149975381731753,"[284.150390625, 284.326171875]"
1766149975684835574,"[284.150390625, 284.326171875]"
1766149975982268008,"[284.150390625, 284.326171875]"
1766149976281896034,"[284.150390625, 284.326171875]"
1766149976582478097,"[284.150390625, 284.326171875]"
1766149976882765409,"[284.150390625, 284.326171875]"
1766149977182309304,"[284.150390625, 284.326171875]"
1766149977484756163,"[284.150390625, 284.326171875]"
1766149977781815455,"[284.150390625, 284.326171875]"
1766149978084662760,"[284.150390625, 284.326171875]"
1766149978382448337,"[284.150390625, 284.326171875]"
1766149978683345854,"[284.150390625, 284.326171875]"
1766149978983817922,"[284.150390625, 284.326171875]"
1766149979281944707,"[284.150390625, 284.326171875]"
1766149979581755907,"[284.150390625, 284.326171875]"
1766149979881826201,"[284.150390625, 284.326171875]"
1766149980183436717,"[284.150390625, 284.326171875]"
1766149980485192342,"[284.150390625, 284.326171875]"
1766149980782988712,"[284.150390625, 284.326171875]"
1766149981083922856,"[284.150390625, 284.326171875]"
1766149981385315261,"[284.150390625, 284.326171875]"
1766149981681999036,"[284.150390625, 284.326171875]"
1766149981981490806,"[284.150390625, 284.326171875]"
1766149982281515061,"[284.150390625, 284.326171875]"
1766149982585431253,"[284.150390625, 284.326171875]"
1766149982884359533,"[284.150390625, 284.326171875]"
1766149983183239486,"[284.150390625, 284.326171875]"
1766149983484298079,"[284.150390625, 284.326171875]"
1766149983781671128,"[284.150390625, 284.326171875]"
1766149984081766627,"[284.150390625, 284.326171875]"
1766149984381825845,"[284.150390625, 284.326171875]"
1766149984682674281,"[284.150390625, 284.326171875]"
1766149984986111586,"[284.150390625, 284.326171875]"
1766149985282530991,"[284.150390625, 284.326171875]"
1766149985586830529,"[284.150390625, 284.326171875]"
1766149985885123487,"[284.150390625, 284.326171875]"
1766149986189003956,"[284.150390625, 284.326171875]"
1766149986482733903,"[284.150390625, 284.326171875]"
1766149986783928642,"[284.150390625, 284.326171875]"
1766149987084812770,"[284.150390625, 284.326171875]"
1766149987382177287,"[284.150390625, 284.326171875]"
1766149987681941935,"[284.150390625, 284.326171875]"
1766149987981391999,"[284.150390625, 284.326171875]"
1766149988283044476,"[284.150390625, 284.326171875]"
1766149988582617974,"[284.150390625, 284.326171875]"
1766149988881095040,"[284.150390625, 284.326171875]"
1766149989181919045,"[284.150390625, 284.326171875]"
1766149989483954167,"[284.150390625, 284.326171875]"
1766149989784333972,"[284.150390625, 284.326171875]"
1766149990082455692,"[284.150390625, 284.326171875]"
1766149990384342067,"[284.150390625, 284.326171875]"
1766149990681981379,"[284.150390625, 284.326171875]"
1766149990982122303,"[284.150390625, 284.326171875]"
1766149991283143355,"[284.150390625, 284.326171875]"
1766149991584945926,"[284.150390625, 284.326171875]"
1766149991885076259,"[284.150390625, 284.326171875]"
1766149992190838062,"[284.150390625, 284.326171875]"
1766149992481497957,"[284.150390625, 284.326171875]"
1766149992783455418,"[284.150390625, 284.326171875]"
1766149993082547575,"[284.150390625, 284.326171875]"
1766149993386985574,"[284.150390625, 284.326171875]"
1766149993683422649,"[284.150390625, 284.326171875]"
1766149993982674266,"[284.150390625, 284.326171875]"
1766149994287191109,"[284.150390625, 284.326171875]"
1766149994585305938,"[284.150390625, 284.326171875]"
1766149994883062498,"[284.150390625, 284.326171875]"
1766149995186268959,"[284.150390625, 284.326171875]"
1766149995482969701,"[284.150390625, 284.326171875]"
1766149995781908692,"[284.150390625, 284.326171875]"
1766149996081879427,"[284.150390625, 284.326171875]"
1766149996383548875,"[284.150390625, 284.326171875]"
1766149996683255274,"[284.150390625, 284.326171875]"
1766149996982177945,"[284.150390625, 284.326171875]"
1766149997282391473,"[284.150390625, 284.326171875]"
1766149997582169762,"[284.150390625, 284.326171875]"
1766149997882351562,"[284.150390625, 284.326171875]"
1766149998184648657,"[284.150390625, 284.326171875]"
1766149998485002840,"[284.150390625, 284.326171875]"
1766149998781888994,"[284.150390625, 284.326171875]"
1766149999082178686,"[284.150390625, 284.326171875]"
1766149999386152907,"[284.150390625, 284.326171875]"
1766149999683501089,"[284.150390625, 284.326171875]"
