timestamp,x,y,theta
1766149975119847295,1.459,4.367,-3.896448
1766149975440334075,1.226,4.189,-4.133158
1766149975719461229,0.979,3.996,-4.153884
1766149976020277173,0.786,3.763,-4.249877
1766149976329655465,0.597,3.495,-4.436409
1766149976614588547,0.442,3.242,-4.78002
1766149976921103038,0.283,3.016,-4.763658
1766149977221126004,0.199,2.71,-4.597852
1766149977528952585,0.144,2.486,-4.685118
1766149977822913089,0.151,2.195,-4.801837
1766149978117431940,0.152,1.947,-4.83129
1766149978418207136,0.213,1.643,-4.703662
1766149978725586772,0.313,1.391,-4.603306
1766149979033314523,0.413,1.172,-4.598943
1766149979330848544,0.448,0.882,-4.680755
1766149979621216190,0.539,0.663,-4.633849
1766149979919905433,0.508,0.314,-4.514949
1766149980222253471,0.561,0.049,-4.580398
1766149980518538314,0.676,-0.108,-4.79202
1766149980827909254,0.745,-0.245,-4.964371
1766149981119370358,0.812,-0.428,-5.123632
1766149981419950428,0.951,-0.57,-5.439973
1766149981721407567,1.134,-0.708,0.357792
1766149982017846554,1.352,-0.704,0.040361
1766149982318433550,1.633,-0.708,0.003272
1766149982630756413,1.904,-0.667,-0.119991
1766149982921677665,2.209,-0.599,0.057814
1766149983233891925,2.558,-0.484,0.057814
1766149983514625432,2.917,-0.364,0.054542
1766149983821856811,3.224,-0.254,-0.056723
1766149984132455125,3.513,-0.137,0.03927
1766149984419306594,3.828,0.063,-0.191986
1766149984720137459,3.982,0.216,-0.594503
1766149985031066544,4.113,0.357,-0.911935
1766149985319401800,4.212,0.498,-1.082104
1766149985630455997,4.279,0.604,-1.150826
1766149985921012928,4.319,0.685,-1.071196
1766149986219845049,4.33,0.741,-0.965385
1766149986522762609,4.312,0.763,-0.536689
1766149986820861160,4.335,0.776,-0.051269
1766149987121066900,4.364,0.794,0.188714
1766149987415579988,4.361,0.769,0.501782
1766149987720392848,4.337,0.735,0.532325
1766149988030602430,4.288,0.652,0.464694
1766149988320494522,4.283,0.701,0.461421
1766149988607182995,4.301,0.787,0.53778
1766149988930361548,4.313,0.702,0.727584
1766149989217663283,4.275,0.675,0.739583
1766149989521412808,4.243,0.637,-5.532694
1766149989820757498,4.211,0.606,-5.523967
1766149990118869755,4.165,0.569,-5.511968
1766149990420521849,4.158,0.571,0.628319
1766149990717393037,4.167,0.52,0.688314
1766149991034281324,4.161,0.495,0.716676
1766149991318774642,4.19,0.606,0.731947
1766149991620343144,4.124,0.654,0.0
1766149991920878941,4.076,0.71,0.738492
1766149992221946028,4.015,0.756,0.73522
1766149992521029220,3.97,0.789,-5.54033
1766149992829995276,3.923,0.788,-5.530512
1766149993120372993,3.898,0.81,-5.535966
1766149993417544939,3.837,0.752,-5.534875
1766149993721964873,3.783,0.621,-5.535966
1766149994031781248,3.81,0.666,0.69595
1766149994324293662,3.881,0.637,-5.518513
1766149994619239611,3.943,0.606,-5.499969
1766149994919717769,3.99,0.591,-5.399612
1766149995230911758,4.022,0.581,-5.362524
1766149995529866989,4.047,0.573,-5.385432
1766149995818641191,4.088,0.568,-5.394158
1766149996129488531,4.092,0.554,-5.475971
1766149996418043248,4.107,0.558,-5.497787
1766149996720953349,4.116,0.572,0.705768
1766149997018264184,4.129,0.576,0.727584
1766149997330498592,4.12,0.586,0.670861
1766149997620244384,4.112,0.604,0.713403
1766149997917568488,4.119,0.597,-5.523967
1766149998221361437,4.124,0.597,-5.509786
1766149998532084399,4.125,0.583,0.740674
1766149998819966731,4.107,0.592,0.66977
1766149999131671767,4.096,0.597,0.651226
1766149999418372794,4.097,0.6,0.713403
1766149999724702450,4.072,0.621,0.707949
