timestamp,values
1766149684380146901,"[284.0625, 284.326171875]"
1766149684680838821,"[284.0625, 284.326171875]"
1766149684981221757,"[284.0625, 284.326171875]"
1766149685280026161,"[284.0625, 284.326171875]"
1766149685580039094,"[284.0625, 284.326171875]"
1766149685880006829,"[284.0625, 284.326171875]"
1766149686409814636,"[284.0625, 284.326171875]"
1766149686480387724,"[284.0625, 284.23828125]"
1766149686780065186,"[284.0625, 284.326171875]"
1766149687079890784,"[284.0625, 284.326171875]"
1766149687380155512,"[284.0625, 284.326171875]"
1766149687680162854,"[284.0625, 284.23828125]"
1766149687979903397,"[284.0625, 284.326171875]"
1766149688280003218,"[284.0625, 284.326171875]"
1766149688580093066,"[284.0625, 284.326171875]"
1766149688879980780,"[284.0625, 284.326171875]"
1766149689179977059,"[284.0625, 284.326171875]"
1766149689481224803,"[284.0625, 284.326171875]"
1766149689779899138,"[284.0625, 284.23828125]"
1766149690080674986,"[284.0625, 284.326171875]"
1766149690379905741,"[284.0625, 284.326171875]"
1766149690680013467,"[284.0625, 284.326171875]"
1766149690980009180,"[284.0625, 284.326171875]"
1766149691279971988,"[284.0625, 284.326171875]"
1766149691581873129,"[284.0625, 284.326171875]"
1766149691882539739,"[284.0625, 284.326171875]"
1766149692181352624,"[284.0625, 284.326171875]"
1766149692480499513,"[284.0625, 284.326171875]"
1766149692780830378,"[284.0625, 284.326171875]"
1766149693081201540,"[284.0625, 284.23828125]"
1766149693380358401,"[284.0625, 284.326171875]"
1766149693681173884,"[284.0625, 284.326171875]"
1766149693982028604,"[284.0625, 284.326171875]"
1766149694281574398,"[284.0625, 284.326171875]"
1766149694580713010,"[284.0625, 284.326171875]"
1766149694880807548,"[284.0625, 284.326171875]"
1766149695181685814,"[284.0625, 284.326171875]"
1766149695480186828,"[284.0625, 284.326171875]"
1766149695780618446,"[284.0625, 284.326171875]"
1766149696081452702,"[284.0625, 284.23828125]"
1766149696381042014,"[284.0625, 284.326171875]"
1766149696680701462,"[284.0625, 284.326171875]"
1766149696981659126,"[284.0625, 284.326171875]"
1766149697281929536,"[284.0625, 284.326171875]"
1766149697580785366,"[284.0625, 284.326171875]"
1766149697881282240,"[284.0625, 284.326171875]"
1766149698180974569,"[284.0625, 284.23828125]"
1766149698481135513,"[284.0625, 284.326171875]"
1766149698780180215,"[284.0625, 284.326171875]"
1766149699080914006,"[284.0625, 284.326171875]"
1766149699381240740,"[284.0625, 284.326171875]"
1766149699680364721,"[284.0625, 284.326171875]"
1766149699980870095,"[284.0625, 284.326171875]"
1766149700280776131,"[284.0625, 284.326171875]"
1766149700580987373,"[284.0625, 284.326171875]"
1766149700880985517,"[284.0625, 284.326171875]"
1766149701179936083,"[284.0625, 284.326171875]"
1766149701481300348,"[284.0625, 284.23828125]"
1766149701780915038,"[284.0625, 284.326171875]"
1766149702080933422,"[284.0625, 284.326171875]"
1766149702380889033,"[284.0625, 284.23828125]"
1766149702681222053,"[284.0625, 284.326171875]"
1766149702981163176,"[284.0625, 284.326171875]"
1766149703280498395,"[284.0625, 284.326171875]"
1766149703581658912,"[284.0625, 284.23828125]"
1766149703880868006,"[284.0625, 284.326171875]"
1766149704182082653,"[284.0625, 284.326171875]"
1766149704482669145,"[284.0625, 284.326171875]"
1766149704781217835,"[284.0625, 284.326171875]"
1766149705081897159,"[284.0625, 284.326171875]"
1766149705380361175,"[284.0625, 284.326171875]"
1766149705680624743,"[284.0625, 284.326171875]"
1766149705981808837,"[284.0625, 284.326171875]"
1766149706282189736,"[284.0625, 284.326171875]"
1766149706580498409,"[284.0625, 284.326171875]"
1766149706880230166,"[284.0625, 284.326171875]"
1766149707181259656,"[284.0625, 284.326171875]"
1766149707480763228,"[284.0625, 284.23828125]"
1766149707780761764,"[284.0625, 284.326171875]"
1766149708081363310,"[284.0625, 284.326171875]"
1766149708381006095,"[284.0625, 284.326171875]"
1766149708681797844,"[284.0625, 284.326171875]"
1766149708981017719,"[284.0625, 284.326171875]"
1766149709282639613,"[284.0625, 284.326171875]"
1766149709581704773,"[284.0625, 284.326171875]"
1766149709880760396,"[284.0625, 284.326171875]"
1766149710182436944,"[284.0625, 284.326171875]"
1766149710482277690,"[284.0625, 284.326171875]"
1766149710781446396,"[284.0625, 284.326171875]"
1766149711081106454,"[284.0625, 284.326171875]"
1766149711380960155,"[284.0625, 284.326171875]"
1766149711681294938,"[284.0625, 284.23828125]"
1766149711981922634,"[284.0625, 284.326171875]"
1766149712282034025,"[284.0625, 284.326171875]"
1766149712581957641,"[284.0625, 284.326171875]"
1766149712885000126,"[284.0625, 284.326171875]"
1766149713180719061,"[284.0625, 284.326171875]"
1766149713481958957,"[284.0625, 284.326171875]"
1766149713780804266,"[284.0625, 284.23828125]"
1766149714081974102,"[284.0625, 284.326171875]"
