timestamp,x,y,theta
1766149685027335887,1.729,1.98,-4.340416
1766149685331499000,1.712,1.961,-4.337143
1766149685628513652,1.694,1.936,-4.333871
1766149685914544090,1.683,1.916,-4.329507
1766149686410128397,1.687,1.933,-4.329507
1766149686531829361,1.706,1.935,-4.326235
1766149686829076148,1.722,1.933,-4.327326
1766149687130993961,1.734,1.94,-4.328417
1766149687425767475,1.738,1.949,-4.329507
1766149687716299419,1.743,1.947,-4.331689
1766149688016372407,1.749,1.963,-4.330598
1766149688327771504,1.743,1.95,-4.331689
1766149688613913910,1.746,1.95,-4.331689
1766149688920112331,1.752,1.953,-4.328417
1766149689231123527,1.754,1.96,-4.331689
1766149689528277462,1.738,1.957,-4.331689
1766149689824258386,1.739,1.958,-4.333871
1766149690128428082,1.745,1.972,-4.34587
1766149690435170785,1.753,1.987,-4.34587
1766149690713213069,1.743,1.981,-4.34587
1766149691029275705,1.748,1.987,-4.344779
1766149691329142634,1.714,1.955,-4.348051
1766149691626559425,1.718,1.952,-4.350233
1766149691914668178,1.732,1.962,-4.348051
1766149692230245811,1.724,1.958,-4.348051
1766149692528322470,1.727,1.958,-4.353506
1766149692816706847,1.726,1.949,-4.356778
1766149693127741587,1.741,1.96,-4.356778
1766149693416509316,1.758,1.983,-4.354596
1766149693727400028,1.812,2.005,-4.355687
1766149694016177702,1.844,2.028,-4.355687
1766149694330237765,1.866,2.062,-4.355687
1766149694628233928,1.889,2.079,-4.357869
1766149694927808758,1.911,2.102,-4.357869
1766149695230121401,1.923,2.115,-4.35896
1766149695528228318,1.902,2.104,-4.35896
1766149695824575776,1.851,2.07,-4.361141
1766149696115403718,1.871,2.076,-4.363323
1766149696426722134,1.86,2.066,-4.362232
1766149696723057783,1.859,2.064,-4.361141
1766149697018435218,1.818,2.03,-4.356778
1766149697329695206,1.809,2.018,-4.363323
1766149697626477385,1.798,1.989,-4.367686
1766149697927334996,1.758,1.937,-4.378595
1766149698228908931,1.719,1.871,-4.363323
1766149698529079117,1.729,1.866,-4.378595
1766149698828395453,1.733,1.86,-4.38514
1766149699126662649,1.747,1.86,-4.378595
1766149699427494319,1.775,1.858,-4.388412
1766149699728529212,1.82,1.886,-4.400411
1766149700016748911,1.799,1.871,-4.391685
1766149700326380621,1.831,1.893,-4.428773
1766149700625323993,1.841,1.901,-4.423319
1766149700927084623,1.79,1.868,-4.442954
1766149701229637378,1.821,1.897,-4.442954
1766149701525693858,1.846,1.909,-4.444045
1766149701826645832,1.865,1.938,-4.434227
1766149702128845055,1.865,1.956,-4.428773
1766149702417566462,1.859,1.976,-4.4255
1766149702728619510,1.885,2.035,-4.418955
1766149703019982088,1.849,1.959,-4.413501
1766149703327501655,1.857,1.916,-4.415683
1766149703626693568,1.9,1.931,-4.384049
1766149703913298541,1.837,1.924,-4.373141
1766149704229914686,1.882,1.928,-4.392776
1766149704527199172,1.891,1.906,-4.397139
1766149704828191573,1.881,1.893,-4.413501
1766149705140073650,1.838,1.878,-4.432045
1766149705426804315,1.816,1.878,-4.439681
1766149705721172658,1.804,1.86,-4.46477
1766149706013384279,1.792,1.85,-4.449499
1766149706315564906,1.809,1.815,0.0
1766149706626069958,1.822,1.778,-4.434227
1766149706927913825,1.836,1.751,-4.42441
1766149707226640634,1.847,1.725,-4.410229
1766149707527481362,1.849,1.732,-4.386231
1766149707827584036,1.839,1.75,-4.35896
1766149708129530909,1.827,1.785,-4.342597
1766149708416713087,1.819,1.832,0.0
1766149708716188406,1.806,1.86,0.0
1766149709018442049,1.796,1.888,-4.339325
1766149709329849103,1.782,1.914,-4.320781
1766149709627428585,1.776,1.923,-4.316417
1766149709925707777,1.771,1.943,-4.33278
1766149710226758765,1.769,1.96,-4.329507
1766149710526157448,1.771,1.973,-4.342597
1766149710816841466,1.77,1.979,-4.351324
1766149711425706884,1.768,1.989,-4.360051
1766149711726325908,1.766,1.994,-4.365505
1766149712027792168,1.758,1.985,-4.366596
1766149712327044650,1.755,1.987,-4.365505
1766149712628704774,1.76,1.984,-4.415683
1766149712923863973,1.758,1.965,-4.422228
1766149713231523730,1.761,1.948,-4.445135
1766149713516368459,1.759,1.94,-4.434227
1766149713827999001,1.759,1.93,-4.4255
