timestamp,values
1766150101082925830,"[284.150390625, 284.326171875]"
1766150101384452492,"[284.150390625, 284.326171875]"
1766150101681963287,"[284.150390625, 284.326171875]"
1766150101982021118,"[284.150390625, 284.326171875]"
1766150102281715777,"[284.150390625, 284.326171875]"
1766150102584942449,"[284.150390625, 284.326171875]"
1766150102882650494,"[284.150390625, 284.326171875]"
1766150103184092702,"[284.150390625, 284.326171875]"
1766150103482463289,"[284.150390625, 284.326171875]"
1766150103782440048,"[284.150390625, 284.326171875]"
1766150104082991609,"[284.150390625, 284.326171875]"
1766150104382466775,"[284.150390625, 284.326171875]"
1766150104682504336,"[284.150390625, 284.326171875]"
1766150104985741876,"[284.150390625, 284.326171875]"
1766150105286351297,"[284.150390625, 284.326171875]"
1766150105582322924,"[284.150390625, 284.326171875]"
1766150105881101448,"[284.150390625, 284.326171875]"
1766150106183910050,"[284.150390625, 284.326171875]"
1766150106483017137,"[284.150390625, 284.326171875]"
1766150106781195345,"[284.150390625, 284.326171875]"
1766150107082505057,"[284.150390625, 284.326171875]"
1766150107382807528,"[284.150390625, 284.326171875]"
1766150107690799211,"[284.150390625, 284.326171875]"
1766150107981584297,"[284.150390625, 284.326171875]"
1766150108283164879,"[284.150390625, 284.326171875]"
1766150108583015423,"[284.150390625, 284.326171875]"
1766150108884460956,"[284.150390625, 284.326171875]"
1766150109180958629,"[284.150390625, 284.326171875]"
1766150109486561210,"[284.150390625, 284.326171875]"
1766150109782047771,"[284.150390625, 284.326171875]"
1766150110082499204,"[284.150390625, 284.326171875]"
1766150110385058004,"[284.150390625, 284.326171875]"
1766150110684019360,"[284.150390625, 284.326171875]"
1766150110987636907,"[284.150390625, 284.326171875]"
1766150111286822089,"[284.150390625, 284.326171875]"
1766150111584424927,"[284.150390625, 284.326171875]"
1766150111883947340,"[284.150390625, 284.326171875]"
1766150112182079770,"[284.150390625, 284.326171875]"
1766150112484938008,"[284.150390625, 284.326171875]"
1766150112782316335,"[284.150390625, 284.326171875]"
1766150113083461647,"[284.150390625, 284.326171875]"
1766150113383563511,"[284.150390625, 284.326171875]"
1766150113683170013,"[284.150390625, 284.326171875]"
1766150113983333481,"[284.150390625, 284.326171875]"
1766150114283670698,"[284.150390625, 284.326171875]"
1766150114584449243,"[284.150390625, 284.326171875]"
1766150114883268716,"[284.150390625, 284.326171875]"
1766150115182960151,"[284.150390625, 284.326171875]"
1766150115483780748,"[284.150390625, 284.326171875]"
1766150115783681155,"[284.150390625, 284.326171875]"
1766150116088175373,"[284.150390625, 284.326171875]"
1766150116381472453,"[284.150390625, 284.326171875]"
1766150116685932258,"[284.150390625, 284.326171875]"
1766150116984908193,"[284.150390625, 284.326171875]"
1766150117286695566,"[284.150390625, 284.326171875]"
1766150117582801108,"[284.150390625, 284.326171875]"
1766150117883497733,"[284.150390625, 284.326171875]"
1766150118188021578,"[284.150390625, 284.326171875]"
1766150118482714920,"[284.150390625, 284.326171875]"
1766150118786584973,"[284.150390625, 284.326171875]"
1766150119082905923,"[284.150390625, 284.326171875]"
1766150119386382125,"[284.150390625, 284.326171875]"
1766150119691165355,"[284.150390625, 284.326171875]"
1766150119983002655,"[284.23828125, 284.326171875]"
1766150120283981066,"[284.150390625, 284.326171875]"
1766150120584928068,"[284.150390625, 284.326171875]"
1766150120887799052,"[284.150390625, 284.326171875]"
1766150121181117160,"[284.150390625, 284.326171875]"
1766150121483985176,"[284.150390625, 284.326171875]"
1766150121785492896,"[284.150390625, 284.326171875]"
1766150122081504666,"[284.150390625, 284.326171875]"
1766150122382399248,"[284.150390625, 284.326171875]"
1766150122688011149,"[284.150390625, 284.326171875]"
1766150122983827084,"[284.150390625, 284.326171875]"
1766150123282653991,"[284.150390625, 284.326171875]"
1766150123583091362,"[284.150390625, 284.326171875]"
1766150123883972023,"[284.150390625, 284.326171875]"
1766150124182100937,"[284.150390625, 284.326171875]"
1766150124484885022,"[284.150390625, 284.326171875]"
