timestamp,x,y,theta
1766150100236993453,3.432,1.598,-2.39001
1766150100523828177,3.425,1.584,-2.362739
1766150100820387950,3.425,1.58,-2.358376
1766150101121287868,3.421,1.571,-2.371466
1766150101419604921,3.407,1.56,-2.381284
1766150101732514126,3.408,1.581,-2.384556
1766150102023894078,3.406,1.588,-2.352922
1766150102324875313,3.447,1.645,-2.358376
1766150102623245733,3.466,1.677,-2.247111
1766150102920126774,3.471,1.703,-2.20566
1766150103221138657,3.48,1.723,-2.207842
1766150103520038883,3.479,1.731,-2.17948
1766150103819891797,3.473,1.744,-2.200206
1766150104120833071,3.458,1.758,-2.268928
1766150104418897341,3.442,1.761,-2.276564
1766150104734043983,3.428,1.734,-2.300562
1766150105023038452,3.441,1.767,-2.357285
1766150105319929879,3.384,1.775,-2.388919
1766150105623607789,3.287,1.783,-2.414009
1766150105930593567,3.158,1.792,-2.387829
1766150106221044892,3.02,1.809,-2.440188
1766150106530129192,2.832,1.863,-2.499093
1766150106820831417,2.639,1.922,-2.549272
1766150107121064363,2.405,1.971,-2.56018
1766150107424547045,2.122,2.009,-2.626721
1766150107723426948,1.86,2.007,-2.716169
1766150108021747656,1.61,1.997,-2.785982
1766150108321435967,1.361,1.993,-2.655082
1766150108620262733,1.088,2.015,-2.580906
1766150108919001856,0.801,2.056,-2.598359
1766150109232333936,0.549,2.087,-2.555817
1766150109520485526,0.237,2.131,-2.549272
1766150109821021410,-0.088,2.167,-2.523092
1766150110122877048,-0.39,2.173,-2.553635
1766150110422341502,-0.832,2.172,-2.63872
1766150110723720521,-1.345,2.088,-2.789254
1766150111022154993,-1.621,2.14,-2.79689
1766150111319137249,-1.939,2.121,-2.832888
1766150111621316733,-2.291,2.102,-3.102323
1766150111922210052,-2.505,2.016,-3.76773
1766150112221792811,-2.649,1.882,-4.13643
1766150112526079464,-2.68,1.727,-4.37205
1766150112833410935,-2.602,1.472,-4.638212
1766150113117070111,-2.462,1.222,-4.8062
1766150113422449065,-2.299,0.909,-4.822563
1766150113721265098,-2.111,0.587,-4.782202
1766150114023078344,-1.88,0.199,-4.855288
1766150114321843089,-1.615,-0.175,-4.936009
1766150114620905954,-1.334,-0.484,-4.954553
1766150114922684088,-1.04,-0.756,-4.993823
1766150115222817692,-0.777,-0.976,-5.066909
1766150115523685984,-0.437,-1.171,-5.347252
1766150115821916477,-0.078,-1.33,0.679588
1766150116132175959,0.296,-1.424,0.436332
1766150116432044998,0.664,-1.499,0.317432
1766150116720777866,0.985,-1.471,0.125446
1766150117024572143,1.356,-1.506,-0.037088
1766150117321315899,1.656,-1.438,-0.124355
1766150117621643947,1.966,-1.296,-0.484329
1766150117935092296,2.263,-1.13,-0.421061
1766150118235970695,2.556,-0.922,-0.575959
1766150118520784523,2.857,-0.773,-0.440696
1766150118835041009,3.114,-0.586,-0.510509
1766150119122245543,3.327,-0.39,-0.437423
1766150119421214094,3.5,-0.203,-0.610865
1766150119727170990,3.638,0.022,-0.769036
1766150120025178490,3.757,0.233,-0.707949
1766150120335372168,3.848,0.423,-0.574868
1766150120622172090,3.911,0.577,-0.460331
1766150120935643624,3.976,0.693,-0.627228
1766150121218692973,4.047,0.754,-0.478875
1766150121525090111,4.113,0.787,-0.398153
1766150121824144726,4.189,0.822,-0.025089
1766150122122828141,4.281,0.866,0.046906
1766150122421423852,4.386,0.913,0.114537
1766150122721631840,4.412,0.96,0.131991
1766150123020440864,4.417,1.021,0.181078
1766150123323354221,4.357,1.099,-0.014181
1766150123635557163,4.299,1.223,-0.278162
1766150123939969124,4.221,1.347,-0.191986
1766150124235226694,4.127,1.485,-0.111265
1766150124521875251,4.063,1.606,0.089448
