timestamp,values
1766147101340113828,"[288.80859375, 285.380859375]"
1766147101640090838,"[288.80859375, 285.380859375]"
1766147101940076423,"[288.80859375, 285.380859375]"
1766147102240093351,"[288.80859375, 285.380859375]"
1766147102540108196,"[288.80859375, 285.380859375]"
1766147102840077574,"[288.80859375, 285.380859375]"
1766147103140079855,"[288.80859375, 285.380859375]"
1766147103440107878,"[288.80859375, 285.380859375]"
1766147103740100883,"[288.80859375, 285.380859375]"
1766147104040050487,"[288.80859375, 285.380859375]"
1766147104340115094,"[288.80859375, 285.380859375]"
1766147104640163742,"[288.80859375, 285.380859375]"
1766147104940097322,"[288.80859375, 285.380859375]"
1766147105240139303,"[288.80859375, 285.380859375]"
1766147105540143104,"[288.80859375, 285.380859375]"
1766147105840111555,"[288.80859375, 285.380859375]"
1766147106140355856,"[288.80859375, 285.380859375]"
1766147106440120009,"[288.80859375, 285.380859375]"
1766147106740165231,"[288.80859375, 285.380859375]"
1766147107040629720,"[288.80859375, 285.380859375]"
1766147107340349034,"[288.80859375, 285.380859375]"
1766147107640126289,"[288.80859375, 285.380859375]"
1766147107940094934,"[288.80859375, 285.380859375]"
1766147108240093217,"[288.80859375, 285.380859375]"
1766147108540131472,"[288.80859375, 285.380859375]"
1766147108840057149,"[288.80859375, 285.380859375]"
1766147109140063160,"[288.80859375, 285.380859375]"
1766147109440133927,"[288.80859375, 285.380859375]"
1766147109740161383,"[288.80859375, 285.380859375]"
1766147110040083011,"[288.80859375, 285.380859375]"
1766147110340144568,"[288.80859375, 285.380859375]"
1766147110640141089,"[288.80859375, 285.380859375]"
1766147110940061717,"[288.80859375, 285.380859375]"
1766147111240098307,"[288.80859375, 285.380859375]"
1766147111540073563,"[288.80859375, 285.380859375]"
1766147111840074988,"[288.80859375, 285.380859375]"
1766147112140107957,"[288.80859375, 285.380859375]"
1766147112440076815,"[288.80859375, 285.380859375]"
1766147112740120393,"[288.80859375, 285.380859375]"
1766147113040274477,"[288.80859375, 285.380859375]"
1766147113340078746,"[288.80859375, 285.380859375]"
1766147113640093074,"[288.80859375, 285.380859375]"
1766147113940108728,"[288.80859375, 285.380859375]"
1766147114240142692,"[288.80859375, 285.380859375]"
1766147114540142531,"[288.80859375, 285.380859375]"
1766147114840152445,"[288.80859375, 285.380859375]"
1766147115140095511,"[288.80859375, 285.380859375]"
1766147115440057423,"[288.80859375, 285.380859375]"
1766147115740093771,"[288.80859375, 285.380859375]"
1766147116040127142,"[288.80859375, 285.380859375]"
1766147116340085089,"[288.80859375, 285.380859375]"
1766147116640222644,"[288.80859375, 285.380859375]"
1766147116940083821,"[288.80859375, 285.380859375]"
1766147117240034906,"[288.80859375, 285.380859375]"
1766147117540158695,"[288.80859375, 285.380859375]"
1766147117840085230,"[288.80859375, 285.380859375]"
1766147118140080086,"[288.80859375, 285.380859375]"
1766147118440044684,"[288.80859375, 285.380859375]"
1766147118740181795,"[288.80859375, 285.380859375]"
1766147119040168204,"[288.80859375, 285.380859375]"
1766147119340082388,"[288.80859375, 285.380859375]"
1766147119640108223,"[288.80859375, 285.380859375]"
1766147119940061873,"[288.80859375, 285.380859375]"
1766147120240127990,"[288.80859375, 285.380859375]"
1766147120540162125,"[288.80859375, 285.380859375]"
1766147120840147888,"[288.80859375, 285.380859375]"
1766147121140149463,"[288.80859375, 285.380859375]"
1766147121440143669,"[288.80859375, 285.380859375]"
1766147121740127638,"[288.80859375, 285.380859375]"
1766147122040139697,"[288.80859375, 285.380859375]"
1766147122340081665,"[288.80859375, 285.380859375]"
1766147122640107233,"[288.80859375, 285.380859375]"
1766147122940114182,"[288.80859375, 285.380859375]"
1766147123240118849,"[288.80859375, 285.380859375]"
1766147123540115585,"[288.80859375, 285.380859375]"
1766147123840082975,"[288.80859375, 285.380859375]"
1766147124140031751,"[288.80859375, 285.380859375]"
1766147124440044784,"[288.80859375, 285.380859375]"
1766147124740053412,"[288.80859375, 285.380859375]"
1766147125040113332,"[288.80859375, 285.380859375]"
1766147125341050452,"[288.80859375, 285.380859375]"
