timestamp,values
1766146364295146916,"[281.162109375, 0.0]"
1766146364595284686,"[281.162109375, 0.0]"
1766146364896792536,"[281.162109375, 0.0]"
1766146365195419628,"[281.162109375, 0.0]"
1766146365497071229,"[281.162109375, 0.0]"
1766146365795465188,"[281.162109375, 0.0]"
1766146366099247774,"[281.162109375, 0.0]"
1766146366398916583,"[281.162109375, 0.0]"
1766146366695420803,"[281.162109375, 0.0]"
1766146366995707806,"[281.25, 0.0]"
1766146367296832130,"[281.162109375, 0.0]"
1766146367597900204,"[281.162109375, 0.0]"
1766146367895399529,"[281.162109375, 0.0]"
1766146368196895820,"[281.162109375, 0.0]"
1766146368496497663,"[281.162109375, 0.0]"
1766146368798581826,"[281.162109375, 0.0]"
1766146369096051095,"[281.162109375, 0.0]"
1766146369398006647,"[281.162109375, 0.0]"
1766146369696723528,"[281.162109375, 0.0]"
1766146369995502494,"[281.25, 0.0]"
1766146370296702423,"[281.162109375, 0.0]"
1766146370595617695,"[281.162109375, 0.0]"
1766146370899636836,"[281.162109375, 0.0]"
1766146371195533847,"[281.162109375, 0.0]"
1766146371495848730,"[281.162109375, 0.0]"
1766146371795549420,"[281.162109375, 0.0]"
1766146372096860359,"[281.25, 0.0]"
1766146372397788252,"[281.162109375, 0.0]"
1766146372696589002,"[281.162109375, 0.0]"
1766146372996379684,"[281.162109375, 0.0]"
1766146373296335147,"[281.162109375, 0.0]"
1766146373598050739,"[281.162109375, 0.0]"
1766146373895761740,"[281.25, 0.0]"
1766146374197043445,"[281.162109375, 0.0]"
1766146374496690137,"[281.162109375, 0.0]"
1766146374797982685,"[281.162109375, 0.0]"
1766146375096084966,"[281.162109375, 0.0]"
1766146375395600491,"[281.162109375, 0.0]"
1766146375696713174,"[281.162109375, 0.0]"
1766146375998005404,"[281.162109375, 0.0]"
1766146376299497405,"[281.162109375, 0.0]"
1766146376597136283,"[281.25, 0.0]"
1766146376895657807,"[281.162109375, 0.0]"
1766146377196049879,"[281.162109375, 0.0]"
1766146377496557708,"[281.162109375, 0.0]"
1766146377796198396,"[281.162109375, 0.0]"
1766146378096235325,"[281.162109375, 0.0]"
1766146378396807910,"[281.162109375, 0.0]"
1766146378696774012,"[281.25, 0.0]"
1766146378995589789,"[281.162109375, 0.0]"
1766146379296534966,"[281.162109375, 0.0]"
1766146379595763842,"[281.162109375, 0.0]"
1766146379895478703,"[281.162109375, 0.0]"
1766146380195836327,"[281.162109375, 0.0]"
1766146380495499491,"[281.162109375, 0.0]"
1766146380795858271,"[281.162109375, 0.0]"
1766146381097413806,"[281.162109375, 0.0]"
1766146381400643062,"[281.25, 0.0]"
1766146381696396895,"[281.162109375, 0.0]"
1766146381998151613,"[281.162109375, 0.0]"
1766146382302964516,"[281.162109375, 0.0]"
1766146382602187646,"[281.162109375, 0.0]"
