timestamp,x,y,theta
1766146364219994373,0.136,3.216,-0.114537
1766146364512723188,0.137,3.205,-0.109083
1766146364814059425,0.134,3.199,-0.109083
1766146365101637960,0.136,3.194,-0.118901
1766146365402379769,0.14,3.191,-0.123264
1766146365705978534,0.14,3.193,-0.121082
1766146366007711885,0.142,3.195,-0.118901
1766146366314996391,0.147,3.192,-0.115628
1766146366616808581,0.154,3.188,-0.11781
1766146366906146893,0.17,3.198,0.0
1766146367217453361,0.177,3.201,-0.121082
1766146367504097432,0.188,3.209,-0.125446
1766146367817871292,0.203,3.211,-0.126536
1766146368105910256,0.213,3.21,-0.119991
1766146368419707314,0.214,3.21,-0.121082
1766146368706456115,0.213,3.204,-0.121082
1766146369004386075,0.212,3.201,-0.11781
1766146369303947816,0.213,3.205,-0.119991
1766146369614044359,0.212,3.206,-0.121082
1766146369915135134,0.211,3.204,-0.121082
1766146370214179205,0.204,3.204,-0.123264
1766146370504806740,0.209,3.204,-0.122173
1766146370815773105,0.199,3.205,-0.128718
1766146371104400367,0.204,3.211,-0.137445
1766146371416568658,0.205,3.21,-0.136354
1766146371705471210,0.219,3.214,-0.162534
1766146372014181556,0.238,3.227,-0.187623
1766146372305708907,0.247,3.231,-0.189805
1766146372617524219,0.25,3.239,-0.169079
1766146372918766101,0.258,3.227,-0.165806
1766146373203782221,0.262,3.224,-0.174533
1766146373504176747,0.238,3.259,-0.178896
1766146373815383537,0.244,3.26,-0.18435
1766146374101168717,0.255,3.209,-0.195259
1766146374415469876,0.252,3.214,-0.178896
1766146374706954425,0.242,3.217,-0.169079
1766146375015682477,0.244,3.216,-0.185441
1766146375306173898,0.248,3.232,-0.162534
1766146375617125957,0.235,3.238,-0.174533
1766146375916006921,0.234,3.242,-0.194168
1766146376205170563,0.233,3.232,-0.187623
1766146376507566544,0.227,3.227,-0.179987
1766146376815265133,0.218,3.224,-0.182169
1766146377104921821,0.212,3.223,-0.185441
1766146377414876691,0.209,3.215,-0.186532
1766146377718584873,0.201,3.21,-0.190895
1766146378003623696,0.189,3.203,0.0
1766146378303359601,0.187,3.195,-0.187623
1766146378614894205,0.195,3.194,-0.187623
1766146378905491390,0.199,3.201,-0.189805
1766146379203033018,0.199,3.207,-0.188714
1766146379517211265,0.193,3.212,-0.18326
1766146379814934838,0.192,3.222,-0.18435
1766146380116037931,0.189,3.222,-0.186532
1766146380407385564,0.191,3.221,-0.186532
1766146380712437592,0.194,3.229,-0.186532
1766146381014948313,0.188,3.229,-0.186532
1766146381315109194,0.193,3.235,-0.188714
1766146381606619049,0.19,3.225,-0.188714
1766146382215042351,0.184,3.222,-0.188714
1766146382528241123,0.184,3.219,-0.187623
