timestamp,values
1766146526897927722,"[281.6015625, 0.0]"
1766146527196211606,"[281.689453125, 0.0]"
1766146527496275564,"[281.689453125, 0.0]"
1766146527798068985,"[281.6015625, 0.0]"
1766146528095316945,"[281.689453125, 0.0]"
1766146528395792805,"[281.6015625, 0.0]"
1766146528697165795,"[281.6015625, 0.0]"
1766146528995863454,"[281.689453125, 0.0]"
1766146529298388363,"[281.6015625, 0.0]"
1766146529596236721,"[281.6015625, 0.0]"
1766146529897585925,"[281.6015625, 0.0]"
1766146530198053729,"[281.689453125, 0.0]"
1766146530496889951,"[281.689453125, 0.0]"
1766146530796794662,"[281.6015625, 0.0]"
1766146531095885937,"[281.689453125, 0.0]"
1766146531395590299,"[281.6015625, 0.0]"
1766146531697011788,"[281.689453125, 0.0]"
1766146531996680206,"[281.6015625, 0.0]"
1766146532297269150,"[281.6015625, 0.0]"
1766146532596011924,"[281.6015625, 0.0]"
1766146532896998609,"[281.689453125, 0.0]"
1766146533195064045,"[281.6015625, 0.0]"
1766146533496062992,"[281.6015625, 0.0]"
1766146533796222563,"[281.6015625, 0.0]"
1766146534095908336,"[281.6015625, 0.0]"
1766146534396383684,"[281.6015625, 0.0]"
1766146534694620623,"[281.6015625, 0.0]"
1766146534996542320,"[281.6015625, 0.0]"
1766146535295948295,"[281.6015625, 0.0]"
1766146535595701552,"[281.689453125, 0.0]"
1766146535895882296,"[281.6015625, 0.0]"
1766146536197065026,"[281.6015625, 0.0]"
1766146536495714653,"[281.6015625, 0.0]"
1766146536797167582,"[281.6015625, 0.0]"
1766146537097845327,"[281.6015625, 0.0]"
1766146537397404691,"[281.6015625, 0.0]"
1766146537694500029,"[281.6015625, 0.0]"
1766146537997332489,"[281.689453125, 0.0]"
1766146538296079390,"[281.689453125, 0.0]"
1766146538599690390,"[281.689453125, 0.0]"
1766146538898216123,"[281.6015625, 0.0]"
1766146539195643349,"[281.689453125, 0.0]"
1766146539497621594,"[281.689453125, 0.0]"
1766146539799086370,"[281.6015625, 0.0]"
1766146540096650402,"[281.6015625, 0.0]"
1766146540394242772,"[281.689453125, 0.0]"
1766146540698048170,"[281.689453125, 0.0]"
1766146540997569186,"[281.689453125, 0.0]"
1766146541297596074,"[281.6015625, 0.0]"
1766146541595836626,"[281.689453125, 0.0]"
1766146541894331196,"[281.6015625, 0.0]"
1766146542198025825,"[281.6015625, 0.0]"
1766146542496189416,"[281.6015625, 0.0]"
1766146542796194494,"[281.689453125, 0.0]"
1766146543096005280,"[281.6015625, 0.0]"
1766146543396844415,"[281.689453125, 0.0]"
1766146543695686724,"[281.689453125, 0.0]"
1766146543995721612,"[281.6015625, 0.0]"
1766146544295458063,"[281.689453125, 0.0]"
1766146544595456141,"[281.689453125, 0.0]"
1766146544895640057,"[281.689453125, 0.0]"
1766146545196565536,"[281.6015625, 0.0]"
1766146545495646912,"[281.689453125, 0.0]"
1766146545795478066,"[281.6015625, 0.0]"
1766146546099029393,"[281.6015625, 0.0]"
1766146546400095311,"[281.6015625, 0.0]"
1766146546699251701,"[281.689453125, 0.0]"
1766146546995728941,"[281.6015625, 0.0]"
1766146547295963940,"[281.6015625, 0.0]"
1766146547595986635,"[281.6015625, 0.0]"
1766146547895735922,"[281.689453125, 0.0]"
1766146548196092953,"[281.6015625, 0.0]"
1766146548495070749,"[281.689453125, 0.0]"
1766146548801390495,"[281.689453125, 0.0]"
1766146549095541110,"[281.6015625, 0.0]"
1766146549396950723,"[281.6015625, 0.0]"
1766146549695497472,"[281.689453125, 0.0]"
1766146549997632205,"[281.689453125, 0.0]"
1766146550296017910,"[281.689453125, 0.0]"
1766146550599574550,"[281.689453125, 0.0]"
1766146550895913061,"[281.689453125, 0.0]"
1766146551199034435,"[281.689453125, 0.0]"
1766146551496453763,"[281.6015625, 0.0]"
1766146551795142604,"[281.6015625, 0.0]"
1766146552095998543,"[281.6015625, 0.0]"
1766146552395892307,"[281.6015625, 0.0]"
1766146552696360261,"[281.689453125, 0.0]"
1766146552995663918,"[281.689453125, 0.0]"
1766146553296341523,"[281.689453125, 0.0]"
1766146553598894937,"[281.6015625, 0.0]"
