timestamp,x,y,theta
1766146526801905959,3.098,5.465,-0.071995
1766146527104750629,3.092,5.468,-0.069813
1766146527404859088,3.087,5.468,0.0
1766146527705748348,3.081,5.466,-0.083994
1766146528014681354,3.074,5.469,-0.088357
1766146528314920792,3.078,5.466,-0.089448
1766146528613871522,3.07,5.472,-0.087266
1766146528909525660,3.063,5.477,0.0
1766146529206701724,3.064,5.48,-0.090539
1766146529507366606,3.066,5.484,-0.085085
1766146529802895658,3.063,5.486,-0.086176
1766146530107387464,3.068,5.486,-0.089448
1766146530414808038,3.069,5.492,-0.083994
1766146530704500224,3.063,5.491,-0.088357
1766146531004894339,3.059,5.488,-0.089448
1766146531298974280,3.063,5.501,-0.09163
1766146531631300791,3.059,5.503,-0.087266
1766146531905066994,3.061,5.503,-0.088357
1766146532217672117,3.065,5.498,-0.088357
1766146532515808171,3.068,5.495,-0.089448
1766146532816329645,3.077,5.492,-0.087266
1766146533103788612,3.086,5.497,-0.088357
1766146533404446648,3.1,5.49,-0.088357
1766146533715343148,3.1,5.487,-0.088357
1766146534004931534,3.104,5.487,-0.087266
1766146534315800281,3.146,5.457,-0.073086
1766146534605361217,3.128,5.451,-0.088357
1766146534902405491,3.064,5.401,0.233438
1766146535204404169,2.927,5.313,-5.38325
1766146535514923484,2.789,5.165,-4.865105
1766146535808470963,2.614,5.012,-4.508404
1766146536105746483,2.35,4.818,-4.454953
1766146536403349272,2.15,4.559,-4.421137
1766146536705481896,1.811,4.238,-4.410229
1766146537005098467,1.53,3.919,-4.376413
1766146537305665927,1.232,3.593,-4.482224
1766146537618438905,0.785,3.184,-4.426591
1766146537902629166,0.369,2.831,-4.374231
1766146538203121685,0.003,2.509,-4.402593
1766146538518050405,-0.494,2.17,-4.428773
1766146538818081818,-0.927,1.878,-4.445135
1766146539114580251,-1.286,1.626,-4.353506
1766146539416431821,-1.696,1.386,-4.410229
1766146539705174845,-1.771,1.261,0.0
1766146540021341252,-1.862,1.129,-4.47786
1766146540305074957,-1.932,1.037,-4.465861
1766146540606564033,-2.353,0.867,-4.389503
1766146540904458178,-2.717,0.675,-4.552037
1766146541217128977,-3.029,0.52,-4.605488
1766146541505363055,-3.096,0.372,-4.604397
1766146541813953670,-3.131,0.254,-4.487678
1766146542102125518,-3.298,0.107,-4.636031
1766146542405794289,-3.514,-0.048,-4.591307
1766146542704264223,-3.399,-0.138,-4.532402
1766146542995609987,-3.31,-0.209,-4.185518
1766146543304371169,-3.288,-0.259,-3.932445
1766146543603718637,-3.277,-0.277,-3.629194
1766146543903303584,-3.173,-0.288,-3.581197
1766146544205748203,-3.016,-0.255,-3.080506
1766146544505489752,-2.773,-0.17,-2.418372
1766146544817971310,-2.473,-0.042,-1.604612
1766146545107775667,-2.183,0.058,-1.210822
1766146545411857495,-1.902,0.138,-0.771217
1766146545714746585,-1.643,0.177,-0.521417
1766146546004770849,-1.351,0.175,-0.545415
1766146546305447502,-1.026,0.149,-0.509418
1766146546606120692,-0.661,0.091,-0.400335
1766146546904176635,-0.296,0.012,-0.307614
1766146547215463392,0.102,-0.042,-0.644681
1766146547514274754,0.498,-0.071,-0.81376
1766146547802920754,0.879,-0.083,-0.841031
1766146548108768678,1.232,-0.001,-1.003564
1766146548404960644,1.514,0.118,-1.134464
1766146548719024878,1.85,0.246,-1.1421
1766146549003146249,2.091,0.406,-1.108284
1766146549307255320,2.442,0.623,-1.241365
1766146549614352387,2.692,0.871,-1.563161
1766146549904124341,2.868,1.113,-1.598067
1766146550204322727,2.992,1.328,-1.758419
1766146550499726936,3.056,1.488,-2.078033
1766146550816405907,3.086,1.61,-2.289654
1766146551109134343,3.025,1.738,-2.511092
1766146551414992424,2.975,1.792,-2.559089
1766146551713907830,2.902,1.84,-2.516547
1766146552002621066,2.826,1.886,-2.460914
1766146552306992669,2.768,1.901,-2.427098
1766146552613332330,2.698,1.915,-2.450006
1766146552902278637,2.65,1.885,-2.399828
1766146553214264131,2.623,1.862,-2.201297
1766146553513198568,2.611,1.824,-1.971131
