timestamp,values
1766147341340206029,"[288.80859375, 285.380859375]"
1766147341640052828,"[288.80859375, 285.380859375]"
1766147341940243295,"[288.80859375, 285.380859375]"
1766147342240238110,"[288.80859375, 285.380859375]"
1766147342540222678,"[288.80859375, 285.380859375]"
1766147342840195121,"[288.80859375, 285.380859375]"
1766147343140110266,"[288.80859375, 285.380859375]"
1766147343440232743,"[288.80859375, 285.380859375]"
1766147343740220466,"[288.80859375, 285.380859375]"
1766147344040356076,"[288.80859375, 285.380859375]"
1766147344340101517,"[288.80859375, 285.380859375]"
1766147344640356535,"[288.80859375, 285.380859375]"
1766147344940145964,"[288.80859375, 285.380859375]"
1766147345240112903,"[288.80859375, 285.380859375]"
1766147345540153365,"[288.80859375, 285.380859375]"
1766147345840768979,"[288.80859375, 285.380859375]"
1766147346140155938,"[288.80859375, 285.380859375]"
1766147346440260725,"[288.80859375, 285.380859375]"
1766147346740647735,"[288.80859375, 285.380859375]"
1766147347040488296,"[288.80859375, 285.380859375]"
1766147347340172285,"[288.80859375, 285.380859375]"
1766147347640121917,"[288.80859375, 285.380859375]"
1766147347940076458,"[288.80859375, 285.380859375]"
1766147348240038509,"[288.80859375, 285.380859375]"
1766147348540164713,"[288.80859375, 285.380859375]"
1766147348840128482,"[288.80859375, 285.380859375]"
1766147349140256400,"[288.80859375, 285.380859375]"
1766147349440157912,"[288.80859375, 285.380859375]"
1766147349740197788,"[288.80859375, 285.380859375]"
1766147350040104623,"[288.80859375, 285.380859375]"
1766147350340212939,"[288.80859375, 285.380859375]"
1766147350640120498,"[288.80859375, 285.380859375]"
1766147350940107710,"[288.80859375, 285.380859375]"
1766147351240206050,"[288.80859375, 285.380859375]"
1766147351540084218,"[288.80859375, 285.380859375]"
1766147351840139072,"[288.896484375, 285.380859375]"
1766147352140134398,"[288.80859375, 285.380859375]"
1766147352440111990,"[288.80859375, 285.46875]"
1766147352740102718,"[288.80859375, 285.380859375]"
1766147353040099670,"[288.80859375, 285.380859375]"
1766147353340122323,"[288.80859375, 285.380859375]"
1766147353640102510,"[288.80859375, 285.380859375]"
1766147353940110642,"[288.80859375, 285.380859375]"
1766147354240107040,"[288.80859375, 285.380859375]"
1766147354540103161,"[288.80859375, 285.380859375]"
1766147354840099303,"[288.80859375, 285.380859375]"
1766147355140118496,"[288.80859375, 285.380859375]"
1766147355440136046,"[288.80859375, 285.380859375]"
1766147355740097277,"[288.80859375, 285.46875]"
1766147356040059384,"[288.80859375, 285.380859375]"
1766147356340122349,"[288.80859375, 285.380859375]"
1766147356640174544,"[288.80859375, 285.380859375]"
1766147356940089933,"[288.80859375, 285.380859375]"
1766147357240082764,"[288.80859375, 285.380859375]"
1766147357540148809,"[288.80859375, 285.380859375]"
1766147357840128641,"[288.80859375, 285.380859375]"
1766147358140149013,"[288.80859375, 285.380859375]"
1766147358440155577,"[288.80859375, 285.380859375]"
1766147358740128074,"[288.80859375, 285.380859375]"
1766147359040285295,"[288.80859375, 285.380859375]"
1766147359340127440,"[288.80859375, 285.380859375]"
1766147359640091023,"[288.80859375, 285.380859375]"
1766147359940059287,"[288.80859375, 285.380859375]"
1766147360240179672,"[288.80859375, 285.380859375]"
1766147360540108254,"[288.80859375, 285.380859375]"
1766147360840170960,"[288.80859375, 285.380859375]"
1766147361140172020,"[288.80859375, 285.380859375]"
1766147361440159214,"[288.80859375, 285.380859375]"
1766147361740112788,"[288.80859375, 285.380859375]"
1766147362040107626,"[288.80859375, 285.380859375]"
1766147362340118164,"[288.80859375, 285.380859375]"
1766147362640077919,"[288.80859375, 285.380859375]"
1766147362941443828,"[288.80859375, 285.380859375]"
