timestamp,values
1766145959438554777,"[0.52734375, 0.52734375]"
1766145959737399536,"[0.52734375, 0.52734375]"
1766145960037560199,"[0.52734375, 0.52734375]"
1766145960337723007,"[0.52734375, 0.52734375]"
1766145960637590999,"[0.52734375, 0.52734375]"
1766145960937775360,"[0.52734375, 0.52734375]"
1766145961237701922,"[0.52734375, 0.52734375]"
1766145961537625126,"[0.52734375, 0.439453125]"
1766145961837707857,"[0.52734375, 0.52734375]"
1766145962137573581,"[0.52734375, 0.52734375]"
1766145962437862419,"[0.52734375, 0.52734375]"
1766145962738210761,"[0.52734375, 0.52734375]"
1766145963037770781,"[0.52734375, 0.52734375]"
1766145963337556647,"[0.52734375, 0.52734375]"
1766145963637602972,"[0.52734375, 0.52734375]"
1766145963937570810,"[0.52734375, 0.439453125]"
1766145964237864235,"[0.52734375, 0.52734375]"
1766145964537497692,"[0.52734375, 0.52734375]"
1766145964837671603,"[0.52734375, 0.52734375]"
1766145965137665875,"[0.52734375, 0.52734375]"
1766145965437445405,"[0.52734375, 0.52734375]"
1766145965737426487,"[0.52734375, 0.52734375]"
1766145966037759881,"[0.52734375, 0.439453125]"
1766145966337582281,"[0.52734375, 0.439453125]"
1766145966637853669,"[0.52734375, 0.52734375]"
1766145966938074057,"[0.52734375, 0.52734375]"
1766145967237519620,"[0.52734375, 0.439453125]"
1766145967538247265,"[0.52734375, 0.52734375]"
1766145967837476882,"[0.52734375, 0.52734375]"
1766145968138023139,"[0.52734375, 0.52734375]"
1766145968438012834,"[0.52734375, 0.439453125]"
1766145968737905774,"[0.52734375, 0.52734375]"
1766145969037622636,"[0.52734375, 0.52734375]"
1766145969338409918,"[0.52734375, 0.52734375]"
1766145969637875695,"[0.52734375, 0.52734375]"
1766145969937607598,"[0.52734375, 0.52734375]"
1766145970237778202,"[0.52734375, 0.52734375]"
1766145970537553070,"[0.52734375, 0.52734375]"
1766145970837875179,"[0.52734375, 0.52734375]"
1766145971137874451,"[0.52734375, 0.439453125]"
1766145971437623769,"[0.52734375, 0.52734375]"
1766145971738220601,"[0.52734375, 0.52734375]"
1766145972037857457,"[0.52734375, 0.52734375]"
1766145972337610341,"[0.52734375, 0.52734375]"
1766145972638171754,"[0.52734375, 0.52734375]"
1766145972937521485,"[0.52734375, 0.52734375]"
1766145973237922254,"[0.52734375, 0.439453125]"
1766145973537571807,"[0.52734375, 0.52734375]"
1766145973838425033,"[0.52734375, 0.439453125]"
1766145974138280709,"[0.52734375, 0.52734375]"
1766145974437434174,"[0.52734375, 0.52734375]"
1766145974737635616,"[0.52734375, 0.439453125]"
1766145975037548122,"[0.52734375, 0.439453125]"
1766145975337647866,"[0.52734375, 0.52734375]"
1766145975638070951,"[0.52734375, 0.52734375]"
1766145975937536407,"[0.52734375, 0.52734375]"
1766145976237678390,"[0.52734375, 0.52734375]"
1766145976537730763,"[0.52734375, 0.52734375]"
1766145976838103550,"[0.52734375, 0.52734375]"
1766145977137525970,"[0.52734375, 0.439453125]"
1766145977437563413,"[0.52734375, 0.52734375]"
1766145977737697099,"[0.52734375, 0.52734375]"
1766145978037693699,"[0.52734375, 0.52734375]"
1766145978337426028,"[0.52734375, 0.52734375]"
1766145978638075518,"[0.52734375, 0.52734375]"
1766145978937602021,"[0.52734375, 0.52734375]"
1766145979237564605,"[0.52734375, 0.439453125]"
1766145979537507962,"[0.52734375, 0.52734375]"
1766145979837509342,"[0.52734375, 0.52734375]"
1766145980137808426,"[0.52734375, 0.52734375]"
