timestamp,x,y,theta
1766145959107313856,0.885,0.957,0.234529
1766145959353104215,0.894,0.917,0.233438
1766145959650887975,0.901,0.902,0.234529
1766145959966260435,0.911,0.86,0.233438
1766145960252713546,0.913,0.836,0.233438
1766145960548909409,0.92,0.83,0.232347
1766145960853210535,0.926,0.83,0.232347
1766145961155039605,0.932,0.804,0.233438
1766145961453460052,0.91,0.868,0.234529
1766145961750258227,0.913,0.884,0.234529
1766145962052992027,0.92,0.86,0.234529
1766145962356499163,0.932,0.816,0.234529
1766145962667718745,0.942,0.788,0.234529
1766145962956743875,0.945,0.788,0.233438
1766145963255093742,0.955,0.758,0.231256
1766145963551215443,0.97,0.738,0.230165
1766145963852766433,0.986,0.726,0.230165
1766145964154637200,0.995,0.71,0.231256
1766145964451228163,0.994,0.709,0.232347
1766145964750115693,0.979,0.72,0.231256
1766145965055772407,0.982,0.721,0.225802
1766145965348866530,0.98,0.735,0.226893
1766145965652527243,0.975,0.739,0.225802
1766145965946865643,0.974,0.733,0.225802
1766145966251880973,0.972,0.788,0.220348
1766145966552684916,0.978,0.784,0.219257
1766145966868546284,0.973,0.786,0.221439
1766145967149632720,0.979,0.782,0.220348
1766145967452481232,0.978,0.775,0.219257
1766145967750089902,0.975,0.771,0.219257
1766145968050060094,0.98,0.767,0.219257
1766145968352529333,0.979,0.758,0.219257
1766145968648004893,0.983,0.752,0.220348
1766145968948902385,0.994,0.753,0.220348
1766145969246512738,0.998,0.76,0.220348
1766145969551864680,0.996,0.763,0.22362
1766145969851536418,1.007,0.768,0.224711
1766145970169370763,1.0,0.759,0.224711
1766145970452763101,0.995,0.757,0.226893
1766145970752629093,0.991,0.748,0.226893
1766145971050277001,0.981,0.747,0.226893
1766145971368011371,0.971,0.74,0.225802
1766145971649854966,0.977,0.744,0.225802
1766145971953082414,0.992,0.745,0.230165
1766145972251690262,0.996,0.749,0.235619
1766145972545413658,1.025,0.746,0.238892
1766145972850374106,1.03,0.751,0.237801
1766145973152600428,1.01,0.797,0.238892
1766145973447398663,1.022,0.784,0.238892
1766145973751405360,1.027,0.777,0.237801
1766145974048837446,1.018,0.776,0.237801
1766145974350883712,1.021,0.776,0.23671
1766145974650431506,1.017,0.767,0.235619
1766145974951522501,1.035,0.752,0.23671
1766145975250188949,1.016,0.791,0.23671
1766145975551467356,1.007,0.782,0.23671
1766145975849542666,1.007,0.775,0.23671
1766145976151139849,1.007,0.779,0.23671
1766145976450429806,1.009,0.774,0.23671
1766145976751100877,1.013,0.779,0.235619
1766145977047065808,1.013,0.778,0.235619
1766145977347172901,1.017,0.778,0.235619
1766145977649560311,1.013,0.788,0.235619
1766145977945039079,1.015,0.783,0.0
1766145978246540158,1.02,0.778,0.235619
1766145978550454092,1.019,0.774,0.235619
1766145978851875391,1.019,0.77,0.235619
1766145979149752993,1.026,0.774,0.244346
1766145979466438383,1.034,0.785,0.245437
1766145979752778142,1.039,0.787,0.242164
1766145980050123307,1.037,0.782,0.238892
1766145980364163885,1.013,0.836,0.231256
