timestamp,values
1766146792696045580,"[282.041015625, 0.0]"
1766146792994370467,"[282.041015625, 0.0]"
1766146793296320647,"[282.041015625, 0.0]"
1766146793597334751,"[281.953125, 0.0]"
1766146793895992413,"[282.041015625, 0.0]"
1766146794195881522,"[282.041015625, 0.0]"
1766146794495450891,"[282.041015625, 0.0]"
1766146794795969578,"[282.041015625, 0.0]"
1766146795095440315,"[282.041015625, 0.0]"
1766146795396669440,"[281.953125, 0.0]"
1766146795695761963,"[281.953125, 0.0]"
1766146795995915783,"[281.953125, 0.0]"
1766146796295769677,"[282.041015625, 0.0]"
1766146796596610788,"[282.041015625, 0.0]"
1766146796895921506,"[281.953125, 0.0]"
1766146797194209736,"[282.041015625, 0.0]"
1766146797497967032,"[282.041015625, 0.0]"
1766146797795665952,"[282.041015625, 0.0]"
1766146798095746040,"[282.041015625, 0.0]"
1766146798395807862,"[282.041015625, 0.0]"
1766146798695943224,"[282.041015625, 0.0]"
1766146798995150801,"[282.041015625, 0.0]"
1766146799295699670,"[282.041015625, 0.0]"
1766146799595275290,"[281.953125, 0.0]"
1766146799895466604,"[282.041015625, 0.0]"
1766146800195801062,"[282.041015625, 0.0]"
1766146800495771475,"[282.041015625, 0.0]"
1766146800795763793,"[281.953125, 0.0]"
1766146801098302005,"[282.041015625, 0.0]"
1766146801399191948,"[282.041015625, 0.0]"
1766146801695398725,"[281.953125, 0.0]"
1766146801995646363,"[282.041015625, 0.0]"
1766146802295980049,"[282.041015625, 0.0]"
1766146802596518564,"[282.041015625, 0.0]"
1766146802899046519,"[281.953125, 0.0]"
1766146803198088973,"[282.041015625, 0.0]"
1766146803495096291,"[281.953125, 0.0]"
1766146803797630514,"[282.041015625, 0.0]"
1766146804094433335,"[282.041015625, 0.0]"
1766146804395579095,"[282.041015625, 0.0]"
1766146804696793490,"[282.041015625, 0.0]"
1766146804996073750,"[282.041015625, 0.0]"
1766146805299394183,"[281.953125, 0.0]"
1766146805595500014,"[281.953125, 0.0]"
1766146805895272194,"[282.041015625, 0.0]"
1766146806198080472,"[282.041015625, 0.0]"
1766146806496439050,"[282.041015625, 0.0]"
1766146806795326679,"[282.041015625, 0.0]"
1766146807095536870,"[281.953125, 0.0]"
1766146807395087921,"[281.953125, 0.0]"
1766146807694973369,"[281.953125, 0.0]"
1766146807994902384,"[282.041015625, 0.0]"
1766146808295668513,"[281.953125, 0.0]"
1766146808595764553,"[282.041015625, 0.0]"
1766146808896230223,"[281.953125, 0.0]"
1766146809195894920,"[282.041015625, 0.0]"
1766146809495760017,"[282.041015625, 0.0]"
1766146809795601674,"[281.953125, 0.0]"
1766146810096188182,"[281.953125, 0.0]"
1766146810395703812,"[282.041015625, 0.0]"
1766146810695784775,"[281.953125, 0.0]"
1766146810995623444,"[281.953125, 0.0]"
1766146811295547986,"[282.041015625, 0.0]"
1766146811597967350,"[282.041015625, 0.0]"
1766146811895580228,"[282.041015625, 0.0]"
1766146812198268665,"[281.953125, 0.0]"
1766146812497232910,"[282.041015625, 0.0]"
1766146812794078941,"[282.041015625, 0.0]"
1766146813095260933,"[282.041015625, 0.0]"
1766146813403674855,"[282.041015625, 0.0]"
