timestamp,x,y,theta
1766146792604846798,2.704,5.346,-4.598943
1766146792913261853,2.691,5.353,-4.610942
1766146793207375147,2.667,5.342,-4.578217
1766146793518067884,2.61,5.373,-4.513858
1766146793806931220,2.558,5.318,-4.43859
1766146794103919686,2.491,5.252,-4.459316
1766146794421494372,2.376,5.206,-4.405866
1766146794717043057,2.25,5.116,-4.513858
1766146795012138113,2.116,4.954,-4.597852
1766146795316077597,1.996,4.752,-4.459316
1766146795604862086,1.877,4.531,-4.465861
1766146795905660268,1.78,4.28,0.0
1766146796215027816,1.672,4.057,-4.560764
1766146796514944724,1.586,3.825,-4.651302
1766146796816905948,1.508,3.543,-4.660029
1766146797115259374,1.447,3.291,-4.758204
1766146797415392923,1.412,3.022,-4.822563
1766146797716432913,1.376,2.772,-4.912011
1766146798015020571,1.357,2.519,-4.895649
1766146798314786846,1.355,2.25,-4.855288
1766146798614777565,1.339,2.047,-4.930555
1766146798904386211,1.334,1.815,-4.988369
1766146799214273627,1.325,1.606,-5.060364
1766146799501863401,1.341,1.393,-5.102906
1766146799805681747,1.449,0.971,-5.238169
1766146800104826037,1.487,0.802,-5.469426
1766146800402414673,1.569,0.629,-5.748678
1766146800704555222,1.677,0.475,0.199622
1766146801005054933,1.912,0.481,-0.09163
1766146801315010690,2.207,0.531,-0.032725
1766146801606149171,2.368,0.499,-0.017453
1766146801916160281,2.506,0.46,-0.219257
1766146802206507865,2.65,0.43,-0.186532
1766146802507391354,2.957,0.487,-0.018544
1766146802815421883,3.061,0.474,0.1309
1766146803114393703,3.129,0.493,0.115628
1766146803405861351,3.307,0.567,0.083994
1766146803704575500,3.426,0.632,0.114537
1766146804017611993,3.418,0.649,0.138536
1766146804305877860,3.403,0.663,0.126536
1766146804608320497,3.423,0.706,0.110174
1766146804902152258,3.466,0.762,0.098175
1766146805203836252,3.48,0.81,0.0
1766146805504472566,3.534,0.858,0.102538
1766146805814433362,3.515,0.885,0.076358
1766146806112808199,3.517,0.918,0.087266
1766146806416120982,3.489,0.93,0.094902
1766146806707709341,3.487,0.958,0.085085
1766146807015408284,3.411,0.945,0.080721
1766146807315586666,3.447,0.98,0.09163
1766146807603758140,3.447,0.994,0.093811
1766146807904626297,3.418,0.992,0.09163
1766146808214457672,3.382,0.988,0.085085
1766146808508941756,3.271,0.951,0.087266
1766146808808102215,3.172,0.912,0.080721
1766146809104811351,3.09,0.876,0.076358
1766146809402933319,3.043,0.847,0.087266
1766146809715751951,3.14,0.89,0.106901
1766146810014355730,3.192,0.917,0.115628
1766146810315627553,3.268,0.953,0.118901
1766146810614531841,3.264,0.954,0.124355
1766146810905296877,3.3,0.969,0.121082
1766146811215918710,3.361,1.002,0.115628
1766146811516064972,3.405,1.031,0.122173
1766146811816866901,3.44,1.053,0.121082
1766146812118657221,3.476,1.062,0.122173
1766146812405001667,3.47,1.059,0.121082
1766146812712174488,3.403,1.032,0.122173
1766146813017349590,3.379,1.008,0.122173
1766146813312543675,3.346,0.994,0.118901
