timestamp,values
1766146068637752795,"[280.634765625, 284.853515625]"
1766146068937683009,"[280.634765625, 284.853515625]"
1766146069237403725,"[280.634765625, 284.853515625]"
1766146069537503082,"[280.634765625, 284.853515625]"
1766146069837981116,"[280.634765625, 284.853515625]"
1766146070137712925,"[280.634765625, 284.853515625]"
1766146070438143890,"[280.634765625, 284.853515625]"
1766146070737458259,"[280.634765625, 284.853515625]"
1766146071038001032,"[280.634765625, 284.853515625]"
1766146071338252499,"[280.634765625, 284.853515625]"
1766146071637746626,"[280.634765625, 284.853515625]"
1766146071937516012,"[280.634765625, 284.853515625]"
1766146072237559777,"[280.634765625, 284.853515625]"
1766146072537650722,"[280.634765625, 284.853515625]"
1766146072837566572,"[280.634765625, 284.853515625]"
1766146073138092045,"[280.634765625, 284.853515625]"
1766146073437464514,"[280.634765625, 284.853515625]"
1766146073737612823,"[280.634765625, 284.853515625]"
1766146074037486129,"[280.634765625, 284.853515625]"
1766146074337523489,"[280.634765625, 284.853515625]"
1766146074637517392,"[280.634765625, 284.853515625]"
1766146074937588143,"[280.634765625, 284.853515625]"
1766146075237553009,"[280.634765625, 284.853515625]"
1766146075537804992,"[280.634765625, 284.94140625]"
1766146075837822121,"[280.634765625, 284.853515625]"
1766146076137854362,"[280.634765625, 284.853515625]"
1766146076437526445,"[280.634765625, 284.853515625]"
1766146076737498472,"[280.634765625, 284.853515625]"
1766146077037455361,"[280.634765625, 284.853515625]"
1766146077337974730,"[280.634765625, 284.853515625]"
1766146077637905770,"[280.634765625, 284.853515625]"
1766146077937660174,"[280.634765625, 284.853515625]"
1766146078237880134,"[280.634765625, 284.853515625]"
1766146078537488830,"[280.634765625, 284.853515625]"
1766146078837638700,"[280.634765625, 284.853515625]"
1766146079138469256,"[280.634765625, 284.853515625]"
1766146079437472045,"[280.634765625, 284.853515625]"
1766146079737626865,"[280.634765625, 284.853515625]"
1766146080037518853,"[280.634765625, 284.853515625]"
1766146080337579128,"[280.634765625, 284.853515625]"
1766146080637926802,"[280.634765625, 284.853515625]"
1766146080937623031,"[280.634765625, 284.853515625]"
1766146081237502219,"[280.634765625, 284.853515625]"
1766146081537471154,"[280.634765625, 284.853515625]"
1766146081837944931,"[280.634765625, 284.853515625]"
1766146082137945943,"[280.634765625, 284.853515625]"
1766146082437850665,"[280.634765625, 284.853515625]"
1766146082737609410,"[280.634765625, 284.853515625]"
1766146083037829157,"[280.634765625, 284.853515625]"
1766146083337723365,"[280.634765625, 284.853515625]"
1766146083637693937,"[280.72265625, 284.853515625]"
1766146083937957634,"[280.72265625, 284.853515625]"
1766146084237653613,"[280.72265625, 284.853515625]"
1766146084537655329,"[280.72265625, 284.853515625]"
1766146084837889777,"[280.72265625, 284.853515625]"
1766146085137695201,"[280.72265625, 284.853515625]"
1766146085437866369,"[280.72265625, 284.853515625]"
1766146085737557402,"[280.72265625, 284.853515625]"
1766146086037554584,"[280.72265625, 284.853515625]"
1766146086337722935,"[280.72265625, 284.853515625]"
1766146086637562937,"[280.72265625, 284.853515625]"
1766146086937666083,"[280.72265625, 284.853515625]"
1766146087237505842,"[280.72265625, 284.853515625]"
1766146087537531099,"[280.72265625, 284.853515625]"
1766146087837560275,"[280.72265625, 284.853515625]"
1766146088137592811,"[280.72265625, 284.853515625]"
1766146088437482279,"[280.72265625, 284.853515625]"
1766146088737706423,"[280.72265625, 284.853515625]"
1766146089037444194,"[280.72265625, 284.853515625]"
1766146089337461581,"[280.72265625, 284.853515625]"
1766146089637438814,"[280.72265625, 284.853515625]"
1766146089937578373,"[280.72265625, 284.853515625]"
1766146090237622913,"[280.72265625, 284.853515625]"
1766146090537521587,"[280.72265625, 284.853515625]"
1766146090837453109,"[280.72265625, 284.853515625]"
1766146091137471507,"[280.72265625, 284.853515625]"
1766146091437426090,"[280.72265625, 284.853515625]"
1766146091737542144,"[280.72265625, 284.853515625]"
1766146092037579239,"[280.72265625, 284.853515625]"
