timestamp,x,y,theta
1766146068850140166,0.54,2.608,0.355611
1766146069148100436,0.539,2.611,0.356702
1766146069455877885,0.536,2.62,0.357792
1766146069754113459,0.529,2.618,0.355611
1766146070049544426,0.531,2.621,0.369792
1766146070350934482,0.528,2.617,0.371973
1766146070649886835,0.521,2.621,0.377427
1766146070950954506,0.509,2.631,0.366519
1766146071253449303,0.508,2.646,0.32834
1766146071551525026,0.51,2.66,0.322886
1766146071852895745,0.51,2.657,0.318523
1766146072147867265,0.517,2.65,0.310887
1766146072451906756,0.516,2.646,0.314159
1766146072750563236,0.506,2.646,0.314159
1766146073050690141,0.504,2.66,0.319613
1766146073350949333,0.502,2.679,0.31525
1766146073650199071,0.487,2.696,0.357792
1766146073950175776,0.478,2.688,0.383972
1766146074252155746,0.477,2.675,0.388336
1766146074551492086,0.47,2.672,0.407971
1766146074851787662,0.453,2.675,0.382882
1766146075152417868,0.44,2.674,0.377427
1766146075451819212,0.442,2.665,0.371973
1766146075750471299,0.436,2.668,0.366519
1766146076048142672,0.436,2.664,0.358883
1766146076350680103,0.431,2.668,0.355611
1766146076650718810,0.426,2.677,0.351248
1766146076951196085,0.426,2.683,0.349066
1766146077251093826,0.431,2.683,0.350157
1766146077551278302,0.43,2.683,0.347975
1766146077849750186,0.423,2.688,0.345793
1766146078151596710,0.427,2.696,0.347975
1766146078451625700,0.423,2.71,0.352338
1766146078753698240,0.423,2.71,0.35452
1766146079050318435,0.421,2.709,0.353429
1766146079349478786,0.416,2.716,0.343612
1766146079650993082,0.419,2.721,0.340339
1766146079950800457,0.426,2.72,0.334885
1766146080250220693,0.428,2.729,0.332703
1766146080550184915,0.43,2.73,0.332703
1766146080849577491,0.431,2.735,0.333794
1766146081150218534,0.436,2.746,0.333794
1766146081451992723,0.432,2.743,0.333794
1766146081751495690,0.427,2.733,0.334885
1766146082050450551,0.417,2.728,0.337067
1766146082349125774,0.407,2.746,0.338158
1766146082650105440,0.402,2.739,0.342521
1766146082953667929,0.407,2.728,0.342521
1766146083252500259,0.4,2.724,0.343612
1766146083550917011,0.409,2.727,0.342521
1766146083850843681,0.402,2.732,0.342521
1766146084151662191,0.409,2.727,0.342521
1766146084451773912,0.408,2.725,0.344703
1766146084751768101,0.41,2.73,0.345793
1766146085051321073,0.414,2.723,0.346884
1766146085350663762,0.432,2.713,0.344703
1766146085651062833,0.435,2.709,0.344703
1766146085969871915,0.443,2.702,0.346884
1766146086245500761,0.43,2.702,0.347975
1766146086552466827,0.431,2.703,0.350157
1766146086850925949,0.425,2.71,0.352338
1766146087150769302,0.425,2.704,0.352338
1766146087451560411,0.435,2.702,0.352338
1766146087751558103,0.442,2.697,0.349066
1766146088050064413,0.456,2.687,0.347975
1766146088352172671,0.459,2.686,0.347975
1766146088648415059,0.459,2.681,0.349066
1766146088945435889,0.467,2.686,0.350157
1766146089255330000,0.459,2.693,0.350157
1766146089564800005,0.45,2.686,0.349066
1766146089851427477,0.451,2.691,0.347975
1766146090153486219,0.456,2.706,0.345793
1766146090450698559,0.466,2.713,0.352338
1766146090750514960,0.472,2.723,0.342521
1766146091054581895,0.484,2.728,0.337067
1766146091347998055,0.505,2.73,0.330522
1766146091651401581,0.51,2.729,0.319613
1766146091945224930,0.506,2.723,0.31525
1766146092254966910,0.528,2.75,0.316341
