timestamp,values
1766147242641588147,"[288.80859375, 285.380859375]"
1766147242940452807,"[288.80859375, 285.380859375]"
1766147243242706889,"[288.80859375, 285.380859375]"
1766147243540640318,"[288.80859375, 285.380859375]"
1766147243841320853,"[288.80859375, 285.380859375]"
1766147244142184339,"[288.80859375, 285.380859375]"
1766147244440145311,"[288.80859375, 285.380859375]"
1766147244740811967,"[288.80859375, 285.380859375]"
1766147245042829273,"[288.80859375, 285.380859375]"
1766147245340360834,"[288.80859375, 285.380859375]"
1766147245641049667,"[288.80859375, 285.380859375]"
1766147245940613056,"[288.80859375, 285.380859375]"
1766147246240714426,"[288.80859375, 285.380859375]"
1766147246541664658,"[288.80859375, 285.380859375]"
1766147246840210131,"[288.80859375, 285.380859375]"
1766147247141255509,"[288.80859375, 285.380859375]"
1766147247441367902,"[288.80859375, 285.380859375]"
1766147247742016554,"[288.80859375, 285.380859375]"
1766147248040173070,"[288.80859375, 285.380859375]"
1766147248342435920,"[288.80859375, 285.380859375]"
1766147248641866528,"[288.80859375, 285.380859375]"
1766147248941380372,"[288.80859375, 285.380859375]"
1766147249241637668,"[288.80859375, 285.380859375]"
1766147249542087614,"[288.80859375, 285.380859375]"
1766147249841641722,"[288.80859375, 285.380859375]"
1766147250142039766,"[288.80859375, 285.380859375]"
1766147250441772549,"[288.80859375, 285.380859375]"
1766147250741722375,"[288.80859375, 285.380859375]"
1766147251041553261,"[288.80859375, 285.380859375]"
1766147251341547494,"[288.80859375, 285.380859375]"
1766147251641690855,"[288.80859375, 285.380859375]"
1766147251940408804,"[288.80859375, 285.380859375]"
1766147252240761763,"[288.80859375, 285.380859375]"
1766147252541917356,"[288.80859375, 285.380859375]"
1766147252842172390,"[288.80859375, 285.380859375]"
1766147253142428224,"[288.80859375, 285.380859375]"
1766147253440198470,"[288.80859375, 285.380859375]"
1766147253742099063,"[288.80859375, 285.380859375]"
1766147254041418711,"[288.80859375, 285.380859375]"
1766147254341651075,"[288.80859375, 285.380859375]"
1766147254640454592,"[288.80859375, 285.380859375]"
1766147254941955181,"[288.80859375, 285.380859375]"
1766147255241615318,"[288.80859375, 285.380859375]"
1766147255540641276,"[288.80859375, 285.380859375]"
1766147255841518648,"[288.80859375, 285.380859375]"
1766147256140329511,"[288.80859375, 285.380859375]"
1766147256441571366,"[288.80859375, 285.380859375]"
1766147256741906389,"[288.80859375, 285.380859375]"
1766147257041663653,"[288.80859375, 285.380859375]"
1766147257341460891,"[288.80859375, 285.380859375]"
1766147257640222749,"[288.80859375, 285.380859375]"
1766147257941884397,"[288.80859375, 285.380859375]"
1766147258241061857,"[288.80859375, 285.380859375]"
1766147258540968466,"[288.80859375, 285.380859375]"
1766147258841223372,"[288.80859375, 285.380859375]"
1766147259141881140,"[288.80859375, 285.380859375]"
1766147259442146436,"[288.80859375, 285.380859375]"
1766147259740184577,"[288.80859375, 285.380859375]"
1766147260042204993,"[288.80859375, 285.380859375]"
1766147260341614260,"[288.80859375, 285.380859375]"
1766147260641381204,"[288.80859375, 285.380859375]"
1766147260941624103,"[288.80859375, 285.380859375]"
1766147261242083884,"[288.80859375, 285.380859375]"
1766147261541439244,"[288.80859375, 285.380859375]"
1766147261841060627,"[288.80859375, 285.380859375]"
1766147262141296948,"[288.80859375, 285.380859375]"
1766147262441788974,"[288.80859375, 285.380859375]"
1766147262741658722,"[288.80859375, 285.380859375]"
1766147263041240814,"[288.80859375, 285.380859375]"
1766147263341678178,"[288.80859375, 285.380859375]"
1766147263641530353,"[288.80859375, 285.380859375]"
1766147263941112763,"[288.80859375, 285.380859375]"
1766147264241233662,"[288.80859375, 285.380859375]"
1766147264541616367,"[288.80859375, 285.380859375]"
1766147264840600641,"[288.80859375, 285.380859375]"
1766147265142890043,"[288.80859375, 285.380859375]"
1766147265442526698,"[288.80859375, 285.380859375]"
1766147265741844750,"[288.80859375, 285.380859375]"
1766147266041229445,"[288.80859375, 285.380859375]"
1766147266341047080,"[288.80859375, 285.380859375]"
1766147266640969805,"[288.80859375, 285.380859375]"
1766147266942111491,"[288.80859375, 285.380859375]"
1766147267242100771,"[288.80859375, 285.380859375]"
1766147267541111997,"[288.80859375, 285.380859375]"
1766147267841083883,"[288.80859375, 285.380859375]"
1766147268141273605,"[288.80859375, 285.380859375]"
1766147268441197273,"[288.80859375, 285.380859375]"
1766147268741405339,"[288.80859375, 285.380859375]"
1766147269041271196,"[288.80859375, 285.380859375]"
1766147269340437731,"[288.80859375, 285.380859375]"
