timestamp,values
1766148553081646694,"[285.99609375, 284.23828125]"
1766148553381519612,"[285.99609375, 284.23828125]"
1766148553684369129,"[285.99609375, 284.23828125]"
1766148553983059806,"[285.99609375, 284.23828125]"
1766148554285408921,"[285.99609375, 284.23828125]"
1766148554582369038,"[285.99609375, 284.23828125]"
1766148554882339393,"[285.99609375, 284.23828125]"
1766148555184342367,"[285.99609375, 284.23828125]"
1766148555487514554,"[285.99609375, 284.23828125]"
1766148555787328214,"[285.99609375, 284.23828125]"
1766148556081705561,"[285.99609375, 284.23828125]"
1766148556383771640,"[285.99609375, 284.23828125]"
1766148556683203451,"[285.99609375, 284.23828125]"
1766148556984733649,"[285.99609375, 284.23828125]"
1766148557282351431,"[285.99609375, 284.23828125]"
1766148557583447943,"[285.99609375, 284.23828125]"
1766148557882488987,"[285.99609375, 284.23828125]"
1766148558184185097,"[285.99609375, 284.23828125]"
1766148558482488019,"[285.99609375, 284.23828125]"
1766148558782867621,"[285.99609375, 284.23828125]"
1766148559082193914,"[285.99609375, 284.23828125]"
1766148559382142519,"[285.99609375, 284.23828125]"
1766148559681713501,"[285.99609375, 284.23828125]"
1766148559984004157,"[285.99609375, 284.150390625]"
1766148560283497635,"[285.99609375, 284.23828125]"
1766148560585177475,"[285.99609375, 284.23828125]"
1766148560882880764,"[285.99609375, 284.23828125]"
1766148561182492506,"[285.99609375, 284.150390625]"
1766148561482832530,"[285.99609375, 284.23828125]"
1766148561782620658,"[285.99609375, 284.23828125]"
1766148562082826250,"[285.99609375, 284.23828125]"
1766148562383176975,"[285.99609375, 284.23828125]"
1766148562683923234,"[285.99609375, 284.23828125]"
1766148562983546891,"[285.99609375, 284.23828125]"
1766148563287494717,"[285.99609375, 284.23828125]"
1766148563583651062,"[285.99609375, 284.23828125]"
1766148563882432955,"[285.99609375, 284.23828125]"
1766148564182925507,"[285.99609375, 284.23828125]"
1766148564482089351,"[285.99609375, 284.23828125]"
1766148564783647126,"[285.99609375, 284.150390625]"
1766148565083268358,"[285.99609375, 284.23828125]"
1766148565382356761,"[285.99609375, 284.23828125]"
1766148565682539171,"[285.99609375, 284.150390625]"
1766148565982580742,"[285.99609375, 284.23828125]"
1766148566282180086,"[285.99609375, 284.23828125]"
1766148566582515396,"[285.99609375, 284.23828125]"
1766148566882669382,"[285.99609375, 284.23828125]"
1766148567183671220,"[285.99609375, 284.23828125]"
1766148567482790700,"[285.99609375, 284.150390625]"
1766148567786386915,"[285.99609375, 284.23828125]"
1766148568084593241,"[285.99609375, 284.23828125]"
1766148568383867755,"[285.99609375, 284.23828125]"
1766148568682302113,"[285.99609375, 284.23828125]"
1766148568983870642,"[285.99609375, 284.23828125]"
1766148569283374108,"[285.99609375, 284.23828125]"
1766148569588043121,"[285.99609375, 284.23828125]"
1766148569882371173,"[285.99609375, 284.23828125]"
1766148570189380320,"[285.99609375, 284.23828125]"
1766148570482230728,"[285.99609375, 284.23828125]"
1766148570784374148,"[285.99609375, 284.23828125]"
1766148571088439984,"[285.99609375, 284.23828125]"
1766148571388525477,"[285.99609375, 284.23828125]"
1766148571687293997,"[285.99609375, 284.23828125]"
1766148571983910246,"[285.99609375, 284.23828125]"
1766148572282100182,"[285.99609375, 284.23828125]"
1766148572585854762,"[285.99609375, 284.23828125]"
1766148572882566191,"[285.99609375, 284.23828125]"
1766148573181931415,"[285.99609375, 284.23828125]"
1766148573485126698,"[285.99609375, 284.23828125]"
1766148573782415190,"[285.99609375, 284.23828125]"
1766148574083550024,"[285.99609375, 284.23828125]"
1766148574383445170,"[285.99609375, 284.23828125]"
1766148574683731568,"[285.99609375, 284.23828125]"
1766148574983391770,"[285.99609375, 284.23828125]"
1766148575284828411,"[285.99609375, 284.23828125]"
1766148575582809883,"[285.99609375, 284.23828125]"
1766148575882969893,"[285.99609375, 284.23828125]"
1766148576183196695,"[285.99609375, 284.23828125]"
1766148576482967631,"[285.99609375, 284.23828125]"
1766148576782995766,"[285.99609375, 284.23828125]"
1766148577084374313,"[285.99609375, 284.23828125]"
1766148577383219003,"[285.99609375, 284.23828125]"
1766148577682822135,"[285.99609375, 284.23828125]"
1766148577983391676,"[285.99609375, 284.23828125]"
1766148578285187534,"[285.99609375, 284.23828125]"
1766148578587695819,"[285.99609375, 284.23828125]"
1766148578884405894,"[285.99609375, 284.23828125]"
1766148579182112374,"[285.99609375, 284.23828125]"
1766148579483177160,"[285.99609375, 284.23828125]"
1766148579784889815,"[285.99609375, 284.23828125]"
1766148580083456557,"[285.99609375, 284.23828125]"
1766148580384758430,"[285.99609375, 284.23828125]"
1766148580683215367,"[285.99609375, 284.23828125]"
