timestamp,x,y,theta
1766148553121405859,2.793,5.947,-4.079707
1766148553433142035,2.568,5.856,-4.380776
1766148553720369499,2.385,5.787,-4.553128
1766148554022156401,2.208,5.595,-4.436409
1766148554324939565,2.002,5.365,-4.557491
1766148554623417245,1.812,5.134,-4.653484
1766148554936694231,1.663,4.88,-4.760386
1766148555219390301,1.513,4.614,-4.625123
1766148555519226963,1.348,4.346,-4.658938
1766148555820834766,1.2,4.092,-4.723297
1766148556122854058,1.07,3.871,-4.714571
1766148556420167456,0.984,3.633,-4.633849
1766148556723530581,0.956,3.397,-4.577126
1766148557035976487,0.968,3.079,-4.697117
1766148557321618950,0.994,2.788,-4.759295
1766148557619177921,1.048,2.511,-4.653484
1766148557927821359,1.053,2.288,-4.512767
1766148558224036342,1.082,1.999,-4.614214
1766148558537773871,1.16,1.712,-4.762567
1766148558840364129,1.257,1.412,-4.590216
1766148559123359874,1.372,1.009,-4.449499
1766148559423762808,1.435,0.597,-4.510585
1766148559724551710,1.527,0.091,-4.702572
1766148560024748761,1.585,-0.301,-4.613123
1766148560324129812,1.607,-0.602,-4.690572
1766148560619187578,1.737,-1.038,-4.968734
1766148560935391380,1.814,-1.125,-5.290529
1766148561224669844,1.924,-1.199,-5.470516
1766148561525519988,2.125,-1.223,0.478875
1766148561821100299,2.277,-1.197,-0.123264
1766148562123035587,2.43,-1.159,-0.57814
1766148562424714428,2.579,-1.079,-0.61741
1766148562722082110,2.777,-1.02,-0.628319
1766148563020736318,3.006,-0.957,-0.702495
1766148563336880246,3.241,-0.849,-0.681769
1766148563625187797,3.479,-0.766,-0.345793
1766148563923045774,3.816,-0.733,-0.100356
1766148564223356207,4.097,-0.661,-0.17126
1766148564523601910,4.386,-0.615,-0.314159
1766148564821251491,4.652,-0.56,-0.453786
1766148565121063198,4.893,-0.496,-0.597775
1766148565424913116,5.079,-0.404,-1.075559
1766148565722626083,5.246,-0.288,-1.368993
1766148566021743219,5.458,-0.071,-1.43117
1766148566336944130,5.559,0.093,-1.388628
1766148566625636075,5.688,0.293,-1.449714
1766148566926645493,5.879,0.455,-1.53589
1766148567222679283,5.926,0.719,-1.599158
1766148567538450990,5.987,0.914,-1.480257
1766148567816934500,6.005,1.154,-1.440987
1766148568117827337,6.053,1.351,-1.608975
1766148568438578941,6.004,1.518,-1.712604
1766148568721356794,5.961,1.697,-1.648245
1766148569018860093,5.935,1.933,-1.307906
1766148569340531386,5.872,2.099,-0.964294
1766148569624559094,5.825,2.366,-1.112647
1766148569923974522,5.801,2.583,-1.428988
1766148570223049103,5.786,2.812,-1.526072
1766148570522354132,5.766,3.063,-1.239184
1766148570837649294,5.778,3.346,-1.040653
1766148571124306115,5.803,3.589,-1.043925
1766148571437374022,5.866,3.83,-1.053743
1766148571723653598,5.949,4.059,-0.950114
1766148572037006270,6.016,4.281,-0.957749
1766148572314244429,6.068,4.477,-1.356993
1766148572631933002,6.121,4.656,-1.95695
1766148572925498613,6.111,4.789,-2.436916
1766148573222893496,6.037,4.852,-2.816525
1766148573524840535,5.91,4.889,-3.161228
1766148573817889329,5.772,4.851,-3.656465
1766148574120924976,5.683,4.759,-4.037165
1766148574422102432,5.552,4.613,-4.061163
1766148574721938891,5.414,4.427,-4.11025
1766148575025342696,5.289,4.194,-4.189881
1766148575322057091,5.161,3.953,-4.298964
1766148575620982635,4.998,3.634,-4.087343
1766148575922279490,4.92,3.217,-3.868086
1766148576222214151,4.754,2.918,-4.024075
1766148576534571705,4.61,2.611,-4.220424
1766148576823626983,4.469,2.309,-3.866995
1766148577124058124,4.283,1.991,-3.582288
1766148577409170137,4.073,1.628,-3.678281
1766148577722429065,3.913,1.326,-3.889903
1766148578023649391,3.722,0.973,-3.735005
1766148578321275482,3.565,0.716,-3.533201
1766148578624688965,3.403,0.453,-3.735005
1766148578925969511,3.309,0.263,-4.234605
1766148579223107757,3.293,0.085,-4.466952
1766148579523817220,3.417,-0.166,-4.942554
1766148579817751693,3.599,-0.259,0.547597
1766148580120495894,3.694,-0.335,-0.282525
1766148580421641779,3.721,-0.388,-0.944659
1766148580719220686,3.645,-0.439,-1.568615
