timestamp,values
1766147872986740786,"[284.94140625, 283.88671875]"
1766147873281575965,"[284.94140625, 283.88671875]"
1766147873585023206,"[284.94140625, 283.88671875]"
1766147873887286385,"[284.94140625, 283.88671875]"
1766147874184921585,"[285.029296875, 283.88671875]"
1766147874485789082,"[284.94140625, 283.88671875]"
1766147874786107695,"[284.94140625, 283.88671875]"
1766147875083210626,"[284.94140625, 283.88671875]"
1766147875382276850,"[284.94140625, 283.88671875]"
1766147875683980058,"[284.94140625, 283.88671875]"
1766147875983857250,"[284.94140625, 283.88671875]"
1766147876285510794,"[284.94140625, 283.88671875]"
1766147876583649144,"[284.94140625, 283.88671875]"
1766147876884000236,"[284.94140625, 283.88671875]"
1766147877182595300,"[284.94140625, 283.88671875]"
1766147877483243702,"[284.94140625, 283.88671875]"
1766147877782752780,"[285.029296875, 283.88671875]"
1766147878082723443,"[284.94140625, 283.88671875]"
1766147878383921070,"[284.94140625, 283.88671875]"
1766147878680689625,"[285.029296875, 283.88671875]"
1766147878984688923,"[284.94140625, 283.88671875]"
1766147879282287223,"[284.94140625, 283.88671875]"
1766147879581641184,"[284.94140625, 283.88671875]"
1766147879884543322,"[285.029296875, 283.88671875]"
1766147880183929820,"[285.029296875, 283.88671875]"
1766147880481848782,"[284.94140625, 283.88671875]"
1766147880782168421,"[284.94140625, 283.88671875]"
1766147881082485776,"[284.94140625, 283.88671875]"
1766147881384307002,"[284.94140625, 283.88671875]"
1766147881682676902,"[285.029296875, 283.88671875]"
1766147881981768959,"[284.94140625, 283.88671875]"
1766147882282836339,"[284.94140625, 283.88671875]"
1766147882581448416,"[284.94140625, 283.88671875]"
1766147882882584413,"[284.94140625, 283.88671875]"
1766147883185156509,"[284.94140625, 283.88671875]"
1766147883483745810,"[284.94140625, 283.88671875]"
1766147883782080900,"[284.94140625, 283.88671875]"
1766147884082463991,"[284.94140625, 283.88671875]"
1766147884381690201,"[284.94140625, 283.88671875]"
1766147884683319837,"[284.94140625, 283.88671875]"
1766147884982893456,"[284.94140625, 283.88671875]"
1766147885282217744,"[285.029296875, 283.88671875]"
1766147885584305300,"[284.94140625, 283.88671875]"
1766147885886351541,"[284.94140625, 283.88671875]"
1766147886184988186,"[284.94140625, 283.88671875]"
1766147886482216592,"[284.94140625, 283.88671875]"
1766147886784603581,"[285.029296875, 283.88671875]"
1766147887081501574,"[284.94140625, 283.88671875]"
1766147887385287035,"[284.94140625, 283.88671875]"
1766147887682264353,"[284.94140625, 283.88671875]"
1766147887982909628,"[285.029296875, 283.88671875]"
1766147888281909050,"[284.94140625, 283.88671875]"
1766147888581967997,"[285.029296875, 283.88671875]"
1766147888881337631,"[284.94140625, 283.88671875]"
1766147889184972558,"[284.94140625, 283.88671875]"
1766147889480934225,"[284.94140625, 283.88671875]"
1766147889782363978,"[284.94140625, 283.88671875]"
1766147890082310455,"[284.94140625, 283.88671875]"
1766147890386287694,"[284.94140625, 283.88671875]"
1766147890684936168,"[284.94140625, 283.88671875]"
1766147890985412942,"[284.94140625, 283.88671875]"
1766147891285359177,"[284.94140625, 283.88671875]"
1766147891582180494,"[284.94140625, 283.88671875]"
1766147891883376085,"[284.94140625, 283.88671875]"
1766147892181602420,"[285.029296875, 283.88671875]"
1766147892484733264,"[284.94140625, 283.88671875]"
